,T,M,E,E2,X,J,B,M2,M4
0,0,832.0,-728.8160000000066,531172.7618560096,32,0.451,0.0,692224.0,479174066176.0
1,10,912.0,-766.7000000000082,587828.8900000126,32,0.451,0.0,831744.0,691798081536.0
2,20,874.0,-734.2280000000067,539090.7559840098,32,0.451,0.0,763876.0,583506543376.0
3,30,840.0,-716.1880000000056,512925.25134400796,32,0.451,0.0,705600.0,497871360000.0
4,40,826.0,-710.7760000000056,505202.52217600803,32,0.451,0.0,682276.0,465500540176.0
5,50,822.0,-721.6000000000057,520706.56000000826,32,0.451,0.0,675684.0,456548867856.0
6,60,758.0,-647.6360000000025,419432.3884960032,32,0.451,0.0,574564.0,330123790096.0
7,70,904.0,-761.2880000000077,579559.4189440118,32,0.451,0.0,817216.0,667841990656.0
8,80,876.0,-743.2480000000064,552417.5895040096,32,0.451,0.0,767376.0,588865925376.0
9,90,808.0,-671.088000000004,450359.1037440053,32,0.451,0.0,652864.0,426231402496.0
10,100,764.0,-680.1080000000047,462546.8916640064,32,0.451,0.0,583696.0,340701020416.0
11,110,732.0,-665.6760000000038,443124.53697600507,32,0.451,0.0,535824.0,287107358976.0
12,120,836.0,-745.0520000000065,555102.4827040097,32,0.451,0.0,698896.0,488455618816.0
13,130,758.0,-690.9320000000041,477387.0286240057,32,0.451,0.0,574564.0,330123790096.0
14,140,804.0,-692.7360000000051,479883.1656960071,32,0.451,0.0,646416.0,417853645056.0
15,150,774.0,-680.1080000000039,462546.89166400535,32,0.451,0.0,599076.0,358892053776.0
16,160,790.0,-681.9120000000049,465003.9757440067,32,0.451,0.0,624100.0,389500810000.0
17,170,862.0,-736.032000000007,541743.1050240103,32,0.451,0.0,743044.0,552114385936.0
18,180,784.0,-694.540000000006,482385.81160000834,32,0.451,0.0,614656.0,377801998336.0
19,190,892.0,-741.4440000000068,549739.2051360101,32,0.451,0.0,795664.0,633081200896.0
20,200,774.0,-658.4600000000031,433569.5716000041,32,0.451,0.0,599076.0,358892053776.0
21,210,778.0,-685.520000000004,469937.6704000054,32,0.451,0.0,605284.0,366368720656.0
22,220,840.0,-689.1280000000048,474897.4003840066,32,0.451,0.0,705600.0,497871360000.0
23,230,788.0,-692.7360000000036,479883.16569600505,32,0.451,0.0,620944.0,385571451136.0
24,240,818.0,-701.7560000000051,492461.4835360071,32,0.451,0.0,669124.0,447726927376.0
25,250,788.0,-671.0880000000038,450359.10374400514,32,0.451,0.0,620944.0,385571451136.0
26,260,810.0,-696.344000000005,484894.96633600706,32,0.451,0.0,656100.0,430467210000.0
27,270,828.0,-712.5800000000057,507770.25640000816,32,0.451,0.0,685584.0,470025421056.0
28,280,792.0,-703.5600000000051,494996.67360000714,32,0.451,0.0,627264.0,393460125696.0
29,290,782.0,-685.5200000000042,469937.67040000577,32,0.451,0.0,611524.0,373961602576.0
30,300,844.0,-730.6200000000064,533805.5844000094,32,0.451,0.0,712336.0,507422576896.0
31,310,798.0,-678.3040000000038,460096.3164160052,32,0.451,0.0,636804.0,405519334416.0
32,320,772.0,-642.224000000002,412451.66617600253,32,0.451,0.0,595984.0,355196928256.0
33,330,752.0,-685.5200000000048,469937.6704000065,32,0.451,0.0,565504.0,319794774016.0
34,340,864.0,-717.9920000000056,515512.5120640081,32,0.451,0.0,746496.0,557256278016.0
35,350,866.0,-716.1880000000058,512925.2513440083,32,0.451,0.0,749956.0,562434001936.0
36,360,802.0,-698.1480000000057,487410.62990400795,32,0.451,0.0,643204.0,413711385616.0
37,370,726.0,-635.0080000000029,403235.16006400366,32,0.451,0.0,527076.0,277809109776.0
38,380,756.0,-667.4800000000042,445529.55040000565,32,0.451,0.0,571536.0,326653399296.0
39,390,878.0,-772.1120000000077,596156.9405440119,32,0.451,0.0,770884.0,594262141456.0
40,400,870.0,-743.248000000007,552417.5895040104,32,0.451,0.0,756900.0,572897610000.0
