,T,M,E,E2,X,J,B,M2,M4
0,0,0.7919921875,-2766.9839999999253,7656200.456255587,64,0.446,0.0,0.6272516250610352,0.3934446011417094
1,10,0.7900390625,-2734.871999999928,7479524.856383606,64,0.446,0.0,0.6241617202758789,0.3895778530577445
2,20,0.77294921875,-2795.52799999992,7814976.798783554,64,0.446,0.0,0.5974504947662354,0.3569470936964194
3,30,0.796875,-2781.2559999999257,7735384.937535587,64,0.446,0.0,0.635009765625,0.40323740243911743
4,40,0.6884765625,-2588.58399999996,6700767.125055792,64,0.446,0.0,0.4739999771118164,0.22467597830200248
5,50,0.70751953125,-2700.9759999999364,7295271.352575657,64,0.446,0.0,0.5005838871002197,0.25058422802436553
6,60,0.72412109375,-2704.543999999934,7314558.2479356425,64,0.446,0.0,0.5243513584136963,0.2749443470702886
7,70,0.76171875,-2715.247999999928,7372571.70150361,64,0.446,0.0,0.5802154541015625,0.3366499731782824
8,80,0.7548828125,-2677.783999999935,7170527.150655652,64,0.446,0.0,0.5698480606079102,0.32472681217859645
9,90,0.7490234375,-2791.959999999919,7795040.641599548,64,0.446,0.0,0.5610361099243164,0.31476151663900964
10,100,0.73583984375,-2651.0239999999385,7027928.248575674,64,0.446,0.0,0.5414602756500244,0.2931792301070004
11,110,0.72412109375,-2631.399999999947,6924265.959999721,64,0.446,0.0,0.5243513584136963,0.2749443470702886
12,120,0.76806640625,-2770.551999999926,7675958.38470359,64,0.446,0.0,0.58992600440979,0.3480126906788996
13,130,0.72900390625,-2642.103999999946,6980713.546815716,64,0.446,0.0,0.5314466953277588,0.2824355899747957
14,140,0.70751953125,-2688.4879999999343,7227967.726143647,64,0.446,0.0,0.5005838871002197,0.25058422802436553
15,150,0.73291015625,-2702.7599999999247,7304911.6175995935,64,0.446,0.0,0.5371572971343994,0.28853796186473346
16,160,0.75048828125,-2774.11999999992,7695741.774399555,64,0.446,0.0,0.5632326602935791,0.3172310296213823
17,170,0.755859375,-2743.7919999999262,7528394.539263595,64,0.446,0.0,0.5713233947753906,0.32641042141767684
18,180,0.7373046875,-2711.679999999935,7353208.422399647,64,0.446,0.0,0.5436182022094727,0.2955207497734591
19,190,0.69580078125,-2615.343999999949,6840024.238335734,64,0.446,0.0,0.48413872718811035,0.23439030716332354
20,200,0.75439453125,-2775.9039999999204,7705643.017215558,64,0.446,0.0,0.5691111087799072,0.3238874541366954
21,210,0.734375,-2779.471999999914,7725464.598783521,64,0.446,0.0,0.539306640625,0.2908516526222229
22,220,0.7568359375,-2734.871999999923,7479524.856383579,64,0.446,0.0,0.5728006362915039,0.32810056893595174
23,230,0.76904296875,-2722.3839999999313,7411374.643455626,64,0.446,0.0,0.5914270877838135,0.3497860001644426
24,240,0.73486328125,-2643.887999999948,6990143.756543726,64,0.446,0.0,0.5400240421295166,0.2916259660779019
25,250,0.77783203125,-2761.6319999999246,7626611.3034235835,64,0.446,0.0,0.605022668838501,0.3660524298084624
26,260,0.8017578125,-2800.8799999999155,7844928.774399526,64,0.446,0.0,0.6428155899047852,0.41321188262463693
27,270,0.82470703125,-2906.1359999998926,8445626.450495375,64,0.446,0.0,0.6801416873931885,0.4625927149300537
28,280,0.81298828125,-2845.4799999999077,8096756.430399475,64,0.446,0.0,0.6609499454498291,0.43685483039013207
29,290,0.7978515625,-2756.279999999917,7597079.438399542,64,0.446,0.0,0.6365671157836914,0.4052176928971676
30,300,0.80322265625,-2856.1839999999065,8157787.041855466,64,0.446,0.0,0.6451666355133057,0.4162399875795586
31,310,0.783203125,-2774.1199999999226,7695741.77439957,64,0.446,0.0,0.6134071350097656,0.37626831328088883
32,320,0.7578125,-2743.7919999999262,7528394.539263595,64,0.446,0.0,0.57427978515625,0.32979727163910866
33,330,0.744140625,-2747.359999999926,7547986.969599593,64,0.446,0.0,0.5537452697753906,0.30663382379862014
34,340,0.71142578125,-2663.5119999999415,7094296.174143689,64,0.446,0.0,0.5061266422271729,0.25616417797215263
