# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00119756
2 1 10000000 0.00118239
3 2 9999999 0.00113819
4 3 9999998 0.0010685
5 4 9999997 0.000978434
6 5 9999996 0.000873933
7 6 9999995 0.000760993
8 7 9999994 0.000645145
9 8 9999993 0.000531127
10 9 9999992 0.00042273
11 10 9999991 0.000322776
12 11 9999990 0.000233175
13 12 9999989 0.000155021
14 13 9999988 8.87232e-05
15 14 9999987 3.41343e-05
16 15 9999986 -9.32289e-06
17 16 9999985 -4.25384e-05
18 17 9999984 -6.66116e-05
19 18 9999983 -8.27616e-05
20 19 9999982 -9.22525e-05
21 20 9999981 -9.63326e-05
22 21 9999980 -9.61876e-05
23 22 9999979 -9.29057e-05
24 23 9999978 -8.74541e-05
25 24 9999977 -8.06658e-05
26 25 9999976 -7.32333e-05
27 26 9999975 -6.57105e-05
28 27 9999974 -5.85188e-05
29 28 9999973 -5.19576e-05
30 29 9999972 -4.62176e-05
31 30 9999971 -4.13956e-05
32 31 9999970 -3.75111e-05
33 32 9999969 -3.45221e-05
34 33 9999968 -3.23419e-05
35 34 9999967 -3.0854e-05
36 35 9999966 -2.9926e-05
37 36 9999965 -2.94208e-05
38 37 9999964 -2.92052e-05
39 38 9999963 -2.91569e-05
40 39 9999962 -2.91682e-05
41 40 9999961 -2.91499e-05
42 41 9999960 -2.90318e-05
43 42 9999959 -2.8764e-05
44 43 9999958 -2.83153e-05
45 44 9999957 -2.76722e-05
46 45 9999956 -2.68368e-05
47 46 9999955 -2.58237e-05
48 47 9999954 -2.4657e-05
49 48 9999953 -2.33677e-05
50 49 9999952 -2.19899e-05
51 50 9999951 -2.05586e-05
52 51 9999950 -1.91067e-05
53 52 9999949 -1.76639e-05
54 53 9999948 -1.62553e-05
55 54 9999947 -1.49008e-05
56 55 9999946 -1.36153e-05
57 56 9999945 -1.24089e-05
58 57 9999944 -1.12875e-05
59 58 9999943 -1.02538e-05
60 59 9999942 -9.30781e-06
61 60 9999941 -8.44779e-06
62 61 9999940 -7.67118e-06
63 62 9999939 -6.97499e-06
64 63 9999938 -6.35598e-06
65 64 9999937 -5.81067e-06
66 65 9999936 -5.33503e-06
67 66 9999935 -4.92417e-06
68 67 9999934 -4.57202e-06
69 68 9999933 -4.2712e-06
70 69 9999932 -4.01302e-06
71 70 9999931 -3.78783e-06
72 71 9999930 -3.58568e-06
73 72 9999929 -3.39723e-06
74 73 9999928 -3.21439e-06
75 74 9999927 -3.03095e-06
76 75 9999926 -2.84278e-06
77 76 9999925 -2.64802e-06
78 77 9999924 -2.44712e-06
79 78 9999923 -2.24255e-06
80 79 9999922 -2.03818e-06
81 80 9999921 -1.83844e-06
82 81 9999920 -1.64745e-06
83 82 9999919 -1.46846e-06
84 83 9999918 -1.30357e-06
85 84 9999917 -1.15386e-06
86 85 9999916 -1.01978e-06
87 86 9999915 -9.01657e-07
88 87 9999914 -8.00074e-07
89 88 9999913 -7.15958e-07
90 89 9999912 -6.50324e-07
91 90 9999911 -6.03861e-07
92 91 9999910 -5.76562e-07
93 92 9999909 -5.67511e-07
94 93 9999908 -5.74742e-07
95 94 9999907 -5.95096e-07
96 95 9999906 -6.24152e-07
97 96 9999905 -6.56409e-07
98 97 9999904 -6.8582e-07
99 98 9999903 -7.06619e-07
100 99 9999902 -7.14214e-07
