# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00132745
2 1 10000000 0.00131045
3 2 9999999 0.00126094
4 3 9999998 0.00118292
5 4 9999997 0.0010822
6 5 9999996 0.000965487
7 6 9999995 0.000839529
8 7 9999994 0.000710531
9 8 9999993 0.000583785
10 9 9999992 0.000463511
11 10 9999991 0.000352825
12 11 9999990 0.000253818
13 12 9999989 0.000167663
14 13 9999988 9.47696e-05
15 14 9999987 3.49281e-05
16 15 9999986 -1.2545e-05
17 16 9999985 -4.86752e-05
18 17 9999984 -7.4714e-05
19 18 9999983 -9.2039e-05
20 19 9999982 -0.000102071
21 20 9999981 -0.000106207
22 21 9999980 -0.000105767
23 22 9999979 -0.000101957
24 23 9999978 -9.58433e-05
25 24 9999977 -8.83386e-05
26 25 9999976 -8.01957e-05
27 26 9999975 -7.20103e-05
28 27 9999974 -6.42287e-05
29 28 9999973 -5.71606e-05
30 29 9999972 -5.09954e-05
31 30 9999971 -4.58207e-05
32 31 9999970 -4.1642e-05
33 32 9999969 -3.84016e-05
34 33 9999968 -3.59972e-05
35 34 9999967 -3.42981e-05
36 35 9999966 -3.31602e-05
37 36 9999965 -3.2438e-05
38 37 9999964 -3.19937e-05
39 38 9999963 -3.17043e-05
40 39 9999962 -3.1465e-05
41 40 9999961 -3.11906e-05
42 41 9999960 -3.08161e-05
43 42 9999959 -3.02952e-05
44 43 9999958 -2.95991e-05
45 44 9999957 -2.8715e-05
46 45 9999956 -2.76448e-05
47 46 9999955 -2.64024e-05
48 47 9999954 -2.50121e-05
49 48 9999953 -2.35054e-05
50 49 9999952 -2.19188e-05
51 50 9999951 -2.02912e-05
52 51 9999950 -1.86627e-05
53 52 9999949 -1.70726e-05
54 53 9999948 -1.55577e-05
55 54 9999947 -1.41509e-05
56 55 9999946 -1.28791e-05
57 56 9999945 -1.17616e-05
58 57 9999944 -1.08094e-05
59 58 9999943 -1.00255e-05
60 59 9999942 -9.40477e-06
61 60 9999941 -8.93563e-06
62 61 9999940 -8.60119e-06
63 62 9999939 -8.38087e-06
64 63 9999938 -8.25174e-06
65 64 9999937 -8.18961e-06
66 65 9999936 -8.17004e-06
67 66 9999935 -8.16925e-06
68 67 9999934 -8.16532e-06
69 68 9999933 -8.13942e-06
70 69 9999932 -8.0769e-06
71 70 9999931 -7.96793e-06
72 71 9999930 -7.80747e-06
73 72 9999929 -7.59475e-06
74 73 9999928 -7.33244e-06
75 74 9999927 -7.02572e-06
76 75 9999926 -6.6813e-06
77 76 9999925 -6.3066e-06
78 77 9999924 -5.90926e-06
79 78 9999923 -5.49677e-06
80 79 9999922 -5.07643e-06
81 80 9999921 -4.65535e-06
82 81 9999920 -4.24037e-06
83 82 9999919 -3.83785e-06
84 83 9999918 -3.4534e-06
85 84 9999917 -3.09153e-06
86 85 9999916 -2.75574e-06
87 86 9999915 -2.44847e-06
88 87 9999914 -2.17117e-06
89 88 9999913 -1.92403e-06
90 89 9999912 -1.70583e-06
91 90 9999911 -1.5141e-06
92 91 9999910 -1.34574e-06
93 92 9999909 -1.19777e-06
94 93 9999908 -1.06806e-06
95 94 9999907 -9.55428e-07
96 95 9999906 -8.59389e-07
97 96 9999905 -7.7943e-07
98 97 9999904 -7.14366e-07
99 98 9999903 -6.61954e-07
100 99 9999902 -6.1884e-07
