# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00124087
2 1 10000000 0.00122513
3 2 9999999 0.00117926
4 3 9999998 0.00110693
5 4 9999997 0.00101347
6 5 9999996 0.000905023
7 6 9999995 0.000787825
8 7 9999994 0.000667614
9 8 9999993 0.000549313
10 9 9999992 0.000436859
11 10 9999991 0.000333186
12 11 9999990 0.000240275
13 12 9999989 0.00015926
14 13 9999988 9.05616e-05
15 14 9999987 3.40203e-05
16 15 9999986 -1.09695e-05
17 16 9999985 -4.53377e-05
18 17 9999984 -7.02313e-05
19 18 9999983 -8.69211e-05
20 19 9999982 -9.67252e-05
21 20 9999981 -0.000100945
22 21 9999980 -0.000100814
23 22 9999979 -9.74632e-05
24 23 9999978 -9.18941e-05
25 24 9999977 -8.49631e-05
26 25 9999976 -7.73766e-05
27 26 9999975 -6.96924e-05
28 27 9999974 -6.23284e-05
29 28 9999973 -5.5575e-05
30 29 9999972 -4.96118e-05
31 30 9999971 -4.45254e-05
32 31 9999970 -4.03279e-05
33 32 9999969 -3.69751e-05
34 33 9999968 -3.43829e-05
35 34 9999967 -3.24421e-05
36 35 9999966 -3.1031e-05
37 36 9999965 -3.00255e-05
38 37 9999964 -2.93068e-05
39 38 9999963 -2.87676e-05
40 39 9999962 -2.8316e-05
41 40 9999961 -2.78781e-05
42 41 9999960 -2.73988e-05
43 42 9999959 -2.68416e-05
44 43 9999958 -2.61865e-05
45 44 9999957 -2.54281e-05
46 45 9999956 -2.45717e-05
47 46 9999955 -2.36308e-05
48 47 9999954 -2.26231e-05
49 48 9999953 -2.15683e-05
50 49 9999952 -2.04852e-05
51 50 9999951 -1.93907e-05
52 51 9999950 -1.82985e-05
53 52 9999949 -1.72186e-05
54 53 9999948 -1.61586e-05
55 54 9999947 -1.51235e-05
56 55 9999946 -1.41168e-05
57 56 9999945 -1.31417e-05
58 57 9999944 -1.22015e-05
59 58 9999943 -1.13006e-05
60 59 9999942 -1.04451e-05
61 60 9999941 -9.64236e-06
62 61 9999940 -8.90119e-06
63 62 9999939 -8.23031e-06
64 63 9999938 -7.63702e-06
65 64 9999937 -7.12552e-06
66 65 9999936 -6.69572e-06
67 66 9999935 -6.34266e-06
68 67 9999934 -6.05691e-06
69 68 9999933 -5.82593e-06
70 69 9999932 -5.63585e-06
71 70 9999931 -5.4732e-06
72 71 9999930 -5.32626e-06
73 72 9999929 -5.1859e-06
74 73 9999928 -5.04579e-06
75 74 9999927 -4.90224e-06
76 75 9999926 -4.75402e-06
77 76 9999925 -4.60205e-06
78 77 9999924 -4.44909e-06
79 78 9999923 -4.29917e-06
80 79 9999922 -4.1567e-06
81 80 9999921 -4.02551e-06
82 81 9999920 -3.90783e-06
83 82 9999919 -3.80342e-06
84 83 9999918 -3.70929e-06
85 84 9999917 -3.61994e-06
86 85 9999916 -3.52812e-06
87 86 9999915 -3.426e-06
88 87 9999914 -3.3064e-06
89 88 9999913 -3.16391e-06
90 89 9999912 -2.99566e-06
91 90 9999911 -2.80159e-06
92 91 9999910 -2.58419e-06
93 92 9999909 -2.34768e-06
94 93 9999908 -2.09705e-06
95 94 9999907 -1.83732e-06
96 95 9999906 -1.57313e-06
97 96 9999905 -1.30881e-06
98 97 9999904 -1.04862e-06
99 98 9999903 -7.96967e-07
100 99 9999902 -5.58624e-07
