# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00632668
2 1 10000000 0.00624664
3 2 9999999 0.0060132
4 3 9999998 0.00564483
5 4 9999997 0.00516846
6 5 9999996 0.00461524
7 6 9999995 0.0040167
8 7 9999994 0.00340197
9 8 9999993 0.00279607
10 9 9999992 0.00221906
11 10 9999991 0.00168595
12 11 9999990 0.00120696
13 12 9999989 0.000788015
14 13 9999988 0.00043145
15 14 9999987 0.000136647
16 15 9999986 -9.92767e-05
17 16 9999985 -0.000280865
18 17 9999984 -0.000413781
19 18 9999983 -0.000504338
20 19 9999982 -0.000559114
21 20 9999981 -0.000584635
22 21 9999980 -0.000587123
23 22 9999979 -0.000572317
24 23 9999978 -0.000545339
25 24 9999977 -0.000510613
26 25 9999976 -0.00047183
27 26 9999975 -0.000431948
28 27 9999974 -0.00039322
29 28 9999973 -0.000357247
30 29 9999972 -0.000325056
31 30 9999971 -0.000297185
32 31 9999970 -0.000273767
33 32 9999969 -0.000254627
34 33 9999968 -0.000239367
35 34 9999967 -0.000227441
36 35 9999966 -0.000218226
37 36 9999965 -0.000211078
38 37 9999964 -0.00020538
39 38 9999963 -0.000200576
40 39 9999962 -0.00019619
41 40 9999961 -0.000191837
42 41 9999960 -0.000187229
43 42 9999959 -0.000182165
44 43 9999958 -0.000176527
45 44 9999957 -0.000170268
46 45 9999956 -0.000163397
47 46 9999955 -0.000155971
48 47 9999954 -0.000148078
49 48 9999953 -0.000139834
50 49 9999952 -0.000131366
51 50 9999951 -0.000122808
52 51 9999950 -0.000114293
53 52 9999949 -0.000105946
54 53 9999948 -9.78828e-05
55 54 9999947 -9.02083e-05
56 55 9999946 -8.30131e-05
57 56 9999945 -7.63727e-05
58 57 9999944 -7.03442e-05
59 58 9999943 -6.4963e-05
60 59 9999942 -6.02403e-05
61 60 9999941 -5.61634e-05
62 61 9999940 -5.2697e-05
63 62 9999939 -4.97879e-05
64 63 9999938 -4.73717e-05
65 64 9999937 -4.53793e-05
66 65 9999936 -4.37433e-05
67 66 9999935 -4.24016e-05
68 67 9999934 -4.12998e-05
69 68 9999933 -4.03896e-05
70 69 9999932 -3.96275e-05
71 70 9999931 -3.89721e-05
72 71 9999930 -3.83831e-05
73 72 9999929 -3.78206e-05
74 73 9999928 -3.72464e-05
75 74 9999927 -3.66249e-05
76 75 9999926 -3.59256e-05
77 76 9999925 -3.51249e-05
78 77 9999924 -3.42095e-05
79 78 9999923 -3.31781e-05
80 79 9999922 -3.20432e-05
81 80 9999921 -3.08314e-05
82 81 9999920 -2.95807e-05
83 82 9999919 -2.83363e-05
84 83 9999918 -2.7145e-05
85 84 9999917 -2.60493e-05
86 85 9999916 -2.50835e-05
87 86 9999915 -2.42709e-05
88 87 9999914 -2.36235e-05
89 88 9999913 -2.31426e-05
90 89 9999912 -2.28203e-05
91 90 9999911 -2.26399e-05
92 91 9999910 -2.25778e-05
93 92 9999909 -2.26062e-05
94 93 9999908 -2.26969e-05
95 94 9999907 -2.28239e-05
96 95 9999906 -2.29658e-05
97 96 9999905 -2.31044e-05
98 97 9999904 -2.32235e-05
99 98 9999903 -2.33063e-05
100 99 9999902 -2.33353e-05
