# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00644465
2 1 10000000 0.00636436
3 2 9999999 0.00613004
4 3 9999998 0.00575986
5 4 9999997 0.00528036
6 5 9999996 0.00472239
7 6 9999995 0.00411736
8 7 9999994 0.00349444
9 8 9999993 0.00287883
10 9 9999992 0.00229094
11 10 9999991 0.00174617
12 11 9999990 0.00125513
13 12 9999989 0.000824183
14 13 9999988 0.000456028
15 14 9999987 0.000150379
16 15 9999986 -9.53763e-05
17 16 9999985 -0.000285578
18 17 9999984 -0.000425751
19 18 9999983 -0.000522143
20 19 9999982 -0.000581333
21 20 9999981 -0.000609907
22 21 9999980 -0.000614202
23 22 9999979 -0.000600103
24 23 9999978 -0.000572899
25 24 9999977 -0.000537197
26 25 9999976 -0.000496868
27 26 9999975 -0.000455042
28 27 9999974 -0.000414134
29 28 9999973 -0.000375892
30 29 9999972 -0.000341469
31 30 9999971 -0.000311503
32 31 9999970 -0.000286207
33 32 9999969 -0.000265465
34 33 9999968 -0.000248914
35 34 9999967 -0.000236028
36 35 9999966 -0.000226189
37 36 9999965 -0.000218743
38 37 9999964 -0.00021305
39 38 9999963 -0.000208517
40 39 9999962 -0.000204624
41 40 9999961 -0.000200939
42 41 9999960 -0.000197127
43 42 9999959 -0.000192942
44 43 9999958 -0.000188229
45 44 9999957 -0.000182903
46 45 9999956 -0.000176946
47 46 9999955 -0.000170387
48 47 9999954 -0.000163297
49 48 9999953 -0.000155772
50 49 9999952 -0.000147926
51 50 9999951 -0.000139875
52 51 9999950 -0.000131738
53 52 9999949 -0.000123628
54 53 9999948 -0.000115648
55 54 9999947 -0.000107892
56 55 9999946 -0.00010044
57 56 9999945 -9.33591e-05
58 57 9999944 -8.67025e-05
59 58 9999943 -8.05101e-05
60 59 9999942 -7.48089e-05
61 60 9999941 -6.96135e-05
62 61 9999940 -6.4926e-05
63 62 9999939 -6.07366e-05
64 63 9999938 -5.7024e-05
65 64 9999937 -5.37568e-05
66 65 9999936 -5.08957e-05
67 66 9999935 -4.83956e-05
68 67 9999934 -4.62081e-05
69 68 9999933 -4.42831e-05
70 69 9999932 -4.25717e-05
71 70 9999931 -4.10274e-05
72 71 9999930 -3.9609e-05
73 72 9999929 -3.82817e-05
74 73 9999928 -3.70184e-05
75 74 9999927 -3.57988e-05
76 75 9999926 -3.46081e-05
77 76 9999925 -3.34336e-05
78 77 9999924 -3.22631e-05
79 78 9999923 -3.10835e-05
80 79 9999922 -2.98806e-05
81 80 9999921 -2.86421e-05
82 81 9999920 -2.73602e-05
83 82 9999919 -2.60355e-05
84 83 9999918 -2.4678e-05
85 84 9999917 -2.33072e-05
86 85 9999916 -2.19491e-05
87 86 9999915 -2.06325e-05
88 87 9999914 -1.93847e-05
89 88 9999913 -1.82269e-05
90 89 9999912 -1.71717e-05
91 90 9999911 -1.62211e-05
92 91 9999910 -1.53676e-05
93 92 9999909 -1.45961e-05
94 93 9999908 -1.38864e-05
95 94 9999907 -1.32166e-05
96 95 9999906 -1.25653e-05
97 96 9999905 -1.19156e-05
98 97 9999904 -1.12566e-05
99 98 9999903 -1.05861e-05
100 99 9999902 -9.91022e-06
