# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00460897
2 1 10000000 0.00455332
3 2 9999999 0.00439073
4 3 9999998 0.00413332
5 4 9999997 0.00379892
6 5 9999996 0.0034084
7 6 9999995 0.00298321
8 7 9999994 0.00254348
9 8 9999993 0.00210683
10 9 9999992 0.00168767
11 10 9999991 0.0012971
12 11 9999990 0.000942935
13 12 9999989 0.000630057
14 13 9999988 0.000360792
15 14 9999987 0.000135348
16 15 9999986 -4.77413e-05
17 16 9999985 -0.000191214
18 17 9999984 -0.000298703
19 18 9999983 -0.000374418
20 19 9999982 -0.000422862
21 20 9999981 -0.000448604
22 21 9999980 -0.000456092
23 22 9999979 -0.000449505
24 23 9999978 -0.000432644
25 24 9999977 -0.000408853
26 25 9999976 -0.000380982
27 26 9999975 -0.000351365
28 27 9999974 -0.000321836
29 28 9999973 -0.000293756
30 29 9999972 -0.000268061
31 30 9999971 -0.000245314
32 31 9999970 -0.00022577
33 32 9999969 -0.000209434
34 33 9999968 -0.000196125
35 34 9999967 -0.000185524
36 35 9999966 -0.000177227
37 36 9999965 -0.000170786
38 37 9999964 -0.00016574
39 38 9999963 -0.000161647
40 39 9999962 -0.000158102
41 40 9999961 -0.000154759
42 41 9999960 -0.000151336
43 42 9999959 -0.000147624
44 43 9999958 -0.000143487
45 44 9999957 -0.000138858
46 45 9999956 -0.00013373
47 46 9999955 -0.000128147
48 47 9999954 -0.000122189
49 48 9999953 -0.000115957
50 49 9999952 -0.000109565
51 50 9999951 -0.000103123
52 51 9999950 -9.6731e-05
53 52 9999949 -9.04747e-05
54 53 9999948 -8.44245e-05
55 54 9999947 -7.86374e-05
56 55 9999946 -7.31603e-05
57 56 9999945 -6.8033e-05
58 57 9999944 -6.32893e-05
59 58 9999943 -5.89574e-05
60 59 9999942 -5.50571e-05
61 60 9999941 -5.15972e-05
62 61 9999940 -4.8574e-05
63 62 9999939 -4.59703e-05
64 63 9999938 -4.37578e-05
65 64 9999937 -4.18992e-05
66 65 9999936 -4.03517e-05
67 66 9999935 -3.90691e-05
68 67 9999934 -3.80043e-05
69 68 9999933 -3.71105e-05
70 69 9999932 -3.63417e-05
71 70 9999931 -3.56538e-05
72 71 9999930 -3.5005e-05
73 72 9999929 -3.43571e-05
74 73 9999928 -3.36767e-05
75 74 9999927 -3.29363e-05
76 75 9999926 -3.21145e-05
77 76 9999925 -3.11959e-05
78 77 9999924 -3.01713e-05
79 78 9999923 -2.90373e-05
80 79 9999922 -2.77979e-05
81 80 9999921 -2.64651e-05
82 81 9999920 -2.50605e-05
83 82 9999919 -2.36137e-05
84 83 9999918 -2.21599e-05
85 84 9999917 -2.07355e-05
86 85 9999916 -1.93733e-05
87 86 9999915 -1.80977e-05
88 87 9999914 -1.6923e-05
89 88 9999913 -1.58528e-05
90 89 9999912 -1.4882e-05
91 90 9999911 -1.40001e-05
92 91 9999910 -1.31947e-05
93 92 9999909 -1.24554e-05
94 93 9999908 -1.17754e-05
95 94 9999907 -1.11538e-05
96 95 9999906 -1.05945e-05
97 96 9999905 -1.0106e-05
98 97 9999904 -9.69826e-06
99 98 9999903 -9.38095e-06
100 99 9999902 -9.16026e-06
