,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX
39,0.38,0.0011125,195.5407179548165,-98.58507200000008,0.1167812255859375,0.031237136180698837,0.00564846517802307,0.20664694707981637,42.290176010051,0.00210513493932735,0.0009945554451106795,0.034963555274648485,2.447608265778023e-14
36,0.39,0.0165484375,223.19830297439876,-106.60884000000013,0.14982864990234376,0.046343589907139514,0.006455745279658072,0.22506803040925383,49.50083715804625,0.0024792073613489657,0.001275011210452352,0.035662806811222934,2.8157987790378828e-14
17,0.4,0.0234484375,270.58949283840775,-115.52703999999991,0.20014171142578124,0.07361651374474165,0.007511797584205044,0.2492808013715827,59.38708149507492,0.0029491614608282246,0.0017176981771380214,0.03617995162678675,2.971188129612719e-14
7,0.41,0.0002015625,316.6951919661424,-126.33018399999945,0.26560958251953126,0.11593307616487146,0.008703206073179872,0.27502401578303104,71.45632640867896,0.003452798866729016,0.0023096259526491515,0.03649538612377082,2.5270037171229203e-14
26,0.42,0.04813125,378.15137256959497,-138.2404800000004,0.3544084716796875,0.18139517188221216,0.010065678912285998,0.30335802967955083,84.71665591009739,0.003863738772968158,0.0028750569004695765,0.036825891509633044,3.7134430502767775e-14
13,0.43,0.0917484375,382.32867679002084,-150.44427200000047,0.44335123291015627,0.25146902173236013,0.011213328280082278,0.30492227506290615,91.69849985344274,0.003815886092198569,0.003210831834497228,0.03699724269951221,3.623113183843262e-14
38,0.44,0.15675,394.2951985110849,-163.3216639999996,0.54295205078125,0.3454661127954721,0.012261241901831353,0.31013156136022535,99.5293835519233,0.0036656540807898973,0.003412996677585202,0.037114408136878135,4.720615490003566e-14
9,0.45,0.26686875,358.79308525440865,-175.3538400000005,0.619317919921875,0.4255570938616991,0.012615936337702409,0.29187243400536245,99.77408331526564,0.0033062828718424114,0.0033757776249666313,0.0371623421674995,8.056801138224884e-14
23,0.46,0.4087515625,292.3369806479386,-186.70700799999946,0.6879444213867187,0.5016729022733867,0.012303128284182804,0.25790403419849484,94.20429026078355,0.002662741892047177,0.0030499753057012255,0.03719013138115399,8.932669150313438e-14
29,0.47,0.1350921875,285.9266257896961,-195.97195199999962,0.7291207885742188,0.5560856740556658,0.014384190499837309,0.2554919150941396,97.53850406549655,0.002479591086851569,0.0029604552582081466,0.03724802278097058,9.351793446445633e-14
37,0.48,0.204725,247.09847408641508,-206.09856000000016,0.7733723388671875,0.6150280210480094,0.014594158403493766,0.2338794926176817,93.99906179730557,0.0020184129693926254,0.002665549515442057,0.037264098916113965,1.1022948505704334e-13
14,0.49,0.8970890625,207.5543703192743,-215.21544799999938,0.8087716674804688,0.6651455580227077,0.0009543224677616812,0.20932742740708132,88.65236971303932,0.0015729704580714357,0.0023029463621158522,0.029116600925037425,1.171225111446883e-13
27,0.5,0.9126328125,177.79295935999835,-223.5992,0.8354184692382812,0.7056105195201934,0.0007326157503696663,0.1914080530680615,84.42779550096861,0.001277474366458701,0.002000291905188157,0.02725877249885209,0.0
45,0.51,0.9240171875,162.30038578560925,-231.69912000000076,0.8561257202148438,0.739848491986841,0.0007210643841959747,0.18409140804511748,83.94265862706574,0.0012325769315686304,0.0019249514517724246,0.028705541112897238,1.2243217553892388e-13
18,0.52,0.934028125,149.87268379034504,-239.34060799999958,0.8739924072265625,0.7690268872514368,0.0005799641987358842,0.17621077988088607,83.13445630519523,0.0010453065633465421,0.0017288151684143357,0.02717729519748711,1.2894723973475494e-13
32,0.53,0.9406890625,137.93407011611998,-246.4296480000004,0.8862973022460937,0.7901072002641857,0.0005503632965146756,0.16829844151420004,81.99465359204734,0.0009915510122015195,0.0016495872772858528,0.027660691526077728,9.947518470598284e-14
41,0.54,0.947903125,131.79046459161327,-253.65787200000113,0.8996348876953125,0.8131472951397299,0.0004826653072147988,0.16361194267817045,81.8592566793121,0.0008901242602362247,0.0015287225478706934,0.026749423323576327,1.227905145946041e-13
48,0.55,0.953765625,111.5800249343738,-260.62783999999937,0.9105474853515625,0.8321246931478381,0.0004313393974003834,0.15122528506944435,77.99267313908979,0.0007987142417937817,0.0013884858650356506,0.027099501366854507,1.20023893570818e-13
46,0.56,0.9582703125,110.32092252159782,-267.23872000000074,0.9190614379882812,0.8474113188035786,0.0003967864305222109,0.14831627678635995,78.29621001957838,0.0007427933575737796,0.0013124177144111188,0.02584940780366087,1.629297101889769e-13
31,0.57,0.963246875,100.31970444996841,-274.09749599999833,0.9284707763671874,0.8642982092544437,0.0003576141156847559,0.14182324304945532,76.86740366204799,0.0006758289990582578,0.0012137106528868262,0.026134587333791787,1.3599358855346056e-13
25,0.58,0.9666765625,95.98423069081036,-280.37107199999997,0.9350223022460937,0.8762820507250726,0.0003365607434751858,0.1393783164914293,77.24593174504287,0.0006391276424786451,0.0011578693558387055,0.025944859576072718,1.45887405758734e-13
10,0.59,0.97071875,87.16217234167561,-287.01895200000126,0.942746142578125,0.8904209564447403,0.0003015650704087881,0.13221874449289867,75.08810778835748,0.000576800074516166,0.0010589770631764456,0.025790931075370043,1.205491229560055e-13
50,0.6,0.9738828125,78.74199037438666,-293.3198399999987,0.9488154663085937,0.9016106856368482,0.0002727983851432802,0.12571708199512166,73.02282224306627,0.0005245147514271945,0.0009722710117449169,0.025898410625824944,1.0361166606200313e-13
30,0.61,0.9764109375,74.51582890744612,-299.48511200000087,0.9537061889648437,0.9107749963693321,0.0002560368704612471,0.12174690789122099,72.13007629498533,0.0004936987674169836,0.000920134227202794,0.025587409263888004,9.849723922421308e-14
47,0.62,0.97868125,69.15422153705731,-305.576176000001,0.9581015625,0.9190242223531008,0.00024023684463749182,0.11845372733117365,71.6729381773761,0.00046494882954035836,0.0008726433808685381,0.025954223000136195,1.9187048711397772e-13
42,0.63,0.9804921875,64.97186676421552,-311.4624239999989,0.9616202270507812,0.925673267159611,0.00022589861009394014,0.11387233797671525,70.22698443220173,0.0004379784872858421,0.0008247909459356349,0.025580203438532446,1.0098192692342232e-13
28,0.64,0.9826703125,58.350443954230286,-317.53676799999874,0.9658495727539063,0.9336554360754787,0.00020474804008627765,0.10788727262836079,67.86470731421545,0.00039840704800264915,0.0007555081380212288,0.025714998664228158,7.739410720108445e-14
0,0.65,0.9837796875,55.118030718382215,-323.1160400000015,0.9680137817382812,0.9377770558066666,0.00019647579374883605,0.1051745891750601,67.35834161933374,0.00038282771728005976,0.0007278142022137793,0.025823054923985872,3.275382486191218e-13
24,0.66,0.9854390625,53.73392071445414,-329.0807519999987,0.9712657348632813,0.9440268587477505,0.0001867053276211086,0.10304655309315348,67.17461748871095,0.00036464987926293447,0.0006963599973155439,0.025406176504510675,1.4695560910319423e-13
12,0.67,0.98705625,48.55005795609031,-335.0096479999991,0.974429638671875,0.9500862557023764,0.0001734299888600471,0.09876540205952387,65.55972567954635,0.00033946952006972455,0.0006510214630245084,0.025730349441748013,1.2970622652697592e-13
6,0.68,0.98798125,48.11081742745591,-340.57011200000204,0.9762496337890625,0.9536102999642492,0.0001693776733624775,0.09832712364762473,66.28281123983987,0.0003316297113662856,0.000636392234721157,0.02573130805548641,1.5574923919307214e-13
40,0.69,0.9891625,42.35835800154018,-346.25027999999924,0.97855830078125,0.9580233757436275,0.00015118102560614434,0.09137013221218873,62.72348003824569,0.00029698081587275387,0.000573404481869389,0.02524782558767883,2.4766949601875246e-13
15,0.7,0.990309375,40.52062730237958,-352.0182399999992,0.9808229736328125,0.9624390198603272,0.00014779186663242645,0.08905464018849188,62.10822690217226,0.00029015334847903455,0.0005597210405491118,0.02533891112853702,2.481218041882911e-13
22,0.71,0.99096875,36.77744512759091,-357.45887200000016,0.98211279296875,0.9649087311893702,0.0001375177949354452,0.08622976837812713,61.128773432282955,0.00027072673999158406,0.000524924225129629,0.025820499401984606,1.625829578642837e-13
34,0.72,0.9918546875,35.24088043931988,-363.08044799999954,0.9838628051757813,0.9683234713949264,0.00013309960344471414,0.08460041650330695,60.870107569676144,0.00026202404970229276,0.0005081012215893654,0.02603382352080198,7.523284560907376e-14
1,0.73,0.9923671875,33.46060034970287,-368.46195199999886,0.9848719848632812,0.9702807619191706,0.00012702070703089007,0.08234157502507526,60.15219258295389,0.00025020745603487123,0.0004858025421696928,0.026021062279724585,2.4498424214419424e-13
5,0.74,0.993225,30.12829347816296,-374.06881600000065,0.9865627685546875,0.9735666689798236,0.00011607788052609828,0.07786278257073795,57.76817863559086,0.00022912923084438536,0.00044658648090046735,0.025787198560302264,4.0955190542691586e-13
21,0.75,0.9936515625,29.542431959998794,-379.4202,0.9874076293945313,0.9752238612748683,0.00011260292794088132,0.07655972921284154,57.60598558274472,0.00022222304175197754,0.0004330132568116448,0.025274099934955763,0.0
