,J,M,X,E
14,0.25,0.00020859375,173.44610395999553,-143.0098
12,0.26,0.000322265625,192.8074921244188,-155.87332800000019
43,0.27,0.001414453125,207.36897006182699,-169.7837760000004
26,0.28,0.0017671875,237.22175481446902,-184.1602560000006
1,0.29,0.00017109375,273.0686483445679,-199.85036800000051
29,0.3,0.0009515625,289.96056575998955,-216.31680000000006
15,0.31,0.00293828125,330.8559652141412,-234.16581600000123
33,0.32,0.0035625,348.6527497174975,-252.18713599999697
38,0.33,0.00024921875,390.38335395840113,-272.1470400000008
30,0.34,0.00052734375,435.4988801802101,-292.61542400000144
5,0.35,0.00071796875,491.9766144495952,-315.4174799999984
20,0.36,0.005687109375,559.7780861584179,-339.4126080000042
27,0.37,0.002516015625,622.3960727908125,-364.98990400000275
46,0.38,0.00265390625,683.0872634979605,-391.491503999997
3,0.39,0.004622265625,800.9169343342946,-420.7148399999935
2,0.4,0.015916796875,908.8584088575735,-453.13632000000143
49,0.41,0.01004375,1153.9580037148262,-490.7450719999999
23,0.42,0.0894328125,1420.7762486453285,-532.5475679999962
35,0.43,0.1270265625,1776.3467437405488,-584.6926720000058
16,0.44,0.138343359375,1809.6672078960692,-641.9765439999992
41,0.45,0.07405625,1506.7742751935148,-698.680079999992
11,0.46,0.812212890625,1307.9956697856542,-744.1291199999939
17,0.47,0.8483484375,1128.6172843378736,-785.5933440000159
22,0.48,0.875572265625,950.3539783926681,-823.6423680000079
34,0.49,0.896073046875,846.4842816321179,-859.71401600001
32,0.5,0.911568359375,750.1987840001239,-893.896
31,0.51,0.92263125,690.978224849212,-925.1628479999889
6,0.52,0.933365625,619.9595524092438,-956.9164799999885
8,0.53,0.941190625,557.7201488938881,-986.1141839999761
48,0.54,0.94807109375,518.2351686861366,-1014.5982240000145
4,0.55,0.95387578125,471.66707422584295,-1042.5258800000113
24,0.56,0.959021484375,433.4682514392771,-1069.6143359999976
42,0.57,0.9635125,406.4970232876949,-1096.6225439999969
7,0.58,0.967205859375,368.80141050880775,-1122.1983839999982
47,0.59,0.970637890625,346.21971284248866,-1147.7312479999878
18,0.6,0.9736734375,317.6709120001178,-1173.1200000000213
40,0.61,0.976205078125,302.8781536491588,-1197.5934800000205
50,0.62,0.978944140625,272.46625647949986,-1222.7268000000072
39,0.63,0.980567578125,257.9061978866812,-1245.8804399999929
36,0.64,0.982399609375,240.42429585801437,-1269.7272319999793
25,0.65,0.984209375,225.0770781368483,-1293.5343199999766
13,0.66,0.98560859375,212.59632825502194,-1316.619744000003
10,0.67,0.98684453125,198.03335545468144,-1339.4291599999888
19,0.68,0.9881015625,186.49645206611603,-1362.3832639999841
45,0.69,0.9892171875,172.41573185217567,-1385.2235760000258
28,0.7,0.990019140625,167.88497600029223,-1407.3080000000134
44,0.71,0.991052734375,151.65719418181106,-1430.011568000008
37,0.72,0.991989453125,138.4080154588446,-1452.579264000035
9,0.73,0.99255390625,138.4423979506828,-1474.2583600000207
21,0.74,0.99312265625,125.49366688169539,-1496.0574080000144
0,0.75,0.993762109375,118.72247003996745,-1518.0114
