,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX
8,0.435,0.18944114583333335,4807.387554062298,-1372.6070039999518,0.3047749422803337,0.12591422879867464,0.008848104506679215,1.112848237082288,3061.5996057500633,0.003081895813509712,0.001871056313855288,0.3353484487024202,4.046190949393933e-12
6,0.436,0.02425798611111111,4676.922459239606,-1382.5734400000042,0.3136991394796489,0.12856961756889213,0.009549008211117847,1.094848335155015,3032.267106672573,0.0029419317966372293,0.0018178133256770111,0.3354163668126472,4.0609917019550024e-12
2,0.437,0.12848593750000004,4837.160002864199,-1402.3920824000172,0.3537092063621239,0.15468148584003735,0.009910444533291735,1.1150958316232256,3124.672473570677,0.002912202424317605,0.0019428695019419653,0.3354776418198097,4.280069473694348e-12
4,0.438,0.29186232638888887,4496.051313933451,-1415.267702399983,0.3660784805109471,0.16496588562178563,0.009043974908270556,1.0686431734235085,3022.4850564172184,0.0029778586060204225,0.001974216064879814,0.3353825884199684,4.116836549610003e-12
3,0.439,0.21386857638888887,4617.935152035905,-1419.7902695999937,0.3574569720232928,0.15895599019439435,0.009527920167892157,1.0862004549170503,3085.7924889616725,0.002990472808660255,0.0020319037806685266,0.3354293484490879,4.2627103699454175e-12
5,0.44,0.15851961805555553,5154.014006441226,-1440.3649920000553,0.3980193415135513,0.19131418382743487,0.010422635734657567,1.15286361626418,3313.6825132372196,0.0030725046024843252,0.002219663888149952,0.335535888228273,4.42158510273416e-12
10,0.441,0.4000210069444444,4621.678118622396,-1453.525768800009,0.41917554328824264,0.2032502438488762,0.008687239152842302,1.084615934944523,3142.0553012396895,0.0028051622738168823,0.002075068776988207,0.33540019531793225,4.463225525568923e-12
9,0.442,0.6588751736111111,4506.338802059181,-1471.6559728000186,0.45456567849995183,0.2318560958924615,0.0024226814188563813,1.0674694834073826,3132.21135080974,0.002683032701570849,0.0021385169449438233,0.33058431462721766,4.3152886759190925e-12
0,0.443,0.5868427083333334,4694.818528060801,-1476.8493007999691,0.44717229094328703,0.22827620573288154,0.005465827440982641,1.0946737308545322,3224.255319236967,0.002845055676442684,0.0021886074767631203,0.33476137193959793,4.433984120542724e-12
1,0.444,0.6819253472222223,4379.459285541903,-1495.601923199965,0.4837669578269675,0.25590490764798124,0.0023186637788764454,1.051601678981005,3130.616194969988,0.002492500851360849,0.002068003589290263,0.33033976137827087,4.786139443930263e-12
11,0.445,0.7136086805555556,3631.06172871124,-1511.068700000034,0.5172370861665703,0.2812882233056841,0.0014973760054451525,0.9433281136696356,2837.838031263994,0.0019575423838581406,0.001839365915608956,0.3228134566852281,4.574696492394699e-12
7,0.446,0.727984375,3743.5348782157525,-1527.0797376000457,0.5368287998529128,0.3008442919748775,0.0013841395625684167,0.9547473467247669,2908.6050434209637,0.001874006694756754,0.0018587784552241068,0.3213095031353504,4.3510695113702874e-12
