,J,M,X,E
1,0.25,0.0006677083333333329,398.549289439994,-320.6916
50,0.26,0.0008440972222222221,436.1577785343834,-350.9958399999967
25,0.27,0.00043993055555555555,483.97168402327225,-381.90355200000056
40,0.28,0.001248784722222222,526.2927473663876,-415.1145599999955
31,0.29,0.002819444444444443,579.0773667557223,-449.45383200000236
42,0.3,0.0003342013888888889,654.6704209345044,-487.37784000000886
2,0.31,0.0010267361111111102,755.6911697350442,-526.948664000002
48,0.32,0.0003835069444444436,803.1909261476249,-567.4903039999936
21,0.33,0.001759375,870.2394026136026,-612.2091360000038
4,0.34,0.004883159722222221,986.788182155171,-659.7218559999947
43,0.35,0.005388715277777776,1111.814696160145,-710.2228000000129
39,0.36,0.0018085069444444442,1226.9136329072062,-763.5058560000203
38,0.37,0.005882118055555554,1416.0516953701153,-820.3124960000083
11,0.38,0.0011501736111111107,1575.2665181691991,-881.1072159999912
22,0.39,0.010260243055555552,1739.809313259204,-948.1798559999751
34,0.4,0.007629687499999998,1991.0749618175905,-1021.2723199999733
20,0.41,0.0030194444444444435,2345.333822359564,-1098.201400000015
3,0.42,0.05524322916666667,3029.1795855329838,-1188.9840479999943
29,0.43,0.08106666666666668,4297.440548721235,-1309.1346559999822
6,0.44,0.02193402777777777,5030.340640727198,-1437.730272000055
13,0.45,0.7516060763888889,3665.6479606465437,-1568.3925600000434
36,0.46,0.8129739583333333,2991.2067539431155,-1673.2264480000363
5,0.47,0.8531414930555554,2306.4095705021173,-1769.7146880000732
45,0.48,0.875807986111111,2157.650685443543,-1853.451648000047
30,0.49,0.8963519097222222,1815.9126991620287,-1935.3726000000297
41,0.5,0.9111123263888888,1678.8510406403802,-2010.5544
46,0.51,0.9236741319444445,1501.6684007365257,-2083.4838239999694
18,0.52,0.9331453125,1348.1929464228451,-2152.2537919999463
47,0.53,0.941090625,1251.7114106025547,-2218.3141519999153
19,0.54,0.9484105902777777,1147.2848410317674,-2284.0889759999304
26,0.55,0.9536887152777778,1045.2113736951724,-2345.129159999908
15,0.56,0.9591802083333332,984.6396460691467,-2407.7182079998674
27,0.57,0.9633710069444443,900.202568827197,-2466.431952000033
44,0.58,0.9672038194444446,838.4835064569488,-2524.9826719999996
14,0.59,0.9705338541666666,788.121690729633,-2582.366751999963
23,0.6,0.9734184027777777,728.653731841594,-2638.3295999999614
12,0.61,0.976353125,659.6055336017162,-2695.1034639999343
35,0.62,0.9786076388888889,613.988226249814,-2749.6925599998867
8,0.63,0.9807050347222223,598.8484414555132,-2803.9667040001204
24,0.64,0.9823085069444445,538.7385841896757,-2856.492032000087
7,0.65,0.9841439236111109,530.0795699059963,-2910.092120000072
0,0.66,0.9856088541666668,468.3441596105695,-2962.379376000079
49,0.67,0.9869777777777777,457.5779454745352,-3014.3819920000515
16,0.68,0.9880810763888891,412.6587113440037,-3065.3823360000265
33,0.69,0.9891881944444445,386.94565446674824,-3116.463384000163
10,0.7,0.99019375,367.96944634243846,-3167.3202400001246
28,0.71,0.9910307291666668,340.61136040464044,-3217.4212320000993
37,0.72,0.9918515625,317.5853446107358,-3267.524736000101
17,0.73,0.9925260416666666,294.93833094090223,-3316.982760000067
32,0.74,0.9931567708333332,277.99956665560603,-3366.3002560000346
9,0.75,0.9938361111111111,257.8406040016562,-3415.986
