,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX
14,0.35,0.00013251953125,1960.4807174396701,-1261.3384000000258,0.0037622154712676705,4.12628043885504e-05,0.0009794216495026102,0.6309652902191463,1594.3212276655656,7.890192244209345e-05,1.820106138134969e-06,0.5220845556964004,3.3021509253681044e-12
10,0.36,0.0027751953125,2152.8932841215283,-1356.893280000013,0.0045192896842956255,5.731945033914447e-05,0.0010847440336427027,0.6682560636549475,1815.2036274833433,9.313259693841867e-05,2.42598997754099e-06,0.5340331227198107,4.053482352472203e-12
2,0.37,0.0016244140625,2430.2871407610364,-1458.14927999998,0.005602506637573211,8.948162090509063e-05,0.0012241427621309915,0.7164206833380123,2092.2178185404255,0.00011976977351887678,4.229960062090561e-06,0.5479355009702724,4.59143709715618e-12
6,0.38,0.00171328125,2727.3897011918016,-1568.8889760000245,0.007555332374572722,0.0001692765031711477,0.0014382395800034622,0.7698271646487552,2418.2300593649593,0.0001705251489088787,8.361613115845437e-06,0.5608164497448143,4.628011569626445e-12
28,0.39,0.0117603515625,3158.3433759845793,-1685.1553679999954,0.011042069339752165,0.000337347255639458,0.0017479344904122614,0.8326433513627278,2808.2828814229324,0.00024020540346359192,1.5210940555503682e-05,0.573742427630045,5.043894636906363e-12
35,0.4,0.0072267578125,3595.5822959612124,-1812.4412799999773,0.015602706623077365,0.0006692615452827362,0.002102336714885685,0.8945715932093798,3248.4996845611845,0.0003427456621831988,2.9853785533181024e-05,0.5819743162366052,7.94882162649878e-12
25,0.41,0.00515009765625,4171.443399234209,-1952.1372639999975,0.024560794878005946,0.0018526953969449419,0.002653061702616216,0.977390374307852,3822.421998802296,0.000594360234570721,9.92240047460276e-05,0.5874414959319166,1.0609907796533814e-11
36,0.42,0.0172912109375,5023.741358556785,-2111.567807999966,0.04768629436492917,0.005877671901150749,0.003704189416780806,1.0983674717356982,4649.284208398527,0.0010162560129472742,0.00022063861344495493,0.5928808412967128,1.0532741777009343e-11
22,0.43,0.03653603515625,6835.390697652474,-2302.1756239999445,0.12974021534919739,0.031587586417333356,0.006112468279267933,1.3063245429091113,6034.351945986534,0.0020647828457080056,0.0007976992936125669,0.5957900669340291,1.1295508850500156e-11
21,0.44,0.0930765625,10046.104324892163,-2541.920480000192,0.3460875454902649,0.15096744974087697,0.00991612880261147,1.6206253903788044,8222.304102388534,0.0030020854948730157,0.0018850848298667998,0.5966931455345806,1.2599180495674759e-11
33,0.45,0.74981611328125,6544.798553535715,-2788.5171600001263,0.5662549714565277,0.32874720708163296,0.0010646048562250785,1.2677383884604891,7053.5921615220905,0.001506582873799008,0.0015751277701252244,0.5757476825583738,1.3601332049076379e-11
47,0.46,0.81604130859375,4767.7207506317645,-2980.6244640001396,0.6670924256801605,0.44800457217154216,0.0005573372055515077,1.0491573178562223,6242.192214896417,0.0008904864232655926,0.0011488179797250245,0.544078473579329,1.7966266395639207e-11
4,0.47,0.8521181640625,4349.637739256024,-3146.6657920001107,0.7267844250679016,0.5301290808310204,0.00041654397672445036,0.9888909736594544,6213.240791028153,0.0006983135118000847,0.000987912010507023,0.5231870020121555,1.9601120278168008e-11
37,0.48,0.877201171875,3743.437274724245,-3297.1065600001016,0.7698781288146973,0.5939107642696801,0.00031052551007954834,0.9023694589089716,5942.438637575098,0.000539526885093953,0.0008168553039147439,0.49829570733619966,2.076473765375869e-11
50,0.49,0.8960025390625,3281.2056989129633,-3439.3327360000185,0.8030891182899476,0.6458044523119605,0.0002522155651030709,0.8422239874487387,5785.1092446364,0.0004490298368376013,0.0007128221503548477,0.4849892708321285,2.120595846447667e-11
43,0.5,0.9112720703125,2926.954687360674,-3574.6792,0.8306013210296631,0.6905071201568264,0.0002043699219267263,0.7874694811319367,5624.939838419507,0.0003710229960668988,0.0006120900580563283,0.46344535487771943,0.0
29,0.51,0.9233708984375,2762.0163615606725,-3702.916199999976,0.852749194908142,0.7276402368015601,0.00017182855595811804,0.7584576028991119,5612.714061282559,0.00031631363341896163,0.0005363923336428911,0.4465632902134809,3.325752472988613e-11
48,0.52,0.9330552734375,2421.1503485888243,-3826.1616639998883,0.87069875831604,0.7584856726425462,0.00015262608765708656,0.7092367398238468,5422.192611135085,0.00028399117314149044,0.0004919150472778144,0.4473858141338185,3.355964907489076e-11
18,0.53,0.9408744140625,2167.7007658667862,-3942.856135999857,0.8853276408195495,0.7840976742498248,0.00013226518290907662,0.6651335887962524,5241.22402177397,0.00024834866619669174,0.00043798861783273706,0.4316903454566698,3.498151596256306e-11
15,0.54,0.94806943359375,2006.1313169430941,-4058.9268479998113,0.8989019830226899,0.8082625699161423,0.00011709063720033651,0.6349379022325916,5151.008594848482,0.00022166305818381192,0.0003973288355944585,0.42321750730292257,3.535271490978771e-11
19,0.55,0.95389853515625,1931.231600254774,-4170.162479999812,0.9099796104907989,0.828270318393685,0.00010915928017195438,0.6288925829091174,5241.669331731646,0.00020786854727559013,0.00037701843397484793,0.426584875971078,1.7612277761085483e-11
27,0.56,0.95901455078125,1746.295378331095,-4278.852479999689,0.9197561004161835,0.8461243814544259,9.91020543905357e-05,0.5971947926600112,5106.935555640236,0.00018978065839041832,0.00034807324697081073,0.4261296974798233,2.95661528794259e-11
40,0.57,0.963537890625,1613.2593749202788,-4386.2229599999455,0.9284439032554627,0.8621512541599048,8.91607954654362e-05,0.574757091447075,5039.473163844434,0.00017163355525132054,0.0003180640432608209,0.42130073437979465,3.398645738023091e-11
31,0.58,0.9672724609375,1464.3992509432137,-4489.313679999753,0.9356481249809265,0.8755573245975309,8.044747709051564e-05,0.542876654192783,4870.750551743812,0.00015545855915903215,0.00029030614237052297,0.4126768920321623,3.270465674481308e-11
34,0.59,0.9706158203125,1390.3310029953718,-4591.1454159998875,0.942122910118103,0.8877002931974064,7.510951812118592e-05,0.5300979379140353,4864.1923083764605,0.00014567094625201178,0.0002740041991846716,0.4149272529819653,3.460322007153988e-11
42,0.6,0.97353193359375,1279.0786858014762,-4691.184959999659,0.9477884110927581,0.898393616834245,6.916878110356353e-05,0.503572877354682,4720.142546178907,0.00013453426704202641,0.0002545073655993634,0.4084293850572038,3.372030636993931e-11
32,0.61,0.97626103515625,1193.811840455979,-4790.78042399985,0.95310624127388,0.9084900222512763,6.372624866472369e-05,0.4815389696325557,4609.693238747319,0.0001243104080468387,0.00023653890361379062,0.4030210574170076,3.456379779502214e-11
