,T,M,E,E2,X,J,B,M2,M4
0,0,-0.98828125,-1382.7600000000255,1912025.2176000704,32,0.69,0.0,0.9766998291015625,0.9539425561670214
1,10,-0.98828125,-1385.520000000026,1919665.670400072,32,0.69,0.0,0.9766998291015625,0.9539425561670214
2,20,-0.974609375,-1341.360000000023,1799246.649600062,32,0.69,0.0,0.9498634338378906,0.9022405429423088
3,30,-0.970703125,-1335.8400000000227,1784468.5056000606,32,0.69,0.0,0.9422645568847656,0.8878624951612437
4,40,-0.994140625,-1396.5600000000268,1950379.8336000748,32,0.69,0.0,0.9883155822753906,0.9767676901683444
5,50,-0.990234375,-1385.5200000000254,1919665.6704000705,32,0.69,0.0,0.9805641174316406,0.9615059883944923
6,60,-0.984375,-1374.4800000000253,1889195.2704000694,32,0.69,0.0,0.968994140625,0.9389496445655823
7,70,-0.986328125,-1374.4800000000257,1889195.2704000706,32,0.69,0.0,0.9728431701660156,0.9464238337386632
8,80,-0.99609375,-1402.0800000000268,1965828.326400075,32,0.69,0.0,0.9922027587890625,0.9844663145486265
9,90,-0.986328125,-1377.2400000000252,1896790.0176000695,32,0.69,0.0,0.9728431701660156,0.9464238337386632
10,100,-0.98046875,-1363.4400000000248,1858968.6336000678,32,0.69,0.0,0.9613189697265625,0.9241341615561396
11,110,-0.986328125,-1377.2400000000257,1896790.0176000707,32,0.69,0.0,0.9728431701660156,0.9464238337386632
12,120,-0.98828125,-1382.7600000000257,1912025.217600071,32,0.69,0.0,0.9766998291015625,0.9539425561670214
13,130,-0.98828125,-1380.000000000026,1904400.0000000715,32,0.69,0.0,0.9766998291015625,0.9539425561670214
14,140,-0.990234375,-1385.5200000000266,1919665.6704000738,32,0.69,0.0,0.9805641174316406,0.9615059883944923
15,150,-0.994140625,-1396.5600000000265,1950379.833600074,32,0.69,0.0,0.9883155822753906,0.9767676901683444
16,160,-0.9921875,-1393.800000000026,1942678.4400000728,32,0.69,0.0,0.98443603515625,0.9691143073141575
17,170,-0.986328125,-1374.480000000025,1889195.2704000687,32,0.69,0.0,0.9728431701660156,0.9464238337386632
18,180,-0.98828125,-1382.7600000000252,1912025.2176000697,32,0.69,0.0,0.9766998291015625,0.9539425561670214
19,190,-0.990234375,-1385.5200000000257,1919665.6704000712,32,0.69,0.0,0.9805641174316406,0.9615059883944923
20,200,-0.986328125,-1374.4800000000253,1889195.2704000694,32,0.69,0.0,0.9728431701660156,0.9464238337386632
21,210,-0.994140625,-1396.5600000000268,1950379.8336000748,32,0.69,0.0,0.9883155822753906,0.9767676901683444
22,220,-0.986328125,-1374.4800000000255,1889195.2704000701,32,0.69,0.0,0.9728431701660156,0.9464238337386632
23,230,-0.9921875,-1391.040000000026,1934992.2816000727,32,0.69,0.0,0.98443603515625,0.9691143073141575
24,240,-0.994140625,-1396.5600000000265,1950379.833600074,32,0.69,0.0,0.9883155822753906,0.9767676901683444
25,250,-0.994140625,-1396.5600000000263,1950379.8336000736,32,0.69,0.0,0.9883155822753906,0.9767676901683444
26,260,-0.98828125,-1382.7600000000255,1912025.2176000704,32,0.69,0.0,0.9766998291015625,0.9539425561670214
27,270,-0.9765625,-1355.1600000000242,1836458.6256000656,32,0.69,0.0,0.95367431640625,0.9094947017729282
28,280,-0.98828125,-1391.0400000000263,1934992.2816000732,32,0.69,0.0,0.9766998291015625,0.9539425561670214
29,290,-0.9921875,-1396.5600000000265,1950379.833600074,32,0.69,0.0,0.98443603515625,0.9691143073141575
30,300,-0.982421875,-1368.9600000000244,1874051.4816000666,32,0.69,0.0,0.9651527404785156,0.9315198124531889
31,310,-0.9921875,-1391.0400000000268,1934992.2816000746,32,0.69,0.0,0.98443603515625,0.9691143073141575
32,320,-0.998046875,-1407.6000000000274,1981337.7600000773,32,0.69,0.0,0.9960975646972656,0.9922103583958233
33,330,-0.9921875,-1391.0400000000263,1934992.2816000732,32,0.69,0.0,0.98443603515625,0.9691143073141575
34,340,-0.994140625,-1396.560000000027,1950379.8336000754,32,0.69,0.0,0.9883155822753906,0.9767676901683444
35,350,-0.990234375,-1388.2800000000257,1927321.3584000713,32,0.69,0.0,0.9805641174316406,0.9615059883944923
36,360,-0.990234375,-1388.2800000000261,1927321.3584000724,32,0.69,0.0,0.9805641174316406,0.9615059883944923
37,370,-0.99609375,-1404.8400000000272,1973575.4256000763,32,0.69,0.0,0.9922027587890625,0.9844663145486265
38,380,-0.9921875,-1396.5600000000263,1950379.8336000736,32,0.69,0.0,0.98443603515625,0.9691143073141575
39,390,-0.98828125,-1380.0000000000252,1904400.0000000696,32,0.69,0.0,0.9766998291015625,0.9539425561670214
40,400,-0.986328125,-1377.2400000000255,1896790.0176000702,32,0.69,0.0,0.9728431701660156,0.9464238337386632
41,410,-0.982421875,-1374.480000000025,1889195.2704000687,32,0.69,0.0,0.9651527404785156,0.9315198124531889
42,420,-0.98828125,-1385.5200000000261,1919665.6704000724,32,0.69,0.0,0.9766998291015625,0.9539425561670214
43,430,-0.9765625,-1366.2000000000248,1866502.440000068,32,0.69,0.0,0.95367431640625,0.9094947017729282
44,440,-0.98046875,-1360.6800000000246,1851450.062400067,32,0.69,0.0,0.9613189697265625,0.9241341615561396
45,450,-0.9921875,-1393.8000000000263,1942678.4400000733,32,0.69,0.0,0.98443603515625,0.9691143073141575
46,460,-0.986328125,-1380.0000000000255,1904400.0000000703,32,0.69,0.0,0.9728431701660156,0.9464238337386632
47,470,-0.994140625,-1396.560000000027,1950379.8336000754,32,0.69,0.0,0.9883155822753906,0.9767676901683444
48,480,-0.990234375,-1385.520000000026,1919665.670400072,32,0.69,0.0,0.9805641174316406,0.9615059883944923
49,490,-0.998046875,-1407.6000000000272,1981337.7600000766,32,0.69,0.0,0.9960975646972656,0.9922103583958233
50,500,-0.98046875,-1371.720000000025,1881615.7584000686,32,0.69,0.0,0.9613189697265625,0.9241341615561396
51,510,-0.998046875,-1407.6000000000274,1981337.7600000773,32,0.69,0.0,0.9960975646972656,0.9922103583958233
52,520,-0.986328125,-1374.4800000000255,1889195.2704000701,32,0.69,0.0,0.9728431701660156,0.9464238337386632
53,530,-0.990234375,-1388.2800000000257,1927321.3584000713,32,0.69,0.0,0.9805641174316406,0.9615059883944923
54,540,-0.990234375,-1385.5200000000264,1919665.670400073,32,0.69,0.0,0.9805641174316406,0.9615059883944923
55,550,-0.990234375,-1391.040000000026,1934992.2816000727,32,0.69,0.0,0.9805641174316406,0.9615059883944923
56,560,-0.9921875,-1393.8000000000266,1942678.440000074,32,0.69,0.0,0.98443603515625,0.9691143073141575
57,570,-0.984375,-1371.7200000000244,1881615.7584000668,32,0.69,0.0,0.968994140625,0.9389496445655823
58,580,-0.9921875,-1391.040000000026,1934992.2816000727,32,0.69,0.0,0.98443603515625,0.9691143073141575
59,590,-0.98828125,-1382.7600000000252,1912025.2176000697,32,0.69,0.0,0.9766998291015625,0.9539425561670214
60,600,-0.98828125,-1380.0000000000252,1904400.0000000696,32,0.69,0.0,0.9766998291015625,0.9539425561670214
61,610,-0.98828125,-1382.7600000000257,1912025.217600071,32,0.69,0.0,0.9766998291015625,0.9539425561670214
62,620,-0.98828125,-1382.7600000000257,1912025.217600071,32,0.69,0.0,0.9766998291015625,0.9539425561670214
63,630,-0.98828125,-1382.7600000000257,1912025.217600071,32,0.69,0.0,0.9766998291015625,0.9539425561670214
64,640,-0.982421875,-1366.2000000000246,1866502.4400000672,32,0.69,0.0,0.9651527404785156,0.9315198124531889
65,650,-0.986328125,-1382.7600000000252,1912025.2176000697,32,0.69,0.0,0.9728431701660156,0.9464238337386632
66,660,-0.986328125,-1380.0000000000257,1904400.000000071,32,0.69,0.0,0.9728431701660156,0.9464238337386632
67,670,-0.99609375,-1402.0800000000268,1965828.326400075,32,0.69,0.0,0.9922027587890625,0.9844663145486265
68,680,-0.990234375,-1391.040000000026,1934992.2816000727,32,0.69,0.0,0.9805641174316406,0.9615059883944923
69,690,-0.990234375,-1385.520000000026,1919665.670400072,32,0.69,0.0,0.9805641174316406,0.9615059883944923
70,700,-0.990234375,-1388.2800000000261,1927321.3584000724,32,0.69,0.0,0.9805641174316406,0.9615059883944923
71,710,-0.98828125,-1382.7600000000257,1912025.217600071,32,0.69,0.0,0.9766998291015625,0.9539425561670214
72,720,-0.99609375,-1402.0800000000272,1965828.3264000763,32,0.69,0.0,0.9922027587890625,0.9844663145486265
73,730,-0.990234375,-1385.5200000000261,1919665.6704000724,32,0.69,0.0,0.9805641174316406,0.9615059883944923
74,740,-0.990234375,-1385.5200000000254,1919665.6704000705,32,0.69,0.0,0.9805641174316406,0.9615059883944923
75,750,-0.986328125,-1380.0000000000255,1904400.0000000703,32,0.69,0.0,0.9728431701660156,0.9464238337386632
76,760,-0.990234375,-1393.8000000000263,1942678.4400000733,32,0.69,0.0,0.9805641174316406,0.9615059883944923
77,770,-0.990234375,-1385.5200000000261,1919665.6704000724,32,0.69,0.0,0.9805641174316406,0.9615059883944923
78,780,-0.994140625,-1396.5600000000265,1950379.833600074,32,0.69,0.0,0.9883155822753906,0.9767676901683444
79,790,-0.9921875,-1391.0400000000263,1934992.2816000732,32,0.69,0.0,0.98443603515625,0.9691143073141575
80,800,-0.98828125,-1380.0000000000252,1904400.0000000696,32,0.69,0.0,0.9766998291015625,0.9539425561670214
81,810,-0.994140625,-1399.3200000000268,1958096.4624000748,32,0.69,0.0,0.9883155822753906,0.9767676901683444
82,820,-0.986328125,-1374.4800000000253,1889195.2704000694,32,0.69,0.0,0.9728431701660156,0.9464238337386632
83,830,-0.986328125,-1374.480000000025,1889195.2704000687,32,0.69,0.0,0.9728431701660156,0.9464238337386632
84,840,-0.98828125,-1380.0000000000252,1904400.0000000696,32,0.69,0.0,0.9766998291015625,0.9539425561670214
85,850,-0.990234375,-1388.2800000000263,1927321.3584000731,32,0.69,0.0,0.9805641174316406,0.9615059883944923
86,860,-0.982421875,-1374.4800000000255,1889195.2704000701,32,0.69,0.0,0.9651527404785156,0.9315198124531889
87,870,-0.98046875,-1363.4400000000246,1858968.633600067,32,0.69,0.0,0.9613189697265625,0.9241341615561396
88,880,-0.99609375,-1402.080000000027,1965828.3264000756,32,0.69,0.0,0.9922027587890625,0.9844663145486265
89,890,-0.986328125,-1374.4800000000255,1889195.2704000701,32,0.69,0.0,0.9728431701660156,0.9464238337386632
90,900,-0.994140625,-1396.5600000000263,1950379.8336000736,32,0.69,0.0,0.9883155822753906,0.9767676901683444
91,910,-0.986328125,-1374.4800000000257,1889195.2704000706,32,0.69,0.0,0.9728431701660156,0.9464238337386632
92,920,-0.990234375,-1385.5200000000257,1919665.6704000712,32,0.69,0.0,0.9805641174316406,0.9615059883944923
93,930,-0.98828125,-1388.2800000000257,1927321.3584000713,32,0.69,0.0,0.9766998291015625,0.9539425561670214
94,940,-0.986328125,-1377.240000000025,1896790.0176000688,32,0.69,0.0,0.9728431701660156,0.9464238337386632
95,950,-0.990234375,-1385.5200000000257,1919665.6704000712,32,0.69,0.0,0.9805641174316406,0.9615059883944923
96,960,-0.990234375,-1385.5200000000261,1919665.6704000724,32,0.69,0.0,0.9805641174316406,0.9615059883944923
97,970,-0.986328125,-1380.000000000025,1904400.000000069,32,0.69,0.0,0.9728431701660156,0.9464238337386632
98,980,-0.986328125,-1377.240000000025,1896790.0176000688,32,0.69,0.0,0.9728431701660156,0.9464238337386632
99,990,-0.98046875,-1366.200000000025,1866502.4400000684,32,0.69,0.0,0.9613189697265625,0.9241341615561396
100,1000,-0.9765625,-1355.160000000024,1836458.6256000649,32,0.69,0.0,0.95367431640625,0.9094947017729282
101,1010,-0.982421875,-1368.960000000025,1874051.4816000685,32,0.69,0.0,0.9651527404785156,0.9315198124531889
