,T,M,E,E2,X,J,B,M2,M4
0,0,2726.0,-2624.8320000000617,6889743.028224324,64,0.441,0.0,7431076.0,55220890517776.0
1,10,2672.0,-2614.2480000000505,6834292.605504264,64,0.441,0.0,7139584.0,50973659693056.0
2,20,2736.0,-2610.720000000055,6815858.918400287,64,0.441,0.0,7485696.0,56035644604416.0
3,30,2710.0,-2674.2240000000575,7151474.002176307,64,0.441,0.0,7344100.0,53935804810000.0
4,40,2622.0,-2670.6960000000636,7132617.124416339,64,0.441,0.0,6874884.0,47264030013456.0
5,50,2652.0,-2631.8880000000554,6926834.444544292,64,0.441,0.0,7033104.0,49464551874816.0
6,60,2746.0,-2616.01200000006,6843518.784144315,64,0.441,0.0,7540516.0,56859381546256.0
7,70,2634.0,-2683.044000000067,7198725.105936361,64,0.441,0.0,6937956.0,48135233457936.0
8,80,2602.0,-2640.7080000000597,6973338.741264315,64,0.441,0.0,6770404.0,45838370323216.0
9,90,2738.0,-2698.920000000067,7284169.166400361,64,0.441,0.0,7496644.0,56199671262736.0
10,100,2590.0,-2497.8240000000524,6239124.734976262,64,0.441,0.0,6708100.0,44998605610000.0
11,110,2810.0,-2571.9120000000494,6614731.335744254,64,0.441,0.0,7896100.0,62348395210000.0
12,120,2802.0,-2557.800000000057,6542340.840000291,64,0.441,0.0,7851204.0,61641404249616.0
13,130,3030.0,-2665.4040000000646,7104378.483216344,64,0.441,0.0,9180900.0,84288924810000.0
14,140,3142.0,-2741.256000000058,7514484.457536318,64,0.441,0.0,9872164.0,97459622042896.0
15,150,3306.0,-2795.9400000000624,7817280.483600348,64,0.441,0.0,10929636.0,119456943092496.0
16,160,3200.0,-2780.064000000058,7728755.844096323,64,0.441,0.0,10240000.0,104857600000000.0
17,170,3076.0,-2746.548000000065,7543525.916304356,64,0.441,0.0,9461776.0,89525205074176.0
18,180,2776.0,-2559.5640000000476,6551367.870096244,64,0.441,0.0,7706176.0,59385148542976.0
19,190,2930.0,-2631.888000000042,6926834.444544222,64,0.441,0.0,8584900.0,73700508010000.0
20,200,2960.0,-2631.8880000000627,6926834.44454433,64,0.441,0.0,8761600.0,76765634560000.0
21,210,2946.0,-2654.820000000049,7048069.232400259,64,0.441,0.0,8678916.0,75323582935056.0
22,220,2998.0,-2665.4040000000596,7104378.483216317,64,0.441,0.0,8988004.0,80784215904016.0
23,230,2760.0,-2640.708000000057,6973338.7412643,64,0.441,0.0,7617600.0,58027829760000.0
24,240,2766.0,-2545.4520000000534,6479325.884304272,64,0.441,0.0,7650756.0,58534067371536.0
25,250,2824.0,-2637.180000000033,6954718.352400174,64,0.441,0.0,7974976.0,63600242200576.0
26,260,2872.0,-2614.2480000000473,6834292.605504247,64,0.441,0.0,8248384.0,68035838611456.0
27,270,2864.0,-2647.7640000000365,7010654.199696193,64,0.441,0.0,8202496.0,67280940630016.0
28,280,2724.0,-2496.060000000049,6230315.523600245,64,0.441,0.0,7420176.0,55059011870976.0
29,290,2930.0,-2709.5040000000645,7341411.926016349,64,0.441,0.0,8584900.0,73700508010000.0
30,300,2988.0,-2610.720000000053,6815858.918400276,64,0.441,0.0,8928144.0,79711755284736.0
31,310,3038.0,-2587.788000000054,6696646.73294428,64,0.441,0.0,9229444.0,85182636549136.0
32,320,3012.0,-2608.9560000000542,6806651.409936283,64,0.441,0.0,9072144.0,82303796756736.0
33,330,3118.0,-2693.628000000064,7255631.802384344,64,0.441,0.0,9721924.0,94515806261776.0
34,340,3138.0,-2716.5600000000522,7379698.233600284,64,0.441,0.0,9847044.0,96964275537936.0
35,350,3212.0,-2714.7960000000517,7370117.321616281,64,0.441,0.0,10316944.0,106439333499136.0
36,360,3190.0,-2727.1440000000625,7437314.3967363415,64,0.441,0.0,10176100.0,103553011210000.0
37,370,3264.0,-2776.5360000000533,7709152.159296296,64,0.441,0.0,10653696.0,113501238460416.0
38,380,3454.0,-2843.5680000000693,8085878.970624395,64,0.441,0.0,11930116.0,142327667773456.0
39,390,3264.0,-2746.548000000062,7543525.916304341,64,0.441,0.0,10653696.0,113501238460416.0
40,400,3098.0,-2707.7400000000616,7331855.907600334,64,0.441,0.0,9597604.0,92114002540816.0
41,410,3014.0,-2663.6400000000503,7094978.049600268,64,0.441,0.0,9084196.0,82522616966416.0
42,420,2896.0,-2637.18000000007,6954718.352400368,64,0.441,0.0,8386816.0,70338682617856.0
43,430,2882.0,-2681.280000000062,7189262.438400333,64,0.441,0.0,8305924.0,68988373493776.0
44,440,3094.0,-2713.032000000066,7360542.633024358,64,0.441,0.0,9572836.0,91639189082896.0
45,450,3308.0,-2817.108000000069,7936097.483664388,64,0.441,0.0,10942864.0,119746272522496.0
46,460,3122.0,-2750.0760000000614,7562918.005776337,64,0.441,0.0,9746884.0,95001747709456.0
47,470,3134.0,-2743.020000000054,7524158.720400297,64,0.441,0.0,9821956.0,96470819665936.0
48,480,3076.0,-2690.1000000000577,7236638.01000031,64,0.441,0.0,9461776.0,89525205074176.0
49,490,2696.0,-2557.800000000052,6542340.840000266,64,0.441,0.0,7268416.0,52829871149056.0
50,500,2792.0,-2564.856000000059,6578486.3007363025,64,0.441,0.0,7795264.0,60766140829696.0
51,510,2668.0,-2510.172000000044,6300963.469584222,64,0.441,0.0,7118224.0,50669112914176.0
52,520,2812.0,-2596.6080000000416,6742373.105664216,64,0.441,0.0,7907344.0,62526089134336.0
53,530,2928.0,-2684.808000000045,7208193.996864242,64,0.441,0.0,8573184.0,73499483897856.0
54,540,2774.0,-2637.180000000043,6954718.352400227,64,0.441,0.0,7695076.0,59214194645776.0
55,550,2530.0,-2508.4080000000477,6292110.694464239,64,0.441,0.0,6400900.0,40971520810000.0
56,560,2600.0,-2653.0560000000637,7038706.139136338,64,0.441,0.0,6760000.0,45697600000000.0
57,570,2622.0,-2548.9800000000546,6497299.040400278,64,0.441,0.0,6874884.0,47264030013456.0
58,580,2504.0,-2557.800000000057,6542340.840000291,64,0.441,0.0,6270016.0,39313100640256.0
59,590,2780.0,-2492.53200000005,6212715.77102425,64,0.441,0.0,7728400.0,59728166560000.0
60,600,2868.0,-2711.268000000059,7350974.1678243205,64,0.441,0.0,8225424.0,67657599979776.0
61,610,2722.0,-2603.6640000000502,6779066.2248962615,64,0.441,0.0,7409284.0,54897489392656.0
62,620,2710.0,-2614.248000000043,6834292.605504224,64,0.441,0.0,7344100.0,53935804810000.0
63,630,2974.0,-2658.34800000005,7066814.089104266,64,0.441,0.0,8844676.0,78228293544976.0
64,640,2892.0,-2690.1000000000654,7236638.010000352,64,0.441,0.0,8363664.0,69950875504896.0
65,650,3342.0,-2873.5560000000783,8257324.08513645,64,0.441,0.0,11168964.0,124745756833296.0
66,660,3120.0,-2725.3800000000642,7427696.14440035,64,0.441,0.0,9734400.0,94758543360000.0
