,T,M,E,E2,X,J,B,M2,M4
0,0,-3226.0,-2856.5679999998524,8159980.738623157,64,0.454,0.0,10407076.0,108307230869776.0
1,10,-3366.0,-2909.2319999998485,8463630.82982312,64,0.454,0.0,11329956.0,128367902961936.0
2,20,-3434.0,-2916.495999999837,8505948.918015048,64,0.454,0.0,11792356.0,139059660030736.0
3,30,-3422.0,-2927.391999999837,8569623.921663046,64,0.454,0.0,11710084.0,137126067287056.0
4,40,-3254.0,-2867.463999999838,8222349.791295071,64,0.454,0.0,10588516.0,112116671082256.0
5,50,-3118.0,-2705.839999999856,7321570.105599221,64,0.454,0.0,9721924.0,94515806261776.0
6,60,-3208.0,-2832.9599999998504,8025662.361599153,64,0.454,0.0,10291264.0,105910114717696.0
7,70,-3148.0,-2794.8239999998555,7811041.190975192,64,0.454,0.0,9909904.0,98206197289216.0
8,80,-3250.0,-2900.151999999847,8410881.623103112,64,0.454,0.0,10562500.0,111566406250000.0
9,90,-3158.0,-2807.5359999998586,7882258.391295206,64,0.454,0.0,9972964.0,99460010945296.0
10,100,-3292.0,-2956.447999999854,8740584.776703136,64,0.454,0.0,10837264.0,117446291005696.0
11,110,-3068.0,-2740.3439999998645,7509485.238335257,64,0.454,0.0,9412624.0,88597490565376.0
12,120,-3148.0,-2765.767999999875,7649472.629823308,64,0.454,0.0,9909904.0,98206197289216.0
13,130,-3098.0,-2842.0399999998585,8077191.361599196,64,0.454,0.0,9597604.0,92114002540816.0
14,140,-3296.0,-2896.5199999998476,8389828.110399118,64,0.454,0.0,10863616.0,118018152595456.0
15,150,-3432.0,-2990.951999999832,8945793.866302995,64,0.454,0.0,11778624.0,138735983333376.0
16,160,-3390.0,-2985.503999999834,8913234.134015009,64,0.454,0.0,11492100.0,132068362410000.0
17,170,-3192.0,-2903.783999999843,8431961.51865509,64,0.454,0.0,10188864.0,103812949610496.0
18,180,-3274.0,-2947.367999999844,8686978.12742308,64,0.454,0.0,10719076.0,114898590293776.0
19,190,-3298.0,-2960.079999999838,8762073.60639904,64,0.454,0.0,10876804.0,118304865254416.0
20,200,-3206.0,-2847.487999999859,8108187.910143197,64,0.454,0.0,10278436.0,105646246606096.0
21,210,-3164.0,-2920.1279999998533,8527147.536383143,64,0.454,0.0,10010896.0,100218038722816.0
22,220,-3164.0,-2901.9679999998557,8421418.273023162,64,0.454,0.0,10010896.0,100218038722816.0
23,230,-3140.0,-2881.991999999848,8305877.888063123,64,0.454,0.0,9859600.0,97211712160000.0
24,240,-2878.0,-2674.9679999998684,7155453.801023296,64,0.454,0.0,8282884.0,68606167357456.0
25,250,-3226.0,-2852.935999999847,8139243.8200951265,64,0.454,0.0,10407076.0,108307230869776.0
26,260,-3362.0,-2965.5279999998356,8794356.318783024,64,0.454,0.0,11303044.0,127758803665936.0
27,270,-3472.0,-2992.767999999833,8956660.301823001,64,0.454,0.0,12054784.0,145317817286656.0
28,280,-3230.0,-2854.751999999844,8149608.981503109,64,0.454,0.0,10432900.0,108845402410000.0
29,290,-3064.0,-2800.2719999998426,7841523.273983118,64,0.454,0.0,9388096.0,88136346505216.0
30,300,-3170.0,-2840.223999999835,8066872.370175064,64,0.454,0.0,10048900.0,100980391210000.0
31,310,-3072.0,-2822.063999999848,7964045.220095142,64,0.454,0.0,9437184.0,89060441849856.0
32,320,-3364.0,-2885.6239999998434,8326825.869375096,64,0.454,0.0,11316496.0,128063081718016.0
33,330,-3428.0,-2947.3679999998303,8686978.127423,64,0.454,0.0,11751184.0,138090325401856.0
34,340,-3266.0,-2836.59199999984,8046254.174463092,64,0.454,0.0,10666756.0,113779683563536.0
35,350,-3172.0,-2836.591999999852,8046254.174463159,64,0.454,0.0,10061584.0,101235472589056.0
36,360,-3358.0,-2854.751999999846,8149608.98150312,64,0.454,0.0,11276164.0,127151874554896.0
37,370,-3252.0,-2865.6479999998464,8211938.45990312,64,0.454,0.0,10575504.0,111841284854016.0
38,380,-3288.0,-2849.303999999852,8118533.284415156,64,0.454,0.0,10810944.0,116876510171136.0
39,390,-3372.0,-2914.6799999998425,8495359.502399081,64,0.454,0.0,11370384.0,129285632307456.0
40,400,-3400.0,-2943.735999999852,8665581.63769513,64,0.454,0.0,11560000.0,133633600000000.0
41,410,-3328.0,-2963.7119999998313,8783588.818943,64,0.454,0.0,11075584.0,122668560941056.0
42,420,-3336.0,-2925.575999999842,8558994.931775076,64,0.454,0.0,11128896.0,123852326178816.0
43,430,-3442.0,-2998.2159999998285,8989299.182654971,64,0.454,0.0,11847364.0,140360033748496.0
44,440,-3116.0,-2800.2719999998553,7841523.27398319,64,0.454,0.0,9709456.0,94273535815936.0
45,450,-3134.0,-2822.0639999998434,7964045.220095117,64,0.454,0.0,9821956.0,96470819665936.0
46,460,-3032.0,-2803.9039999998677,7861877.641215258,64,0.454,0.0,9193024.0,84511690264576.0
47,470,-2894.0,-2738.5279999998584,7499535.606783224,64,0.454,0.0,8375236.0,70144578055696.0
48,480,-3108.0,-2898.335999999844,8400351.568895094,64,0.454,0.0,9659664.0,93309108592896.0
49,490,-3194.0,-2852.935999999855,8139243.820095173,64,0.454,0.0,10201636.0,104073377076496.0
50,500,-3060.0,-2834.775999999856,8035954.970175184,64,0.454,0.0,9363600.0,87677004960000.0
51,510,-3258.0,-2907.415999999846,8453067.797055105,64,0.454,0.0,10614564.0,112668968910096.0
52,520,-3034.0,-2765.7679999998513,7649472.629823178,64,0.454,0.0,9205156.0,84734896984336.0
53,530,-3152.0,-2809.351999999857,7892458.659903197,64,0.454,0.0,9935104.0,98706291490816.0
54,540,-3234.0,-2825.695999999857,7984557.8844151925,64,0.454,0.0,10458756.0,109385577067536.0
55,550,-3154.0,-2834.7759999998484,8035954.970175141,64,0.454,0.0,9947716.0,98957053616656.0
56,560,-3252.0,-2960.0799999998385,8762073.606399044,64,0.454,0.0,10575504.0,111841284854016.0
57,570,-3110.0,-2878.359999999845,8284956.2895991085,64,0.454,0.0,9672100.0,93549518410000.0
58,580,-3018.0,-2733.079999999852,7469726.286399192,64,0.454,0.0,9108324.0,82961566088976.0
59,590,-3078.0,-2849.3039999998487,8118533.284415138,64,0.454,0.0,9474084.0,89758267639056.0
60,600,-3004.0,-2674.9679999998602,7155453.801023252,64,0.454,0.0,9024016.0,81432864768256.0
61,610,-2900.0,-2723.99999999987,7420175.999999291,64,0.454,0.0,8410000.0,70728100000000.0
62,620,-2900.0,-2812.9839999998544,7912878.984255181,64,0.454,0.0,8410000.0,70728100000000.0
63,630,-3054.0,-2869.2799999998406,8232767.718399085,64,0.454,0.0,9326916.0,86991362071056.0
64,640,-3190.0,-2858.3839999998504,8170359.091455145,64,0.454,0.0,10176100.0,103553011210000.0
65,650,-2984.0,-2756.6879999998514,7599328.729343181,64,0.454,0.0,8904256.0,79285774913536.0
66,660,-2958.0,-2725.815999999851,7430072.865855188,64,0.454,0.0,8749764.0,76558370055696.0
67,670,-3124.0,-2860.199999999848,8180744.03999913,64,0.454,0.0,9759376.0,95245419909376.0
68,680,-3064.0,-2923.7599999998547,8548372.53759915,64,0.454,0.0,9388096.0,88136346505216.0
69,690,-3038.0,-2847.4879999998516,8108187.910143155,64,0.454,0.0,9229444.0,85182636549136.0
70,700,-3092.0,-2847.487999999857,8108187.910143185,64,0.454,0.0,9560464.0,91402471895296.0
71,710,-3092.0,-2845.671999999856,8097849.131583179,64,0.454,0.0,9560464.0,91402471895296.0
72,720,-3210.0,-2925.575999999858,8558994.93177517,64,0.454,0.0,10304100.0,106174476810000.0
73,730,-3050.0,-2794.82399999986,7811041.190975217,64,0.454,0.0,9302500.0,86536506250000.0
74,740,-3314.0,-2974.6079999998337,8848292.75366301,64,0.454,0.0,10982596.0,120617414899216.0
75,750,-3342.0,-2912.86399999984,8484776.682495067,64,0.454,0.0,11168964.0,124745756833296.0
76,760,-3574.0,-3029.0879999998383,9175374.11174302,64,0.454,0.0,12773476.0,163161689122576.0
77,770,-3338.0,-2834.7759999998484,8035954.970175141,64,0.454,0.0,11142244.0,124149601355536.0
78,780,-3496.0,-2961.895999999839,8772827.914815048,64,0.454,0.0,12222016.0,149377675104256.0
79,790,-3406.0,-2911.047999999848,8474200.458303114,64,0.454,0.0,11600836.0,134579395898896.0
80,800,-3182.0,-2763.9519999998465,7639430.658303152,64,0.454,0.0,10125124.0,102518136015376.0
81,810,-3238.0,-2920.1279999998405,8527147.536383068,64,0.454,0.0,10484644.0,109927759806736.0
82,820,-3088.0,-2852.935999999845,8139243.820095116,64,0.454,0.0,9535744.0,90930413633536.0
83,830,-3170.0,-2867.463999999842,8222349.791295094,64,0.454,0.0,10048900.0,100980391210000.0
84,840,-3010.0,-2800.2719999998462,7841523.273983139,64,0.454,0.0,9060100.0,82085412010000.0
85,850,-3004.0,-2811.1679999998446,7902665.5242231265,64,0.454,0.0,9024016.0,81432864768256.0
86,860,-3040.0,-2867.4639999998294,8222349.791295022,64,0.454,0.0,9241600.0,85407170560000.0
87,870,-2946.0,-2816.6159999998445,7933325.691455124,64,0.454,0.0,8678916.0,75323582935056.0
88,880,-3072.0,-2822.063999999853,7964045.22009517,64,0.454,0.0,9437184.0,89060441849856.0
89,890,-3054.0,-2794.823999999839,7811041.190975101,64,0.454,0.0,9326916.0,86991362071056.0
90,900,-3080.0,-2834.775999999847,8035954.970175133,64,0.454,0.0,9486400.0,89991784960000.0
91,910,-3204.0,-2840.2239999998455,8066872.370175122,64,0.454,0.0,10265616.0,105382871859456.0
92,920,-3168.0,-2909.2319999998376,8463630.829823054,64,0.454,0.0,10036224.0,100725792178176.0
93,930,-2898.0,-2787.5599999998453,7770490.753599138,64,0.454,0.0,8398404.0,70533189747216.0
94,940,-2912.0,-2789.3759999998547,7780618.469375189,64,0.454,0.0,8479744.0,71906058305536.0
95,950,-2764.0,-2723.9999999998604,7420175.999999239,64,0.454,0.0,7639696.0,58364954972416.0
96,960,-2780.0,-2842.0399999998435,8077191.361599111,64,0.454,0.0,7728400.0,59728166560000.0
97,970,-2716.0,-2720.3679999998535,7400402.055423203,64,0.454,0.0,7376656.0,54415053742336.0
98,980,-2660.0,-2685.8639999998554,7213865.426495223,64,0.454,0.0,7075600.0,50064115360000.0
99,990,-2870.0,-2733.0799999998458,7469726.286399157,64,0.454,0.0,8236900.0,67846521610000.0
100,1000,-2838.0,-2789.3759999998415,7780618.469375116,64,0.454,0.0,8054244.0,64870846411536.0
101,1010,-2818.0,-2802.087999999839,7851697.159743099,64,0.454,0.0,7941124.0,63061450383376.0
102,1020,-2796.0,-2791.191999999838,7790752.780863096,64,0.454,0.0,7817616.0,61115119923456.0
103,1030,-2862.0,-2753.055999999851,7579317.339135179,64,0.454,0.0,8191044.0,67093201809936.0
104,1040,-3054.0,-2869.2799999998488,8232767.718399133,64,0.454,0.0,9326916.0,86991362071056.0
105,1050,-3264.0,-2938.287999999841,8633536.370943064,64,0.454,0.0,10653696.0,113501238460416.0
106,1060,-3294.0,-2909.231999999852,8463630.82982314,64,0.454,0.0,10850436.0,117731961390096.0
107,1070,-3368.0,-2976.4239999998313,8859099.827774996,64,0.454,0.0,11343424.0,128673268043776.0
108,1080,-3354.0,-2914.679999999837,8495359.50239905,64,0.454,0.0,11249316.0,126547110467856.0
109,1090,-3230.0,-2856.5679999998356,8159980.73862306,64,0.454,0.0,10432900.0,108845402410000.0
110,1100,-3306.0,-2865.6479999998382,8211938.459903073,64,0.454,0.0,10929636.0,119456943092496.0
111,1110,-3202.0,-2891.071999999851,8358297.309183138,64,0.454,0.0,10252804.0,105119989862416.0
