,T,M,E,E2,X,J,B,M2,M4
0,0,-3164.0,-2826.459999999938,7988876.131599651,64,0.455,0.0,10010896.0,100218038722816.0
1,10,-3170.0,-2928.3799999999237,8575409.424399553,64,0.455,0.0,10048900.0,100980391210000.0
2,20,-2854.0,-2713.61999999995,7363733.504399728,64,0.455,0.0,8145316.0,66346172739856.0
3,30,-2886.0,-2731.819999999944,7462840.512399693,64,0.455,0.0,8328996.0,69372174368016.0
4,40,-2870.0,-2777.319999999941,7713506.382399673,64,0.455,0.0,8236900.0,67846521610000.0
5,50,-2726.0,-2686.319999999949,7216315.142399725,64,0.455,0.0,7431076.0,55220890517776.0
6,60,-2992.0,-2784.5999999999362,7753997.159999645,64,0.455,0.0,8952064.0,80139449860096.0
7,70,-3158.0,-2895.61999999992,8384615.184399536,64,0.455,0.0,9972964.0,99460010945296.0
8,80,-2974.0,-2764.5799999999413,7642902.576399676,64,0.455,0.0,8844676.0,78228293544976.0
9,90,-3048.0,-2795.5199999999327,7814932.070399623,64,0.455,0.0,9290304.0,86309748412416.0
10,100,-2870.0,-2735.459999999946,7482741.411599704,64,0.455,0.0,8236900.0,67846521610000.0
11,110,-3156.0,-2786.4199999999346,7764136.416399635,64,0.455,0.0,9960336.0,99208293232896.0
12,120,-2914.0,-2750.019999999945,7562610.000399698,64,0.455,0.0,8491396.0,72103806028816.0
13,130,-3034.0,-2795.5199999999395,7814932.070399662,64,0.455,0.0,9205156.0,84734896984336.0
14,140,-2996.0,-2759.11999999995,7612743.174399723,64,0.455,0.0,8976016.0,80568863232256.0
15,150,-3188.0,-2853.759999999931,8143946.137599607,64,0.455,0.0,10163344.0,103293561262336.0
16,160,-3242.0,-2859.2199999999298,8175139.008399598,64,0.455,0.0,10510564.0,110471955598096.0
17,170,-3224.0,-2899.259999999926,8405708.54759957,64,0.455,0.0,10394176.0,108038894718976.0
18,180,-3114.0,-2753.6599999999466,7582643.395599706,64,0.455,0.0,9696996.0,94031731424016.0
19,190,-2976.0,-2717.259999999954,7383501.907599749,64,0.455,0.0,8856576.0,78438938443776.0
20,200,-2964.0,-2764.579999999947,7642902.576399708,64,0.455,0.0,8785296.0,77181425807616.0
21,210,-3044.0,-2766.399999999946,7652968.959999701,64,0.455,0.0,9265936.0,85857569956096.0
22,220,-3028.0,-2811.89999999994,7906781.609999663,64,0.455,0.0,9168784.0,84066600038656.0
23,230,-3126.0,-2828.2799999999415,7999167.758399669,64,0.455,0.0,9771876.0,95489560559376.0
24,240,-3158.0,-2862.859999999932,8195967.37959961,64,0.455,0.0,9972964.0,99460010945296.0
25,250,-3274.0,-2868.3199999999315,8227259.622399607,64,0.455,0.0,10719076.0,114898590293776.0
26,260,-3376.0,-2944.759999999922,8671611.457599541,64,0.455,0.0,11397376.0,129900179685376.0
27,270,-3462.0,-2992.079999999914,8952542.726399485,64,0.455,0.0,11985444.0,143650867877136.0
28,280,-3432.0,-2962.959999999922,8779131.961599536,64,0.455,0.0,11778624.0,138735983333376.0
29,290,-3276.0,-2884.6999999999275,8321494.089999582,64,0.455,0.0,10732176.0,115179601694976.0
30,300,-3248.0,-2850.11999999993,8123184.0143996,64,0.455,0.0,10549504.0,111292034646016.0
31,310,-3164.0,-2870.139999999927,8237703.619599582,64,0.455,0.0,10010896.0,100218038722816.0
32,320,-3020.0,-2804.619999999938,7865893.344399652,64,0.455,0.0,9120400.0,83181696160000.0
33,330,-3046.0,-2848.2999999999342,8112812.889999625,64,0.455,0.0,9278116.0,86083436509456.0
34,340,-3146.0,-2873.779999999933,8258611.488399615,64,0.455,0.0,9897316.0,97956864003856.0
35,350,-3268.0,-2961.139999999918,8768350.099599514,64,0.455,0.0,10679824.0,114058640670976.0
36,360,-3120.0,-2815.5399999999327,7927265.491599621,64,0.455,0.0,9734400.0,94758543360000.0
37,370,-3196.0,-2806.439999999932,7876105.473599617,64,0.455,0.0,10214416.0,104334294221056.0
38,380,-3338.0,-2906.539999999921,8447974.77159954,64,0.455,0.0,11142244.0,124149601355536.0
