# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.0027621
2 1 10000000 0.0027263
3 2 9999999 0.00262201
4 3 9999998 0.00245778
5 4 9999997 0.002246
6 5 9999996 0.0020009
7 6 9999995 0.0017368
8 7 9999994 0.00146681
9 8 9999993 0.00120206
10 9 9999992 0.000951382
11 10 9999991 0.000721254
12 11 9999990 0.00051597
13 12 9999989 0.000337891
14 13 9999988 0.000187759
15 14 9999987 6.50231e-05
16 15 9999986 -3.18561e-05
17 16 9999985 -0.00010512
18 17 9999984 -0.000157469
19 18 9999983 -0.000191848
20 19 9999982 -0.000211276
21 20 9999981 -0.000218709
22 21 9999980 -0.000216924
23 22 9999979 -0.000208446
24 23 9999978 -0.000195492
25 24 9999977 -0.000179937
26 25 9999976 -0.000163312
27 26 9999975 -0.000146806
28 27 9999974 -0.000131298
29 28 9999973 -0.000117379
30 29 9999972 -0.000105398
31 30 9999971 -9.54988e-05
32 31 9999970 -8.76584e-05
33 32 9999969 -8.17302e-05
34 33 9999968 -7.74795e-05
35 34 9999967 -7.46182e-05
36 35 9999966 -7.28351e-05
37 36 9999965 -7.18199e-05
38 37 9999964 -7.12821e-05
39 38 9999963 -7.09634e-05
40 39 9999962 -7.06465e-05
41 40 9999961 -7.01592e-05
42 41 9999960 -6.93764e-05
43 42 9999959 -6.82191e-05
44 43 9999958 -6.66512e-05
45 44 9999957 -6.4673e-05
46 45 9999956 -6.23131e-05
47 46 9999955 -5.96191e-05
48 47 9999954 -5.66489e-05
49 48 9999953 -5.34642e-05
50 49 9999952 -5.01264e-05
51 50 9999951 -4.66952e-05
52 51 9999950 -4.32279e-05
53 52 9999949 -3.97794e-05
54 53 9999948 -3.64013e-05
55 54 9999947 -3.31408e-05
56 55 9999946 -3.00385e-05
57 56 9999945 -2.71269e-05
58 57 9999944 -2.44295e-05
59 58 9999943 -2.196e-05
60 59 9999942 -1.9723e-05
61 60 9999941 -1.77152e-05
62 61 9999940 -1.59275e-05
63 62 9999939 -1.43474e-05
64 63 9999938 -1.29608e-05
65 64 9999937 -1.17532e-05
66 65 9999936 -1.07106e-05
67 66 9999935 -9.81821e-06
68 67 9999934 -9.06026e-06
69 68 9999933 -8.41926e-06
70 69 9999932 -7.87614e-06
71 70 9999931 -7.4111e-06
72 71 9999930 -7.00508e-06
73 72 9999929 -6.64133e-06
74 73 9999928 -6.30669e-06
75 74 9999927 -5.99206e-06
76 75 9999926 -5.69201e-06
77 76 9999925 -5.40352e-06
78 77 9999924 -5.12433e-06
79 78 9999923 -4.85134e-06
80 79 9999922 -4.57948e-06
81 80 9999921 -4.30139e-06
82 81 9999920 -4.00817e-06
83 82 9999919 -3.69098e-06
84 83 9999918 -3.34321e-06
85 84 9999917 -2.96223e-06
86 85 9999916 -2.55057e-06
87 86 9999915 -2.1165e-06
88 87 9999914 -1.67404e-06
89 88 9999913 -1.24231e-06
90 89 9999912 -8.44065e-07
91 90 9999911 -5.03487e-07
92 91 9999910 -2.43519e-07
93 92 9999909 -8.3368e-08
94 93 9999908 -3.67078e-08
95 94 9999907 -1.10914e-07
96 95 9999906 -3.07219e-07
97 96 9999905 -6.21332e-07
98 97 9999904 -1.04407e-06
99 98 9999903 -1.56177e-06
100 99 9999902 -2.15658e-06
