# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00315748
2 1 10000000 0.00311609
3 2 9999999 0.00299558
4 3 9999998 0.00280596
5 4 9999997 0.0025617
6 5 9999996 0.00227937
7 6 9999995 0.00197559
8 7 9999994 0.00166551
9 8 9999993 0.00136192
10 9 9999992 0.00107492
11 10 9999991 0.000811866
12 11 9999990 0.000577592
13 12 9999989 0.0003747
14 13 9999988 0.000203945
15 14 9999987 6.46126e-05
16 15 9999986 -4.51268e-05
17 16 9999985 -0.000127891
18 17 9999984 -0.000186806
19 18 9999983 -0.000225262
20 19 9999982 -0.000246718
21 20 9999981 -0.000254543
22 21 9999980 -0.000251894
23 22 9999979 -0.000241631
24 23 9999978 -0.00022626
25 24 9999977 -0.000207904
26 25 9999976 -0.000188299
27 26 9999975 -0.000168798
28 27 9999974 -0.000150396
29 28 9999973 -0.000133766
30 29 9999972 -0.000119297
31 30 9999971 -0.000107147
32 31 9999970 -9.7283e-05
33 32 9999969 -8.95362e-05
34 33 9999968 -8.36426e-05
35 34 9999967 -7.92839e-05
36 35 9999966 -7.61226e-05
37 36 9999965 -7.38298e-05
38 37 9999964 -7.21055e-05
39 38 9999963 -7.06918e-05
40 39 9999962 -6.93801e-05
41 40 9999961 -6.80129e-05
42 41 9999960 -6.64822e-05
43 42 9999959 -6.4725e-05
44 43 9999958 -6.27168e-05
45 44 9999957 -6.04645e-05
46 45 9999956 -5.7998e-05
47 46 9999955 -5.53637e-05
48 47 9999954 -5.26169e-05
49 48 9999953 -4.98166e-05
50 49 9999952 -4.70213e-05
51 50 9999951 -4.42846e-05
52 51 9999950 -4.16537e-05
53 52 9999949 -3.91667e-05
54 53 9999948 -3.68519e-05
55 54 9999947 -3.47259e-05
56 55 9999946 -3.27935e-05
57 56 9999945 -3.10473e-05
58 57 9999944 -2.94701e-05
59 58 9999943 -2.80376e-05
60 59 9999942 -2.67218e-05
61 60 9999941 -2.54949e-05
62 61 9999940 -2.43324e-05
63 62 9999939 -2.3215e-05
64 63 9999938 -2.21304e-05
65 64 9999937 -2.10734e-05
66 65 9999936 -2.00459e-05
67 66 9999935 -1.90561e-05
68 67 9999934 -1.8117e-05
69 68 9999933 -1.72444e-05
70 69 9999932 -1.64543e-05
71 70 9999931 -1.57598e-05
72 71 9999930 -1.51676e-05
73 72 9999929 -1.4677e-05
74 73 9999928 -1.42787e-05
75 74 9999927 -1.39564e-05
76 75 9999926 -1.36887e-05
77 76 9999925 -1.34519e-05
78 77 9999924 -1.32219e-05
79 78 9999923 -1.29769e-05
80 79 9999922 -1.26978e-05
81 80 9999921 -1.23702e-05
82 81 9999920 -1.19842e-05
83 82 9999919 -1.15352e-05
84 83 9999918 -1.10239e-05
85 84 9999917 -1.04554e-05
86 85 9999916 -9.83801e-06
87 86 9999915 -9.18101e-06
88 87 9999914 -8.49373e-06
89 88 9999913 -7.7849e-06
90 89 9999912 -7.06299e-06
91 90 9999911 -6.33656e-06
92 91 9999910 -5.61412e-06
93 92 9999909 -4.90339e-06
94 93 9999908 -4.21026e-06
95 94 9999907 -3.53834e-06
96 95 9999906 -2.88973e-06
97 96 9999905 -2.26671e-06
98 97 9999904 -1.67411e-06
99 98 9999903 -1.12097e-06
100 99 9999902 -6.20961e-07
