# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00312232
2 1 10000000 0.00308227
3 2 9999999 0.00296553
4 3 9999998 0.00278153
5 4 9999997 0.00254393
6 5 9999996 0.00226851
7 6 9999995 0.0019712
8 7 9999994 0.00166665
9 8 9999993 0.00136738
10 9 9999992 0.00108338
11 10 9999991 0.000822044
12 11 9999990 0.000588323
13 12 9999989 0.000385008
14 13 9999988 0.000213067
15 14 9999987 7.20025e-05
16 15 9999986 -3.98052e-05
17 16 9999985 -0.000124787
18 17 9999984 -0.000185908
19 18 9999983 -0.000226432
20 19 9999982 -0.000249724
21 20 9999981 -0.000259097
22 21 9999980 -0.000257684
23 22 9999979 -0.000248351
24 23 9999978 -0.000233628
25 24 9999977 -0.000215681
26 25 9999976 -0.000196289
27 26 9999975 -0.000176854
28 27 9999974 -0.000158423
29 28 9999973 -0.000141713
30 29 9999972 -0.000127162
31 30 9999971 -0.000114963
32 31 9999970 -0.000105121
33 32 9999969 -9.74889e-05
34 33 9999968 -9.18167e-05
35 34 9999967 -8.77885e-05
36 35 9999966 -8.50564e-05
37 36 9999965 -8.32697e-05
38 37 9999964 -8.20973e-05
39 38 9999963 -8.12439e-05
40 39 9999962 -8.04601e-05
41 40 9999961 -7.95479e-05
42 41 9999960 -7.83599e-05
43 42 9999959 -7.6798e-05
44 43 9999958 -7.48087e-05
45 44 9999957 -7.23788e-05
46 45 9999956 -6.95295e-05
47 46 9999955 -6.63093e-05
48 47 9999954 -6.27859e-05
49 48 9999953 -5.9039e-05
50 49 9999952 -5.51533e-05
51 50 9999951 -5.12142e-05
52 51 9999950 -4.73033e-05
53 52 9999949 -4.3496e-05
54 53 9999948 -3.98581e-05
55 54 9999947 -3.64437e-05
56 55 9999946 -3.32941e-05
57 56 9999945 -3.04368e-05
58 57 9999944 -2.78861e-05
59 58 9999943 -2.56446e-05
60 59 9999942 -2.37043e-05
61 60 9999941 -2.20482e-05
62 61 9999940 -2.06523e-05
63 62 9999939 -1.94865e-05
64 63 9999938 -1.85168e-05
65 64 9999937 -1.77073e-05
66 65 9999936 -1.70222e-05
67 66 9999935 -1.64278e-05
68 67 9999934 -1.58938e-05
69 68 9999933 -1.53941e-05
70 69 9999932 -1.49075e-05
71 70 9999931 -1.44174e-05
72 71 9999930 -1.39119e-05
73 72 9999929 -1.33829e-05
74 73 9999928 -1.2825e-05
75 74 9999927 -1.22341e-05
76 75 9999926 -1.16064e-05
77 76 9999925 -1.09378e-05
78 77 9999924 -1.02249e-05
79 78 9999923 -9.46677e-06
80 79 9999922 -8.6669e-06
81 80 9999921 -7.834e-06
82 81 9999920 -6.98218e-06
83 82 9999919 -6.13045e-06
84 83 9999918 -5.30221e-06
85 84 9999917 -4.52451e-06
86 85 9999916 -3.82637e-06
87 86 9999915 -3.23603e-06
88 87 9999914 -2.77729e-06
89 88 9999913 -2.46581e-06
90 89 9999912 -2.30701e-06
91 90 9999911 -2.29589e-06
92 91 9999910 -2.41901e-06
93 92 9999909 -2.65759e-06
94 93 9999908 -2.99073e-06
95 94 9999907 -3.39756e-06
96 95 9999906 -3.85816e-06
97 96 9999905 -4.35306e-06
98 97 9999904 -4.86236e-06
99 98 9999903 -5.36484e-06
100 99 9999902 -5.8381e-06
