,T,M,E,E2,X,J,B,M2,M4
0,0,1014.0,-1365.4399999999835,1864426.393599955,32,0.68,0.0,1028196.0,1057187014416.0
1,10,1014.0,-1368.159999999983,1871861.7855999535,32,0.68,0.0,1028196.0,1057187014416.0
2,20,1012.0,-1359.9999999999836,1849599.9999999555,32,0.68,0.0,1024144.0,1048870932736.0
3,30,1002.0,-1335.5199999999843,1783613.670399958,32,0.68,0.0,1004004.0,1008024032016.0
4,40,1008.0,-1349.1199999999842,1820124.7743999574,32,0.68,0.0,1016064.0,1032386052096.0
5,50,1010.0,-1357.2799999999852,1842208.9983999599,32,0.68,0.0,1020100.0,1040604010000.0
6,60,1018.0,-1376.3199999999833,1894256.7423999542,32,0.68,0.0,1036324.0,1073967432976.0
7,70,1016.0,-1370.8799999999833,1879311.974399954,32,0.68,0.0,1032256.0,1065552449536.0
8,80,1008.0,-1357.2799999999845,1842208.998399958,32,0.68,0.0,1016064.0,1032386052096.0
9,90,1014.0,-1370.879999999983,1879311.9743999536,32,0.68,0.0,1028196.0,1057187014416.0
10,100,1010.0,-1354.5599999999845,1834832.793599958,32,0.68,0.0,1020100.0,1040604010000.0
11,110,1000.0,-1330.079999999986,1769112.8063999629,32,0.68,0.0,1000000.0,1000000000000.0
12,120,1020.0,-1381.7599999999827,1909260.697599952,32,0.68,0.0,1040400.0,1082432160000.0
13,130,1008.0,-1354.5599999999858,1834832.7935999616,32,0.68,0.0,1016064.0,1032386052096.0
14,140,1012.0,-1362.719999999985,1857005.7983999592,32,0.68,0.0,1024144.0,1048870932736.0
15,150,1008.0,-1351.839999999985,1827471.3855999592,32,0.68,0.0,1016064.0,1032386052096.0
16,160,1016.0,-1370.879999999983,1879311.9743999536,32,0.68,0.0,1032256.0,1065552449536.0
17,170,1008.0,-1359.9999999999848,1849599.9999999586,32,0.68,0.0,1016064.0,1032386052096.0
18,180,1010.0,-1357.2799999999831,1842208.9983999543,32,0.68,0.0,1020100.0,1040604010000.0
19,190,1000.0,-1335.5199999999857,1783613.6703999618,32,0.68,0.0,1000000.0,1000000000000.0
20,200,990.0,-1313.7599999999873,1725965.3375999664,32,0.68,0.0,980100.0,960596010000.0
21,210,1012.0,-1362.7199999999848,1857005.7983999585,32,0.68,0.0,1024144.0,1048870932736.0
22,220,1018.0,-1376.319999999983,1894256.7423999535,32,0.68,0.0,1036324.0,1073967432976.0
23,230,1006.0,-1351.8399999999851,1827471.3855999599,32,0.68,0.0,1012036.0,1024216865296.0
24,240,1010.0,-1357.2799999999843,1842208.9983999573,32,0.68,0.0,1020100.0,1040604010000.0
25,250,1004.0,-1340.9599999999864,1798173.7215999635,32,0.68,0.0,1008016.0,1016096256256.0
26,260,1018.0,-1376.3199999999824,1894256.7423999517,32,0.68,0.0,1036324.0,1073967432976.0
27,270,1014.0,-1368.1599999999837,1871861.7855999554,32,0.68,0.0,1028196.0,1057187014416.0
28,280,998.0,-1327.3599999999867,1761884.5695999647,32,0.68,0.0,996004.0,992023968016.0
29,290,1018.0,-1376.3199999999824,1894256.7423999517,32,0.68,0.0,1036324.0,1073967432976.0
30,300,1008.0,-1357.2799999999834,1842208.9983999548,32,0.68,0.0,1016064.0,1032386052096.0
31,310,1014.0,-1365.439999999984,1864426.393599956,32,0.68,0.0,1028196.0,1057187014416.0
32,320,1000.0,-1351.8399999999854,1827471.3855999603,32,0.68,0.0,1000000.0,1000000000000.0
33,330,1018.0,-1379.0399999999825,1901751.3215999517,32,0.68,0.0,1036324.0,1073967432976.0
34,340,1006.0,-1346.3999999999864,1812792.9599999634,32,0.68,0.0,1012036.0,1024216865296.0
35,350,1016.0,-1373.5999999999833,1886776.959999954,32,0.68,0.0,1032256.0,1065552449536.0
36,360,1016.0,-1373.599999999983,1886776.9599999536,32,0.68,0.0,1032256.0,1065552449536.0
37,370,996.0,-1332.7999999999859,1776355.8399999624,32,0.68,0.0,992016.0,984095744256.0
38,380,1012.0,-1359.999999999983,1849599.9999999537,32,0.68,0.0,1024144.0,1048870932736.0
39,390,1016.0,-1370.8799999999837,1879311.9743999555,32,0.68,0.0,1032256.0,1065552449536.0
40,400,1010.0,-1359.9999999999854,1849599.9999999604,32,0.68,0.0,1020100.0,1040604010000.0
41,410,1002.0,-1340.9599999999855,1798173.7215999612,32,0.68,0.0,1004004.0,1008024032016.0
42,420,1010.0,-1357.279999999985,1842208.9983999592,32,0.68,0.0,1020100.0,1040604010000.0
43,430,1008.0,-1357.2799999999852,1842208.9983999599,32,0.68,0.0,1016064.0,1032386052096.0
44,440,1016.0,-1373.5999999999835,1886776.9599999548,32,0.68,0.0,1032256.0,1065552449536.0
45,450,1020.0,-1381.7599999999825,1909260.6975999516,32,0.68,0.0,1040400.0,1082432160000.0
46,460,1008.0,-1359.9999999999848,1849599.9999999586,32,0.68,0.0,1016064.0,1032386052096.0
47,470,1016.0,-1370.8799999999835,1879311.9743999548,32,0.68,0.0,1032256.0,1065552449536.0
48,480,1006.0,-1362.7199999999832,1857005.798399954,32,0.68,0.0,1012036.0,1024216865296.0
49,490,1020.0,-1384.479999999982,1916784.8703999503,32,0.68,0.0,1040400.0,1082432160000.0
50,500,996.0,-1327.359999999986,1761884.569599963,32,0.68,0.0,992016.0,984095744256.0
51,510,1016.0,-1370.8799999999828,1879311.974399953,32,0.68,0.0,1032256.0,1065552449536.0
52,520,1014.0,-1368.1599999999835,1871861.785599955,32,0.68,0.0,1028196.0,1057187014416.0
53,530,1004.0,-1346.399999999985,1812792.95999996,32,0.68,0.0,1008016.0,1016096256256.0
54,540,1018.0,-1376.3199999999829,1894256.7423999528,32,0.68,0.0,1036324.0,1073967432976.0
55,550,1016.0,-1370.8799999999837,1879311.9743999555,32,0.68,0.0,1032256.0,1065552449536.0
56,560,1016.0,-1370.879999999983,1879311.9743999536,32,0.68,0.0,1032256.0,1065552449536.0
57,570,1004.0,-1343.6799999999848,1805475.9423999593,32,0.68,0.0,1008016.0,1016096256256.0
58,580,1010.0,-1359.9999999999839,1849599.999999956,32,0.68,0.0,1020100.0,1040604010000.0
59,590,1014.0,-1365.4399999999832,1864426.3935999542,32,0.68,0.0,1028196.0,1057187014416.0
60,600,1012.0,-1359.9999999999843,1849599.9999999574,32,0.68,0.0,1024144.0,1048870932736.0
61,610,1020.0,-1381.7599999999823,1909260.697599951,32,0.68,0.0,1040400.0,1082432160000.0
62,620,1014.0,-1365.4399999999837,1864426.3935999554,32,0.68,0.0,1028196.0,1057187014416.0
63,630,1002.0,-1335.5199999999857,1783613.6703999618,32,0.68,0.0,1004004.0,1008024032016.0
64,640,1012.0,-1359.9999999999843,1849599.9999999574,32,0.68,0.0,1024144.0,1048870932736.0
65,650,1012.0,-1362.7199999999843,1857005.7983999574,32,0.68,0.0,1024144.0,1048870932736.0
66,660,1016.0,-1370.879999999984,1879311.974399956,32,0.68,0.0,1032256.0,1065552449536.0
67,670,1014.0,-1365.439999999984,1864426.393599956,32,0.68,0.0,1028196.0,1057187014416.0
68,680,1014.0,-1365.4399999999828,1864426.393599953,32,0.68,0.0,1028196.0,1057187014416.0
69,690,1014.0,-1365.439999999984,1864426.393599956,32,0.68,0.0,1028196.0,1057187014416.0
70,700,1014.0,-1365.4399999999844,1864426.3935999572,32,0.68,0.0,1028196.0,1057187014416.0
71,710,1016.0,-1370.879999999983,1879311.9743999536,32,0.68,0.0,1032256.0,1065552449536.0
72,720,1000.0,-1330.079999999986,1769112.8063999629,32,0.68,0.0,1000000.0,1000000000000.0
73,730,1016.0,-1373.599999999983,1886776.9599999536,32,0.68,0.0,1032256.0,1065552449536.0
74,740,1020.0,-1381.759999999983,1909260.6975999528,32,0.68,0.0,1040400.0,1082432160000.0
75,750,1018.0,-1376.3199999999833,1894256.7423999542,32,0.68,0.0,1036324.0,1073967432976.0
76,760,996.0,-1324.6399999999874,1754671.1295999666,32,0.68,0.0,992016.0,984095744256.0
77,770,1014.0,-1365.4399999999846,1864426.393599958,32,0.68,0.0,1028196.0,1057187014416.0
78,780,1012.0,-1362.7199999999857,1857005.798399961,32,0.68,0.0,1024144.0,1048870932736.0
79,790,1014.0,-1368.1599999999842,1871861.7855999568,32,0.68,0.0,1028196.0,1057187014416.0
80,800,1016.0,-1370.8799999999833,1879311.974399954,32,0.68,0.0,1032256.0,1065552449536.0
81,810,1008.0,-1351.8399999999847,1827471.3855999585,32,0.68,0.0,1016064.0,1032386052096.0
82,820,998.0,-1335.5199999999857,1783613.6703999618,32,0.68,0.0,996004.0,992023968016.0
83,830,1014.0,-1368.1599999999844,1871861.7855999572,32,0.68,0.0,1028196.0,1057187014416.0
84,840,1022.0,-1387.1999999999825,1924323.8399999517,32,0.68,0.0,1044484.0,1090946826256.0
85,850,1004.0,-1338.239999999986,1790886.2975999622,32,0.68,0.0,1008016.0,1016096256256.0
86,860,1010.0,-1359.9999999999843,1849599.9999999574,32,0.68,0.0,1020100.0,1040604010000.0
87,870,1020.0,-1381.759999999983,1909260.6975999528,32,0.68,0.0,1040400.0,1082432160000.0
88,880,1010.0,-1359.9999999999843,1849599.9999999574,32,0.68,0.0,1020100.0,1040604010000.0
89,890,1010.0,-1357.2799999999838,1842208.9983999562,32,0.68,0.0,1020100.0,1040604010000.0
90,900,1004.0,-1346.3999999999858,1812792.9599999618,32,0.68,0.0,1008016.0,1016096256256.0
91,910,1010.0,-1362.719999999984,1857005.7983999567,32,0.68,0.0,1020100.0,1040604010000.0
92,920,1018.0,-1376.3199999999836,1894256.7423999547,32,0.68,0.0,1036324.0,1073967432976.0
93,930,1012.0,-1359.999999999985,1849599.9999999593,32,0.68,0.0,1024144.0,1048870932736.0
94,940,1008.0,-1351.839999999985,1827471.3855999592,32,0.68,0.0,1016064.0,1032386052096.0
95,950,1016.0,-1370.8799999999828,1879311.974399953,32,0.68,0.0,1032256.0,1065552449536.0
96,960,1024.0,-1392.6399999999817,1939446.169599949,32,0.68,0.0,1048576.0,1099511627776.0
97,970,1014.0,-1365.439999999984,1864426.393599956,32,0.68,0.0,1028196.0,1057187014416.0
98,980,1002.0,-1335.5199999999863,1783613.6703999636,32,0.68,0.0,1004004.0,1008024032016.0
99,990,1006.0,-1343.6799999999848,1805475.9423999593,32,0.68,0.0,1012036.0,1024216865296.0
100,1000,1014.0,-1368.1599999999835,1871861.785599955,32,0.68,0.0,1028196.0,1057187014416.0
101,1010,1002.0,-1343.679999999985,1805475.9423999598,32,0.68,0.0,1004004.0,1008024032016.0
102,1020,1018.0,-1376.3199999999822,1894256.742399951,32,0.68,0.0,1036324.0,1073967432976.0
103,1030,1016.0,-1370.8799999999837,1879311.9743999555,32,0.68,0.0,1032256.0,1065552449536.0
104,1040,1006.0,-1346.3999999999846,1812792.9599999585,32,0.68,0.0,1012036.0,1024216865296.0
105,1050,1016.0,-1370.8799999999833,1879311.974399954,32,0.68,0.0,1032256.0,1065552449536.0
