,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX,h
15,0.435,684.2812,4776.107953588711,-1360.793099999953,1382220.5048,2867298538763.3887,16.303668360407045,1.106315079218124,3023.0658974503413,16603.190638830598,50583446041.56807,0.3349652122447643,4.046955758248552e-12,0.0
13,0.436,-889.4752,5168.576366671827,-1384.6927488000044,1667284.6256,3782867226300.4736,15.963248310944527,1.155593420840161,3197.6350687142467,16990.60615046964,55302133628.61551,0.3350003817124893,3.99338461376899e-12,0.0
8,0.437,-228.0564,5002.073986934964,-1394.145717600017,1711102.908,3917837916373.91,21.981367437208867,1.1364279251070721,3174.0132713448293,16878.20923735891,56761337346.9821,0.335431808390758,4.199111144644824e-12,0.0
11,0.438,80.8372,4617.2449381730985,-1417.6181855999828,2028766.0024,4889633619459.376,24.271199840641717,1.0875180032313128,3076.7646428497956,14872.58664434967,54990336900.71418,0.3355191129904249,4.19517290742786e-12,0.0
10,0.439,-862.5868,5113.536792005645,-1426.6158415999935,1999606.0776,4973902787225.808,19.118676805334385,1.1465866293325027,3263.148064082766,16735.600764060808,59894431632.504074,0.33531056025348804,4.265859592234166e-12,0.0
12,0.44,-1511.338,4145.1356721119955,-1451.4783360000565,2353953.948,6054760750777.737,4.447393997315558,1.0132049966553311,2935.46010839693,12024.278098638095,52352605164.008194,0.32632510704083645,4.407984290984101e-12,0.0
19,0.441,528.3204,5069.609754012432,-1445.7260664000084,2091612.38,5323295486682.724,22.97694662309735,1.143645249837909,3297.095908475868,16495.883679816787,61106300641.09443,0.33548618316399553,4.567800007611149e-12,0.0
18,0.442,1557.1168,4309.74682997819,-1475.7658656000185,2501640.52,6831837327436.153,4.681774973631361,1.039210242935464,3060.0806083790803,12735.669489268144,56825315124.15325,0.3277473876913655,4.271026973888041e-12,0.0
0,0.443,1558.0204,4261.284603175707,-1484.0655935999687,2511464.388,6917381238849.82,4.897644070024331,1.033418913311695,3050.6775626632575,13151.020475047908,57795654093.51529,0.32875353817583125,4.4597798255726236e-12,0.0
7,0.444,1572.4416,4054.2830677232705,-1494.9362783999652,2553067.4352,7107016718958.125,4.795750060803747,1.009431521431301,3011.7578941726215,12931.241334042079,58082409527.99055,0.32908690343744934,4.600992573200757e-12,0.0
20,0.445,591.42,4289.411183110904,-1507.887484000034,2659775.1456,7690069009893.734,25.945075962933046,1.0388545505494302,3112.7332904122604,13226.079778220832,58549072076.395096,0.33563248566397336,4.4597494075577836e-12,0.0
14,0.446,-1627.2416,3939.0371103407815,-1517.918184000045,2706293.4832,7806457450723.36,4.070252076828042,0.9915729462599205,2998.406525964666,11661.868046033353,56170217990.94356,0.3268564728687245,4.591336084646041e-12,0.0
6,0.447,292.8856,3899.627684403211,-1533.4263479999945,2836993.6416,8475729202316.198,28.316820775367496,0.9803284593193349,2993.2671223860743,10951.189358008112,54398802486.157036,0.33568396098257586,4.542875777471145e-12,0.0
3,0.448,-1727.2252,3546.0856742379256,-1553.059379199967,3010988.5016,9361934508373.27,2.764478090199681,0.9230100517623376,2855.0116293242863,9017.910178108472,50447877534.58646,0.31798055944537645,4.673364073817842e-12,0.0
9,0.449,-1726.9324,3439.86528545944,-1560.6162399999746,3016296.9592,9435434877841.57,3.0867162706405455,0.917130610616786,2852.743275204165,9690.659149203446,52378683499.506226,0.3227465877273619,4.607106244832099e-12,0.0
5,0.45,-1721.8436,3507.1977279754356,-1566.6998400000432,2999940.0776,9356105886557.916,3.1404789983775454,0.92250025819203,2879.9792878514572,9964.466605425947,53954342015.73211,0.32276036334688163,4.66025741785946e-12,0.0
17,0.451,1756.0936,3595.686739793513,-1581.964762400048,3118388.8256,10072296694826.201,3.110773109280398,0.9321018378866877,2933.720982483441,9838.744514152604,53927686541.79906,0.3228345431260035,4.742264732579185e-12,0.0
2,0.452,1762.02,3512.683581265155,-1589.7783775999942,3134729.3552,10134284031199.021,2.896189374879813,0.9219667990060592,2918.915742721672,9238.163988067306,52132946764.627235,0.32187184336018015,4.737434552469072e-12,0.0
16,0.453,-1788.3108,3286.89097695332,-1603.0426967999401,3220877.3624,10634313540625.75,2.5077044380043096,0.8877488634878712,2835.332823372938,8445.002437358426,50064978594.336105,0.31737123153216334,4.877192466334297e-12,0.0
1,0.454,1802.7328,3231.087881672196,-1613.9376751999416,3273565.2272,10976473293875.168,2.5576977158325374,0.875266407806976,2817.395234562788,8436.121562869452,49556052028.09546,0.31765466326608416,4.530629851851964e-12,0.0
4,0.455,-1798.4048,3372.1374750183895,-1621.3328040000324,3262150.6256,10940307153158.432,2.7889953324005514,0.9001031108341628,2907.029053310341,9091.265588688699,52599305252.395775,0.32121824158843737,4.756199680191469e-12,0.0
