,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX
15,0.435,0.3173736111111111,4681.889082279522,-1370.244083999952,0.2969900484061535,0.11982127401712546,0.007556948932100003,1.0992009999950336,3015.1859697707396,0.003014355888533135,0.001790714845584523,0.3351335086003661,4.1412189086714206e-12
13,0.436,0.039957465277777784,4953.782553201541,-1384.4681216000047,0.31849847653235913,0.1336936401425396,0.009605994390876603,1.1264705253242893,3125.0452031051914,0.003041289322360626,0.0019141436355267826,0.3353709620726418,4.067680938996074e-12
8,0.437,0.5294756944444444,4587.595128441695,-1405.035058400017,0.37511142126012725,0.16618343106641048,0.00524588497946146,1.0863388642500775,3045.40005835148,0.002696925418960953,0.0018801030157393605,0.3344617196600933,4.258068202218854e-12
11,0.438,0.37056180555555557,4683.625691821799,-1416.0568031999828,0.37153739571277006,0.16910203046031547,0.008258070901261485,1.0956283894865648,3098.800937257411,0.002985706384243109,0.0020251532326126323,0.33534849173465675,4.172568871913601e-12
10,0.439,0.055515451388888866,4855.557442501886,-1423.508423999993,0.37384233232663,0.17210448318682806,0.010392375010962802,1.1138574101142158,3160.7541434357795,0.003045981840788097,0.002061788662705944,0.33550726448047874,4.291874969247899e-12
12,0.44,0.6417703125,3884.85489924578,-1446.172288000056,0.4265459193853684,0.20128046576511488,0.002043979807723423,0.9822441519968697,2837.7586191181545,0.002340005546876233,0.0018713328572600029,0.32785957399699744,4.23690844340323e-12
19,0.441,0.6248013888888889,4572.774503270164,-1452.7894752000088,0.41759349410445595,0.20233588153020082,0.0027990821338321615,1.0804096405143304,3125.7708058666913,0.002827735096889939,0.0020698105986462607,0.331559238664748,4.497331555642832e-12
18,0.442,0.6722703125,4307.33877356397,-1471.9247088000186,0.46720786178023715,0.23796793562464671,0.0020863742580352358,1.0419050980260398,3055.5381030634635,0.002360230426595406,0.001973987667289757,0.32853496796664955,4.246047369869915e-12
0,0.443,0.34749010416666665,4718.448317389004,-1477.1640079999688,0.4501468196915992,0.23074805076647525,0.009795851396567926,1.0979791650355701,3224.9655318763726,0.0028362003949076527,0.0022021385000510207,0.33552876543223126,4.644348883459887e-12
7,0.444,0.6955991319444444,3952.9418011195958,-1499.7435551999647,0.49638039445288384,0.2652461825212441,0.0018858991358144746,0.9894955127798064,2959.1565233974948,0.002306628505406927,0.002021724938215466,0.32713004908694654,4.712152043343675e-12
20,0.445,0.1645046875,4721.987131990958,-1503.4374840000335,0.48439678020712773,0.2615080067728712,0.011544148462066476,1.0978959953936462,3275.0187242242555,0.0027690947326582853,0.002176856189884485,0.3356255310144394,4.419167310895183e-12
14,0.446,0.6726907986111111,4439.285443197936,-1518.5800480000448,0.5067668564031154,0.280786999654996,0.003966412440451616,1.062812790337962,3204.590892063134,0.0026116982439855904,0.0021460396080027807,0.3339873553768829,4.490856524690521e-12
6,0.447,0.6989413194444445,4410.560704651754,-1525.7937335999943,0.5089119490258488,0.2819879654024572,0.002421505236059488,1.0545087544270813,3196.589683314898,0.002558827532922682,0.0022010638716997016,0.33117360975279136,4.652520996275346e-12
3,0.448,0.6894729166666667,4537.141318080947,-1537.3309951999677,0.5146168779538002,0.29139233056756636,0.003370264590018498,1.0707988881114776,3267.2340519273794,0.002753610963518554,0.002272955744319619,0.33336547070579114,4.680608641174514e-12
9,0.449,0.5090114583333333,4096.416936360765,-1551.9861007999755,0.5393192159770448,0.31117322612407095,0.009035219109231319,1.0110199900554193,3115.0973842703374,0.0023998083024714323,0.0021066956905927024,0.3355318159654722,4.770242832064466e-12
5,0.45,0.7552598958333334,3571.176558399573,-1569.7299600000433,0.5763532996660397,0.3436476875631197,0.0012857447310554485,0.9260657569811421,2898.1641952464834,0.0017806425703942872,0.0018478804563826006,0.32077213391874765,4.5045381071971755e-12
17,0.451,0.7627727430555554,3352.022975272499,-1580.4418256000479,0.5866533524124711,0.3538947037631684,0.0011547894288662275,0.8937038699095339,2813.7216696593523,0.0016334956653297238,0.0017608133870725012,0.31792570669200465,4.76262608828249e-12
2,0.452,0.7706703125,3220.744439053815,-1592.0814079999943,0.5985799601236979,0.36778602080344436,0.0011337142686258148,0.8792957331761645,2792.6223263341244,0.0016141018405443667,0.0017617274947198057,0.31855080816618314,4.761246628526613e-12
16,0.453,0.7770364583333333,3223.4476594626904,-1604.23789199994,0.6080955834659529,0.3790008352537525,0.0010892672977859592,0.8742207713514462,2799.8453444635607,0.0015884740283858066,0.0017741232946077198,0.31707699969447617,4.778715652672849e-12
1,0.454,0.7750732638888889,3402.032603074331,-1611.9669519999416,0.6064364176432292,0.37933105210053647,0.0012640518110903411,0.9091143678032567,2918.8069345682297,0.0017954926738512262,0.001940071952522987,0.32298630078052915,4.74722105920984e-12
4,0.455,0.791811111111111,3110.6059420811944,-1626.4248000000327,0.6301888355396412,0.4044371895525129,0.0009350549886772408,0.8553715588724795,2773.788792100565,0.0014024411068017683,0.0016397588560221495,0.3123524381798642,4.826467809899894e-12
