,T,M,E,E2,X,J,B,M2,M4
0,0,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
1,10,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
2,20,0.9921875,-317.51999999999884,100818.95039999926,16,0.63,0.0,0.98443603515625,0.9691143073141575
3,30,0.9921875,-317.5199999999989,100818.9503999993,16,0.63,0.0,0.98443603515625,0.9691143073141575
4,40,0.984375,-312.47999999999894,97643.75039999934,16,0.63,0.0,0.968994140625,0.9389496445655823
5,50,0.984375,-314.9999999999989,99224.99999999932,16,0.63,0.0,0.968994140625,0.9389496445655823
6,60,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
7,70,0.96875,-304.91999999999894,92976.20639999936,16,0.63,0.0,0.9384765625,0.8807382583618164
8,80,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
9,90,0.9765625,-307.4399999999989,94519.35359999933,16,0.63,0.0,0.95367431640625,0.9094947017729282
10,100,0.9765625,-307.439999999999,94519.35359999938,16,0.63,0.0,0.95367431640625,0.9094947017729282
11,110,0.9765625,-312.47999999999894,97643.75039999934,16,0.63,0.0,0.95367431640625,0.9094947017729282
12,120,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
13,130,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
14,140,0.9921875,-317.5199999999989,100818.9503999993,16,0.63,0.0,0.98443603515625,0.9691143073141575
15,150,0.984375,-312.4799999999989,97643.7503999993,16,0.63,0.0,0.968994140625,0.9389496445655823
16,160,0.984375,-312.4799999999989,97643.7503999993,16,0.63,0.0,0.968994140625,0.9389496445655823
17,170,0.984375,-312.47999999999894,97643.75039999934,16,0.63,0.0,0.968994140625,0.9389496445655823
18,180,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
19,190,0.984375,-312.47999999999894,97643.75039999934,16,0.63,0.0,0.968994140625,0.9389496445655823
20,200,0.9921875,-317.51999999999884,100818.95039999926,16,0.63,0.0,0.98443603515625,0.9691143073141575
21,210,0.9453125,-289.79999999999905,83984.03999999944,16,0.63,0.0,0.89361572265625,0.7985490597784519
22,220,0.9609375,-297.359999999999,88422.9695999994,16,0.63,0.0,0.92340087890625,0.852669183164835
23,230,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
24,240,0.9921875,-317.51999999999884,100818.95039999926,16,0.63,0.0,0.98443603515625,0.9691143073141575
25,250,0.9921875,-317.5199999999989,100818.9503999993,16,0.63,0.0,0.98443603515625,0.9691143073141575
26,260,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
27,270,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
28,280,0.984375,-312.4799999999989,97643.7503999993,16,0.63,0.0,0.968994140625,0.9389496445655823
29,290,0.9765625,-307.439999999999,94519.35359999938,16,0.63,0.0,0.95367431640625,0.9094947017729282
30,300,0.984375,-312.4799999999989,97643.7503999993,16,0.63,0.0,0.968994140625,0.9389496445655823
31,310,0.96875,-304.91999999999894,92976.20639999936,16,0.63,0.0,0.9384765625,0.8807382583618164
32,320,0.984375,-312.47999999999894,97643.75039999934,16,0.63,0.0,0.968994140625,0.9389496445655823
33,330,0.9921875,-317.5199999999989,100818.9503999993,16,0.63,0.0,0.98443603515625,0.9691143073141575
34,340,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
35,350,0.9609375,-299.879999999999,89928.01439999939,16,0.63,0.0,0.92340087890625,0.852669183164835
36,360,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
37,370,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
38,380,0.9921875,-317.51999999999884,100818.95039999926,16,0.63,0.0,0.98443603515625,0.9691143073141575
39,390,0.953125,-299.879999999999,89928.01439999939,16,0.63,0.0,0.908447265625,0.8252764344215393
40,400,0.984375,-312.4799999999989,97643.7503999993,16,0.63,0.0,0.968994140625,0.9389496445655823
41,410,0.9921875,-317.5199999999989,100818.9503999993,16,0.63,0.0,0.98443603515625,0.9691143073141575
42,420,0.9765625,-307.4399999999989,94519.35359999933,16,0.63,0.0,0.95367431640625,0.9094947017729282
43,430,1.0,-322.55999999999887,104044.95359999927,16,0.63,0.0,1.0,1.0
44,440,0.984375,-312.47999999999894,97643.75039999934,16,0.63,0.0,0.968994140625,0.9389496445655823
45,450,0.9921875,-317.5199999999989,100818.9503999993,16,0.63,0.0,0.98443603515625,0.9691143073141575
46,460,0.984375,-314.9999999999989,99224.99999999932,16,0.63,0.0,0.968994140625,0.9389496445655823
