,T,M,E,E2,X,J,B,M2,M4
0,0,2204.0,-2345.199999999909,5499963.039999573,48,0.55,0.0,4857616.0,23596433203456.0
1,10,2204.0,-2367.1999999999043,5603635.839999547,48,0.55,0.0,4857616.0,23596433203456.0
2,20,2162.0,-2309.999999999912,5336099.999999592,48,0.55,0.0,4674244.0,21848556971536.0
3,30,2186.0,-2327.5999999999085,5417721.759999574,48,0.55,0.0,4778596.0,22834979731216.0
4,40,2196.0,-2351.799999999908,5530963.239999566,48,0.55,0.0,4822416.0,23255696077056.0
5,50,2182.0,-2318.799999999914,5376833.4399996,48,0.55,0.0,4761124.0,22668301743376.0
6,60,2234.0,-2391.399999999905,5718793.9599995455,48,0.55,0.0,4990756.0,24907645451536.0
7,70,2182.0,-2327.5999999999144,5417721.759999601,48,0.55,0.0,4761124.0,22668301743376.0
8,80,2204.0,-2349.599999999908,5520620.159999568,48,0.55,0.0,4857616.0,23596433203456.0
9,90,2202.0,-2351.7999999999065,5530963.239999561,48,0.55,0.0,4848804.0,23510900230416.0
10,100,2222.0,-2378.1999999999075,5655835.23999956,48,0.55,0.0,4937284.0,24376773296656.0
11,110,2164.0,-2323.199999999907,5397258.239999568,48,0.55,0.0,4682896.0,21929514946816.0
12,120,2188.0,-2325.3999999999114,5407485.159999588,48,0.55,0.0,4787344.0,22918662574336.0
13,130,2180.0,-2327.5999999999144,5417721.759999601,48,0.55,0.0,4752400.0,22585305760000.0
14,140,2178.0,-2320.9999999999145,5387040.999999603,48,0.55,0.0,4743684.0,22502537891856.0
15,150,2210.0,-2358.399999999905,5562050.559999553,48,0.55,0.0,4884100.0,23854432810000.0
16,160,2188.0,-2318.7999999999106,5376833.439999585,48,0.55,0.0,4787344.0,22918662574336.0
17,170,2234.0,-2395.799999999901,5739857.639999526,48,0.55,0.0,4990756.0,24907645451536.0
18,180,2170.0,-2325.3999999999096,5407485.159999579,48,0.55,0.0,4708900.0,22173739210000.0
19,190,2162.0,-2305.599999999912,5315791.359999595,48,0.55,0.0,4674244.0,21848556971536.0
20,200,2178.0,-2305.5999999999135,5315791.359999601,48,0.55,0.0,4743684.0,22502537891856.0
21,210,2196.0,-2329.799999999909,5427968.039999575,48,0.55,0.0,4822416.0,23255696077056.0
22,220,2186.0,-2316.599999999909,5366635.559999579,48,0.55,0.0,4778596.0,22834979731216.0
23,230,2160.0,-2292.399999999913,5255097.7599996,48,0.55,0.0,4665600.0,21767823360000.0
24,240,2216.0,-2373.7999999999033,5634926.439999541,48,0.55,0.0,4910656.0,24114542350336.0
25,250,2190.0,-2356.199999999909,5551678.43999957,48,0.55,0.0,4796100.0,23002575210000.0
26,260,2184.0,-2305.5999999999112,5315791.359999591,48,0.55,0.0,4769856.0,22751526260736.0
27,270,2192.0,-2327.599999999913,5417721.759999596,48,0.55,0.0,4804864.0,23086718058496.0
28,280,2170.0,-2312.1999999999093,5346268.839999581,48,0.55,0.0,4708900.0,22173739210000.0
29,290,2172.0,-2294.599999999911,5265189.15999959,48,0.55,0.0,4717584.0,22255598797056.0
30,300,2226.0,-2391.3999999999064,5718793.959999552,48,0.55,0.0,4955076.0,24552778165776.0
31,310,2216.0,-2362.799999999904,5582823.839999545,48,0.55,0.0,4910656.0,24114542350336.0
32,320,2192.0,-2318.7999999999097,5376833.439999581,48,0.55,0.0,4804864.0,23086718058496.0
33,330,2198.0,-2345.1999999999102,5499963.039999579,48,0.55,0.0,4831204.0,23340532089616.0
34,340,2242.0,-2408.9999999999036,5803280.999999535,48,0.55,0.0,5026564.0,25266345646096.0
35,350,2186.0,-2327.5999999999076,5417721.7599995695,48,0.55,0.0,4778596.0,22834979731216.0
36,360,2208.0,-2349.599999999906,5520620.159999557,48,0.55,0.0,4875264.0,23768199069696.0
37,370,2200.0,-2340.7999999999056,5479344.639999558,48,0.55,0.0,4840000.0,23425600000000.0
38,380,2206.0,-2340.7999999999047,5479344.639999554,48,0.55,0.0,4866436.0,23682199342096.0
39,390,2176.0,-2320.9999999999127,5387040.999999595,48,0.55,0.0,4734976.0,22419997720576.0
40,400,2196.0,-2347.3999999999073,5510286.759999565,48,0.55,0.0,4822416.0,23255696077056.0
41,410,2202.0,-2351.7999999999083,5530963.239999569,48,0.55,0.0,4848804.0,23510900230416.0
42,420,2210.0,-2349.5999999999085,5520620.15999957,48,0.55,0.0,4884100.0,23854432810000.0
43,430,2196.0,-2342.9999999999054,5489648.999999557,48,0.55,0.0,4822416.0,23255696077056.0
44,440,2176.0,-2309.9999999999086,5336099.999999578,48,0.55,0.0,4734976.0,22419997720576.0
45,450,2232.0,-2402.3999999999032,5771525.759999535,48,0.55,0.0,4981824.0,24818570366976.0
46,460,2206.0,-2347.399999999906,5510286.759999558,48,0.55,0.0,4866436.0,23682199342096.0
47,470,2196.0,-2349.599999999907,5520620.159999563,48,0.55,0.0,4822416.0,23255696077056.0
48,480,2190.0,-2329.7999999999074,5427968.039999569,48,0.55,0.0,4796100.0,23002575210000.0
