,T,M,E,E2,X,J,B,M2,M4
0,0,-2156.0,-2171.519999999946,4715499.110399765,48,0.52,0.0,4648336.0,21607027568896.0
1,10,-2148.0,-2142.399999999947,4589877.7599997725,48,0.52,0.0,4613904.0,21288110121216.0
2,20,-2118.0,-2138.2399999999475,4572070.297599776,48,0.52,0.0,4485924.0,20123514133776.0
3,30,-2168.0,-2186.0799999999454,4778945.766399761,48,0.52,0.0,4700224.0,22092105650176.0
4,40,-2134.0,-2134.079999999947,4554297.446399774,48,0.52,0.0,4553956.0,20738515249936.0
5,50,-2182.0,-2200.639999999945,4842816.409599757,48,0.52,0.0,4761124.0,22668301743376.0
6,60,-2172.0,-2194.399999999945,4815391.359999759,48,0.52,0.0,4717584.0,22255598797056.0
7,70,-2144.0,-2142.3999999999473,4589877.759999774,48,0.52,0.0,4596736.0,21129981853696.0
8,80,-2138.0,-2134.079999999947,4554297.446399774,48,0.52,0.0,4571044.0,20894443249936.0
9,90,-2162.0,-2190.239999999945,4797151.25759976,48,0.52,0.0,4674244.0,21848556971536.0
10,100,-2116.0,-2111.199999999948,4457165.439999781,48,0.52,0.0,4477456.0,20047612231936.0
11,110,-2164.0,-2179.839999999946,4751702.425599765,48,0.52,0.0,4682896.0,21929514946816.0
12,120,-2154.0,-2144.479999999947,4598794.470399772,48,0.52,0.0,4639716.0,21526964560656.0
13,130,-2178.0,-2190.2399999999457,4797151.257599762,48,0.52,0.0,4743684.0,22502537891856.0
14,140,-2140.0,-2121.5999999999476,4501186.559999778,48,0.52,0.0,4579600.0,20972736160000.0
15,150,-2158.0,-2142.3999999999473,4589877.759999774,48,0.52,0.0,4656964.0,21687313697296.0
16,160,-2158.0,-2152.7999999999465,4634547.83999977,48,0.52,0.0,4656964.0,21687313697296.0
17,170,-2180.0,-2171.519999999946,4715499.110399765,48,0.52,0.0,4752400.0,22585305760000.0
18,180,-2168.0,-2167.359999999946,4697449.369599766,48,0.52,0.0,4700224.0,22092105650176.0
19,190,-2126.0,-2100.799999999948,4413360.639999781,48,0.52,0.0,4519876.0,20429279055376.0
20,200,-2134.0,-2129.919999999948,4536559.206399778,48,0.52,0.0,4553956.0,20738515249936.0
21,210,-2180.0,-2204.799999999945,4861143.039999758,48,0.52,0.0,4752400.0,22585305760000.0
22,220,-2112.0,-2102.879999999948,4422104.29439978,48,0.52,0.0,4460544.0,19896452775936.0
23,230,-2148.0,-2169.4399999999464,4706469.913599768,48,0.52,0.0,4613904.0,21288110121216.0
24,240,-2158.0,-2161.1199999999462,4670439.6543997675,48,0.52,0.0,4656964.0,21687313697296.0
25,250,-2120.0,-2113.279999999948,4465952.35839978,48,0.52,0.0,4494400.0,20199631360000.0
26,260,-2184.0,-2196.4799999999454,4824524.390399761,48,0.52,0.0,4769856.0,22751526260736.0
27,270,-2152.0,-2163.1999999999466,4679434.239999769,48,0.52,0.0,4631104.0,21447124258816.0
28,280,-2168.0,-2194.399999999945,4815391.359999759,48,0.52,0.0,4700224.0,22092105650176.0
29,290,-2068.0,-2086.239999999949,4352397.337599787,48,0.52,0.0,4276624.0,18289512837376.0
30,300,-2118.0,-2123.679999999947,4510016.742399775,48,0.52,0.0,4485924.0,20123514133776.0
31,310,-2080.0,-2075.839999999949,4309111.7055997895,48,0.52,0.0,4326400.0,18717736960000.0
32,320,-2086.0,-2098.7199999999484,4404625.6383997835,48,0.52,0.0,4351396.0,18934647148816.0
33,330,-2124.0,-2140.319999999947,4580969.702399773,48,0.52,0.0,4511376.0,20352513413376.0
34,340,-2150.0,-2156.9599999999464,4652476.441599769,48,0.52,0.0,4622500.0,21367506250000.0
35,350,-2170.0,-2173.599999999946,4724536.959999764,48,0.52,0.0,4708900.0,22173739210000.0
36,360,-2146.0,-2156.9599999999464,4652476.441599769,48,0.52,0.0,4605316.0,21208935459856.0
37,370,-2146.0,-2159.0399999999463,4661453.721599768,48,0.52,0.0,4605316.0,21208935459856.0
38,380,-2062.0,-2032.1599999999505,4129674.265599799,48,0.52,0.0,4251844.0,18078177400336.0
39,390,-2170.0,-2163.199999999946,4679434.239999767,48,0.52,0.0,4708900.0,22173739210000.0
40,400,-2118.0,-2109.1199999999485,4448387.174399783,48,0.52,0.0,4485924.0,20123514133776.0
41,410,-2164.0,-2154.8799999999464,4643507.8143997695,48,0.52,0.0,4682896.0,21929514946816.0
42,420,-2122.0,-2127.839999999948,4527703.065599778,48,0.52,0.0,4502884.0,20275964317456.0
43,430,-2194.0,-2213.119999999945,4897900.134399756,48,0.52,0.0,4813636.0,23171091540496.0
44,440,-2186.0,-2186.079999999946,4778945.7663997635,48,0.52,0.0,4778596.0,22834979731216.0
45,450,-2186.0,-2202.7199999999452,4851975.398399759,48,0.52,0.0,4778596.0,22834979731216.0
46,460,-2160.0,-2159.0399999999463,4661453.721599768,48,0.52,0.0,4665600.0,21767823360000.0
