#! FIELDS es.morethan file.free der_es.morethan
#! SET min_es.morethan 905.237
#! SET max_es.morethan 976.671
#! SET nbins_es.morethan  69
#! SET periodic_es.morethan false
  905.237000000  477.736298478   -0.152290329
  906.287500000  477.440948104   -0.459594860
  907.338000000  476.614357465   -1.218904043
  908.388500000  474.580966560   -2.834951399
  909.439000000  470.169904915   -5.797753868
  910.489500000  461.822080586  -10.334747960
  911.540000000  448.044784471  -15.996735319
  912.590500000  428.293532227  -21.406126671
  913.641000000  403.848649620  -24.610676475
  914.691500000  377.875038433  -24.196840670
  915.742000000  354.184838729  -20.472413061
  916.792500000  335.296375990  -15.505679542
  917.843000000  321.179851135  -11.697237894
  918.893500000  310.015801284   -9.772821589
  919.944000000  300.553606684   -8.058347127
  920.994500000  293.892418480   -4.101032948
  922.045000000  293.033788955    2.883720998
  923.095500000  300.335746167   10.915817134
  924.146000000  315.146956768   16.650440786
  925.196500000  333.733455279   17.977960338
  926.247000000  351.573366360   15.546659442
  927.297500000  365.988380307   11.959407702
  928.348000000  377.201958687    9.710853211
  929.398500000  387.189103934    9.543498546
  930.449000000  397.601272500   10.273323044
  931.499500000  408.359281828    9.864780105
  932.550000000  417.410829381    6.912468374
  933.600500000  421.996409551    1.466955881
  934.651000000  420.195051563   -5.093760872
  935.701500000  411.661814104  -10.929732969
  936.752000000  397.781706697  -15.223292764
  937.802500000  380.117631692  -18.231393820
  938.853000000  359.608101142  -20.802688073
  939.903500000  336.363445506  -23.465865780
  940.954000000  310.442380768  -25.752778695
  942.004500000  282.649445416  -26.907993822
  943.055000000  254.388067838  -26.719232491
  944.105500000  226.727853385  -25.917654491
  945.156000000  199.772261743  -25.492789939
  946.206500000  173.001764426  -25.475443004
  947.257000000  146.475222284  -24.764049365
  948.307500000  121.629010575  -22.129867552
  949.358000000  100.629326877  -17.632940447
  950.408500000   84.714871925  -12.795645249
  951.459000000   73.113532287   -9.676441293
  952.509500000   63.517699153   -8.981363267
  953.560000000   53.602775261  -10.044952677
  954.610500000   42.312241126  -11.511492673
  955.661000000   29.738012948  -12.271172108
  956.711500000   17.008692711  -11.740259016
  957.762000000    5.990354162   -8.752376622
  958.812500000    0.000000000   -1.925817381
  959.863000000    3.535430979    9.124087224
  960.913500000   20.333581172   23.073610113
  961.964000000   51.911025557   36.638023200
  963.014500000   96.299631183   47.096818448
  964.065000000  149.443209807   53.334794083
  965.115500000  207.000835711   55.568859441
  966.166000000  265.091633823   54.354921848
  967.216500000  320.168090256   49.915556170
  968.267000000  368.946857776   42.343293964
  969.317500000  408.520384336   32.732346033
  970.368000000  437.597722709   22.713496627
  971.418500000  456.755434384   13.962114105
  972.469000000  467.902769592    7.614902830
  973.519500000  473.668049665    3.648911812
  974.570000000  476.275875507    1.556726076
  975.620500000  477.345077618    0.561285465
  976.671000000  477.706861465    0.187229616
