#! FIELDS es.morethan file.free der_es.morethan
#! SET min_es.morethan 1420.41
#! SET max_es.morethan 1690.71
#! SET nbins_es.morethan  256
#! SET periodic_es.morethan false
 1420.410000000 2831.568407738   -0.139343665
 1421.470000000 2831.299279990   -0.410816613
 1422.530000000 2830.566641392   -1.055842855
 1423.590000000 2828.795175347   -2.402096059
 1424.650000000 2825.120550920   -4.708331837
 1425.710000000 2818.450720190   -8.023580298
 1426.770000000 2807.898851588  -11.902379675
 1427.830000000 2793.344484491  -15.410001087
 1428.890000000 2775.680578921  -17.645492973
 1429.950000000 2756.488609037  -18.335894949
 1431.010000000 2737.145411057  -18.063729811
 1432.070000000 2718.240898600  -17.598546026
 1433.130000000 2699.845485312  -17.043555840
 1434.190000000 2682.371701324  -15.735553885
 1435.250000000 2666.947754732  -13.160725615
 1436.310000000 2654.746984024   -9.838458496
 1437.370000000 2645.819037984   -7.215925718
 1438.430000000 2638.763398044   -6.450465827
 1439.490000000 2631.484418882   -7.503262580
 1440.550000000 2622.666659351   -9.028571679
 1441.610000000 2612.824095509   -9.194291358
 1442.670000000 2603.986800452   -7.104456689
 1443.730000000 2598.268262824   -3.629540382
 1444.790000000 2596.000749503   -0.980747220
 1445.850000000 2595.200789403   -1.035610273
 1446.910000000 2592.898601136   -3.534924887
 1447.970000000 2587.704891124   -6.143145525
 1449.030000000 2580.731303867   -6.562013709
 1450.090000000 2574.509227197   -5.012919712
 1451.150000000 2569.915519206   -4.034880346
 1452.210000000 2564.927353431   -5.951174537
 1453.270000000 2556.252533716  -10.750054784
 1454.330000000 2542.115911336  -15.636389732
 1455.390000000 2524.236787413  -17.425452404
 1456.450000000 2506.837545858  -14.720997394
 1457.510000000 2494.290301111   -8.636483497
 1458.570000000 2488.852061350   -1.696974060
 1459.630000000 2490.126774189    3.703633724
 1460.690000000 2495.651364329    6.170447588
 1461.750000000 2502.019126793    5.208175940
 1462.810000000 2505.814724771    1.590692478
 1463.870000000 2504.865419231   -3.462975858
 1464.930000000 2498.584379643   -8.220360444
 1465.990000000 2488.007422824  -11.412886486
 1467.050000000 2474.979844812  -12.956983071
 1468.110000000 2460.875885444  -13.741697896
 1469.170000000 2445.925098936  -14.563265185
 1470.230000000 2429.950043063  -15.504551056
 1471.290000000 2413.384194468  -15.553083239
 1472.350000000 2397.763757197  -13.558307945
 1473.410000000 2385.296853884   -9.808929933
 1474.470000000 2377.097254114   -5.785056354
 1475.530000000 2372.381082282   -3.542833943
 1476.590000000 2368.577872441   -4.164012853
 1477.650000000 2362.635884300   -7.443802720
 1478.710000000 2352.335828462  -12.095906844
 1479.770000000 2337.111856016  -16.469311607
 1480.830000000 2318.191974040  -18.874327349
 1481.890000000 2298.235687739  -18.249672403
 1482.950000000 2280.507927653  -14.907088423
 1484.010000000 2267.178231860  -10.192648722
 1485.070000000 2258.707991621   -6.031268167
 1486.130000000 2253.616553394   -4.071549202
 1487.190000000 2249.202087955   -4.738939158
 1488.250000000 2242.952740919   -7.230182648
 1489.310000000 2233.837759509   -9.859247574
 1490.370000000 2222.592003413  -11.138692823
 1491.430000000 2210.939131650  -10.654654364
 1492.490000000 2200.220868000   -9.626163682
 1493.550000000 2190.360800253   -9.163485770
 1494.610000000 2180.505862588   -9.614272996
 1495.670000000 2170.047641789  -10.242143584
 1496.730000000 2159.002604103  -10.568413821
 1497.790000000 2147.641070378  -11.055774404
 1498.850000000 2135.556011508  -11.850806322
 1499.910000000 2122.560203966  -12.670636765
 1500.970000000 2108.999659841  -12.712856606
 1502.030000000 2095.999403929  -11.678288375
 1503.090000000 2084.485071457  -10.151592316
 1504.150000000 2074.532737028   -8.711513074
 1505.210000000 2065.929909624   -7.611471161
 1506.270000000 2058.342130018   -6.798812049
 1507.330000000 2051.336326003   -6.561954696
 1508.390000000 2044.062102061   -7.514813177
 1509.450000000 2035.294549199   -9.113184586
 1510.510000000 2025.004548679  -10.119541535
 1511.570000000 2014.525707686   -9.382208027
 1512.630000000 2005.524142561   -7.612898182
 1513.690000000 1998.012654814   -6.984778026
 1514.750000000 1989.857346070   -8.977467259
 1515.810000000 1978.509658982  -12.503796721
 1516.870000000 1963.764096756  -14.986733295
 1517.930000000 1947.871748194  -14.442200725
 1518.990000000 1933.973055845  -11.762485954
 1520.050000000 1922.910398154   -9.637144788
 1521.110000000 1912.769487602   -9.969312044
 1522.170000000 1901.131231104  -12.153260946
 1523.230000000 1887.344852337  -13.645176370
 1524.290000000 1873.105839464  -12.946280152
 1525.350000000 1860.399608723  -11.110934713
 1526.410000000 1849.251860509  -10.166115083
 1527.470000000 1838.307660174  -10.717841580
 1528.530000000 1826.679475476  -11.095961349
 1529.590000000 1815.449145205   -9.786464509
 1530.650000000 1806.442066942   -7.297838702
 1531.710000000 1799.841998771   -5.656180050
 1532.770000000 1793.665909009   -6.512975899
 1533.830000000 1785.143990842   -9.837976376
 1534.890000000 1772.578639433  -13.892532632
 1535.950000000 1756.251061904  -16.761954173
 1537.010000000 1737.954806596  -17.480362728
 1538.070000000 1719.986161751  -16.312124015
 1539.130000000 1703.747941834  -14.392080572
 1540.190000000 1689.395303293  -12.885490138
 1541.250000000 1676.156912482  -12.305360980
 1542.310000000 1663.340951935  -12.083609403
 1543.370000000 1651.047728651  -11.011207522
 1544.430000000 1640.434921482   -8.933645570
 1545.490000000 1632.206075442   -6.829829999
 1546.550000000 1625.594242277   -6.149240127
 1547.610000000 1618.423062277   -7.859422657
 1548.670000000 1608.364110329  -11.379315968
 1549.730000000 1594.393138267  -14.813022365
 1550.790000000 1577.730943369  -16.312236191
 1551.850000000 1560.884801079  -15.166048165
 1552.910000000 1546.326957067  -12.314640681
 1553.970000000 1534.823323996   -9.655859019
 1555.030000000 1525.335235556   -8.722720725
 1556.090000000 1515.732904275   -9.847817602
 1557.150000000 1504.261988301  -11.846148491
 1558.210000000 1490.888562387  -13.322040833
 1559.270000000 1476.744672032  -13.339162294
 1560.330000000 1463.204173208  -12.109468984
 1561.390000000 1451.093333289  -10.891180530
 1562.450000000 1440.041413701  -10.265888916
 1563.510000000 1429.226255416  -10.356805286
 1564.570000000 1418.139230619  -10.666109651
 1565.630000000 1406.838292188  -10.778375848
 1566.690000000 1395.528513989  -10.679220656
 1567.750000000 1384.233158571  -10.856363714
 1568.810000000 1372.387745951  -11.686915132
 1569.870000000 1359.498753220  -12.771863640
 1570.930000000 1345.757358330  -13.172317569
 1571.990000000 1332.197925327  -12.366818052
 1573.050000000 1319.826211831  -11.112383466
 1574.110000000 1308.453802428  -10.743297704
 1575.170000000 1296.616775472  -11.955841319
 1576.230000000 1282.907708467  -14.047254824
 1577.290000000 1267.132755311  -15.668379132
 1578.350000000 1250.261242851  -16.152865627
 1579.410000000 1233.362382834  -15.823142529
 1580.470000000 1216.838900667  -15.504111615
 1581.530000000 1200.556631473  -15.345132688
 1582.590000000 1184.488085865  -15.093218622
 1583.650000000 1168.758064154  -14.713696440
 1584.710000000 1153.346815091  -14.503255938
 1585.770000000 1138.145975111  -14.345071896
 1586.830000000 1123.244890111  -13.822555516
 1587.890000000 1108.992086937  -13.267986953
 1588.950000000 1095.008757317  -13.463200506
 1590.010000000 1080.160141108  -14.923584070
 1591.070000000 1063.395906276  -16.924158171
 1592.130000000 1044.926213677  -17.691649668
 1593.190000000 1026.718556232  -16.430079956
 1594.250000000 1010.785824109  -13.701028269
 1595.310000000  997.870173444  -11.095191560
 1596.370000000  986.951548374   -9.911616979
 1597.430000000  976.239382737  -10.700272254
 1598.490000000  963.944864986  -12.818538071
 1599.550000000  949.142479617  -15.266222947
 1600.610000000  932.033249684  -17.084545681
 1601.670000000  913.537030040  -17.750577881
 1602.730000000  894.805170926  -17.669643188
 1603.790000000  876.322087717  -17.288356869
 1604.850000000  858.284551873  -17.000563363
 1605.910000000  840.507095122  -17.007926262
 1606.970000000  822.480260102  -17.136944062
 1608.030000000  804.227912325  -17.294517357
 1609.090000000  786.195154254  -16.762941295
 1610.150000000  769.433500029  -14.906945724
 1611.210000000  754.904109747  -12.789404498
 1612.270000000  741.977575278  -12.081763374
 1613.330000000  728.706754252  -13.536438168
 1614.390000000  713.335883676  -15.697749265
 1615.450000000  696.188217536  -16.450568482
 1616.510000000  679.354996224  -15.153126983
 1617.570000000  664.562912152  -12.927351662
 1618.630000000  651.874672241  -11.518701537
 1619.690000000  639.782737824  -11.793337177
 1620.750000000  626.540517333  -13.480821631
 1621.810000000  611.153090453  -15.750481835
 1622.870000000  593.566755113  -17.631192420
 1623.930000000  574.411033100  -18.560269105
 1624.990000000  554.660450934  -18.806678317
 1626.050000000  534.735500577  -18.897855815
 1627.110000000  514.654325476  -19.233444659
 1628.170000000  494.188843722  -19.652294434
 1629.230000000  473.407711483  -19.712754067
 1630.290000000  452.754600896  -19.423702169
 1631.350000000  432.380528875  -19.265277621
 1632.410000000  411.937610887  -19.662306757
 1633.470000000  390.838127223  -20.474512701
 1634.530000000  368.860465738  -20.980226883
 1635.590000000  346.820959641  -20.742167687
 1636.650000000  325.421416136  -19.834554976
 1637.710000000  304.832404444  -19.362480764
 1638.770000000  284.152413500  -20.082084547
 1639.830000000  262.204662154  -21.675332773
 1640.890000000  238.525516920  -23.094147359
 1641.950000000  213.754111899  -23.600398094
 1643.010000000  189.094622703  -23.045459851
 1644.070000000  165.495092873  -21.585990229
 1645.130000000  143.735938060  -19.661407164
 1646.190000000  124.062298508  -17.650076450
 1647.250000000  106.334633993  -16.193856462
 1648.310000000   89.727642329  -15.551551553
 1649.370000000   73.450999098  -15.384657974
 1650.430000000   57.512841656  -14.798864266
 1651.490000000   42.621821140  -13.397005752
 1652.550000000   29.548660995  -11.596471512
 1653.610000000   18.384248090   -9.721921455
 1654.670000000    9.273721311   -7.658900275
 1655.730000000    2.769311516   -4.706355884
 1656.790000000    0.000000000   -0.603888645
 1657.850000000    1.756579805    3.658590327
 1658.910000000    7.672108360    6.907360050
 1659.970000000   16.437520580    9.273226903
 1661.030000000   27.682327775   11.852582600
 1662.090000000   42.472443000   16.082934093
 1663.150000000   62.842745293   22.248111421
 1664.210000000   90.322057379   29.312107587
 1665.270000000  125.077641101   35.898596838
 1666.330000000  166.454965147   41.857913770
 1667.390000000  214.565589852   48.947178155
 1668.450000000  271.766845411   59.254452811
 1669.510000000  341.775343242   72.777193315
 1670.570000000  426.723987959   86.864736593
 1671.630000000  525.102540270   97.601312923
 1672.690000000  632.289315922  103.679681942
 1673.750000000  744.960892868  108.837497268
 1674.810000000  865.967501981  120.981953006
 1675.870000000 1006.523847504  146.300966831
 1676.930000000 1181.156884348  184.121562418
 1677.990000000 1398.541726702  224.997055231
 1679.050000000 1654.100947745  253.608149827
 1680.110000000 1927.661473731  257.361354239
 1681.170000000 2190.019533389  232.922299589
 1682.230000000 2414.189989775  187.206393517
 1683.290000000 2584.393345898  133.380985988
 1684.350000000 2699.040508256   84.213583253
 1685.410000000 2767.553643926   47.066966758
 1686.470000000 2803.848631572   23.260406229
 1687.530000000 2820.900764541   10.120848438
 1688.590000000 2828.011440265    3.818574463
 1689.650000000 2830.607713938    1.226716508
 1690.710000000 2831.455058182    0.283733414
