#! FIELDS es.morethan file.free der_es.morethan
#! SET min_es.morethan 705.424
#! SET max_es.morethan 974.007
#! SET nbins_es.morethan  255
#! SET periodic_es.morethan false
  705.424000000 2459.684746503   -0.136121574
  706.481413386 2459.422824964   -0.400466148
  707.538826772 2458.711020308   -1.027760481
  708.596240157 2457.013226930   -2.308316540
  709.653653543 2453.507060047   -4.483705463
  710.711066929 2447.198042371   -7.552005299
  711.768480315 2437.409262508  -10.939631185
  712.825893701 2424.317459273  -13.604463377
  713.883307087 2409.227817515  -14.582730533
  714.940720472 2394.116424831  -13.745795157
  715.998133858 2380.416267044  -12.183167300
  717.055547244 2368.038236057  -11.476953667
  718.112960630 2355.536860366  -12.387306784
  719.170374016 2341.551106471  -14.056850587
  720.227787402 2326.131092873  -14.818153364
  721.285200787 2310.888509564  -13.640257980
  722.342614173 2297.826284297  -10.885735009
  723.400027559 2287.949547559   -7.853954809
  724.457440945 2280.897107681   -5.695818523
  725.514854331 2275.380802767   -5.014482598
  726.572267717 2269.626546260   -6.189788378
  727.629681102 2261.502267737   -9.503487245
  728.687094488 2248.884335585  -14.552867897
  729.744507874 2230.752480938  -19.515169686
  730.801921260 2208.599987435  -21.706600712
  731.859334646 2186.501750796  -19.294398153
  732.916748031 2169.130416791  -13.273216230
  733.974161417 2158.442310111   -7.325626060
  735.031574803 2152.136186165   -5.504402093
  736.088988189 2145.038688015   -8.564740018
  737.146401575 2133.471553555  -13.107427103
  738.203814961 2118.607290067  -14.094762057
  739.261228346 2105.792783584   -9.306274227
  740.318641732 2100.033303020   -1.549503001
  741.376055118 2101.506527128    3.475606901
  742.433468504 2105.083826469    2.166835500
  743.490881890 2104.248777269   -4.233661917
  744.548295276 2095.930014542  -11.233060598
  745.605708661 2081.667991961  -15.163873545
  746.663122047 2065.113365865  -15.735933609
  747.720535433 2048.853146480  -15.052847185
  748.777948819 2033.126292876  -14.789422551
  749.835362205 2017.395601083  -14.927144144
  750.892775591 2001.747638072  -14.525456243
  751.950188976 1987.076699030  -13.214495652
  753.007602362 1974.070281747  -11.481054166
  754.065015748 1962.630150136  -10.267111974
  755.122429134 1951.924629437  -10.196948153
  756.179842520 1940.562511043  -11.596310886
  757.237255906 1926.945693050  -14.398815199
  758.294669291 1909.859443915  -18.000050848
  759.352082677 1889.147998706  -21.004846765
  760.409496063 1866.308812833  -21.674745047
  761.466909449 1844.503886859  -19.010665954
  762.524322835 1827.258849256  -13.292577955
  763.581736220 1816.964381456   -6.235651680
  764.639149606 1813.591840497   -0.660316992
  765.696562992 1814.148411523    0.872201314
  766.753976378 1813.736979599   -2.443391376
  767.811389764 1807.951598524   -8.879214713
  768.868803150 1795.238674555  -14.784470772
  769.926216535 1778.019219596  -17.014203805
  770.983629921 1760.965759053  -14.635688172
  772.041043307 1748.120755428   -9.501465463
  773.098456693 1740.728171105   -4.873446851
  774.155870079 1736.856772896   -3.120614521
  775.213283465 1733.097900930   -4.506036814
  776.270696850 1726.664850451   -7.950646506
  777.328110236 1716.244807662  -11.794265458
  778.385523622 1702.013689670  -15.029695853
  779.442937008 1684.993633391  -16.818730151
  780.500350394 1667.299792032  -16.216396469
  781.557763780 1651.795669824  -12.726343502
  782.615177165 1641.164365024   -7.327645669
  783.672590551 1636.130530014   -2.691254050
  784.730003937 1634.318169548   -1.529630494
  785.787417323 1631.421396464   -4.559396694
  786.844830709 1623.843847569   -9.987997959
  787.902244094 1610.612955187  -14.845442623
  788.959657480 1593.404872860  -17.195116007
  790.017070866 1575.199264251  -17.129864495
  791.074484252 1557.762800850  -15.908429861
  792.131897638 1541.436328702  -15.136306517
  793.189311024 1525.504850702  -15.159219297
  794.246724409 1509.525017851  -15.125299608
  795.304137795 1494.095293211  -13.974426822
  796.361551181 1480.368986685  -12.044814038
  797.418964567 1468.523228544  -10.561011340
  798.476377953 1457.524928048  -10.560286631
  799.533791339 1445.919211488  -11.461479291
  800.591204724 1433.420990348  -12.322416062
  801.648618110 1420.242928546  -12.624537467
  802.706031496 1406.571301524  -13.428074442
  803.763444882 1391.450700981  -15.595130534
  804.820858268 1373.463328590  -18.454624434
  805.878271654 1352.668445879  -20.693544415
  806.935685039 1330.442256762  -21.111361128
  807.993098425 1308.771919075  -19.730687523
  809.050511811 1288.963604526  -17.946351977
  810.107925197 1270.704543831  -16.889378394
  811.165338583 1252.904711799  -16.978075507
  812.222751969 1234.729666159  -17.381442341
  813.280165354 1216.560826027  -16.975527009
  814.337578740 1199.530191408  -15.210775576
  815.394992126 1184.650785690  -13.065619319
  816.452405512 1171.555277969  -12.068128742
  817.509818898 1158.588233572  -12.791501301
  818.567232283 1144.181482858  -14.666653904
  819.624645669 1127.741785497  -16.403192656
  820.682059055 1109.956843542  -17.117884543
  821.739472441 1091.984674743  -16.865915117
  822.796885827 1074.606478633  -16.095141919
  823.854299213 1058.056416792  -15.282640893
  824.911712598 1042.318056967  -14.574896688
  825.969125984 1027.378878194  -13.826838720
  827.026539370 1013.224657771  -13.225947314
  828.083952756  999.385012070  -13.108143192
  829.141366142  985.262040019  -13.899911563
  830.198779528  969.984739029  -15.076147497
  831.256192913  953.529340731  -16.116096781
  832.313606299  936.269452237  -16.540612038
  833.371019685  918.857866611  -16.465596392
  834.428433071  901.660239234  -16.239774875
  835.485846457  884.804086366  -15.882667506
  836.543259843  868.327458568  -15.251655126
  837.600673228  852.765590440  -14.312865826
  838.658086614  838.410665224  -13.078280411
  839.715500000  825.168283439  -12.222871637
  840.772913386  812.313677023  -12.468916770
  841.830326772  798.520219021  -14.020421836
