#! FIELDS es.morethan file.free der_es.morethan
#! SET min_es.morethan 633.911
#! SET max_es.morethan 970.87
#! SET nbins_es.morethan  319
#! SET periodic_es.morethan false
  633.911000000 2434.406895004   -0.139356655
  634.970619497 2434.137859387   -0.410807264
  636.030238994 2433.405511719   -1.055806842
  637.089858491 2431.667959708   -2.357910109
  638.149477987 2428.089082937   -4.553644203
  639.209097484 2421.727750645   -7.547705509
  640.268716981 2412.034345073  -10.640730464
  641.328336478 2399.601209979  -12.478624128
  642.387955975 2386.516836971  -11.710734864
  643.447575472 2375.833825818   -8.032127078
  644.507194969 2370.024304829   -2.892800911
  645.566814465 2369.233891247    0.931399112
  646.626433962 2370.603480305    0.876846874
  647.686053459 2369.473881762   -3.665453244
  648.745672956 2361.908020938  -10.738126317
  649.805292453 2347.092100991  -16.741887450
  650.864911950 2327.933012960  -18.567139108
  651.924531447 2309.532969482  -15.404887982
  652.984150943 2296.395433209   -9.142051847
  654.043770440 2290.049478303   -3.157884124
  655.103389937 2288.564902544   -0.284023042
  656.163009434 2288.031728696   -1.322003018
  657.222628931 2284.829368381   -4.998866193
  658.282248428 2277.349482512   -8.935469666
  659.341867925 2266.524172874  -11.086789037
  660.401487421 2254.706560307  -10.841105772
  661.461106918 2244.047004530   -9.169305322
  662.520726415 2235.153117633   -7.788595516
  663.580345912 2227.001496570   -7.881582076
  664.639965409 2217.909181661   -9.510240704
  665.699584906 2206.567542806  -12.009745962
  666.759204403 2192.440094184  -14.606210776
  667.818823899 2175.808763090  -16.596288496
  668.878443396 2157.886242008  -16.899046707
  669.938062893 2141.140456422  -14.144058681
  670.997682390 2129.059046002   -8.217722431
  672.057301887 2124.209227688   -0.978331911
  673.116921384 2126.246323183    4.117770899
  674.176540881 2131.289274983    4.510451117
  675.236160377 2134.080451303    0.157574257
  676.295779874 2131.027253293   -5.911920913
  677.355399371 2122.385107791   -9.744013118
  678.415018868 2111.921362816   -9.381493141
  679.474638365 2103.620934079   -6.082189929
  680.534257862 2098.824819482   -3.375985287
  681.593877358 2095.170398723   -4.219755556
  682.653496855 2088.595847007   -8.670607142
  683.713116352 2076.621068405  -13.798778936
  684.772735849 2060.312896429  -16.416193081
  685.832355346 2043.103810365  -15.592995160
  686.891974843 2027.928119245  -12.979406263
  687.951594340 2015.511440902  -10.624636599
  689.011213836 2005.058948852   -9.201930992
  690.070833333 1995.999084343   -7.898935904
  691.130452830 1988.610294221   -5.993542372
  692.190072327 1983.207473887   -4.373833463
  693.249691824 1978.842811885   -4.319232389
  694.309311321 1973.516662450   -5.953820223
  695.368930818 1966.033454199   -8.096667838
  696.428550314 1956.704578327   -9.253293663
  697.488169811 1946.871271523   -9.380325289
  698.547789308 1936.937819927   -9.545394172
  699.607408805 1926.223946331  -10.921244381
  700.667028302 1913.714077494  -12.554753920
  701.726647799 1900.287462642  -12.365568503
