,T,M,E,E2,X,J,B,M2,M4
0,0,-230.0,-239.76000000000093,57484.85760000045,16,0.54,0.0,52900.0,2798410000.0
1,10,-240.0,-244.08000000000092,59575.04640000045,16,0.54,0.0,57600.0,3317760000.0
2,20,-242.0,-250.5600000000013,62780.313600000656,16,0.54,0.0,58564.0,3429742096.0
3,30,-254.0,-272.1600000000011,74071.0656000006,16,0.54,0.0,64516.0,4162314256.0
4,40,-242.0,-250.56000000000117,62780.31360000058,16,0.54,0.0,58564.0,3429742096.0
5,50,-252.0,-267.8400000000011,71738.2656000006,16,0.54,0.0,63504.0,4032758016.0
6,60,-238.0,-248.400000000001,61702.5600000005,16,0.54,0.0,56644.0,3208542736.0
7,70,-250.0,-263.5200000000012,69442.79040000062,16,0.54,0.0,62500.0,3906250000.0
8,80,-232.0,-244.080000000001,59575.046400000494,16,0.54,0.0,53824.0,2897022976.0
9,90,-242.0,-250.56000000000114,62780.31360000057,16,0.54,0.0,58564.0,3429742096.0
10,100,-230.0,-239.76000000000104,57484.8576000005,16,0.54,0.0,52900.0,2798410000.0
11,110,-246.0,-254.88000000000116,64963.81440000059,16,0.54,0.0,60516.0,3662186256.0
12,120,-246.0,-257.04000000000127,66069.56160000066,16,0.54,0.0,60516.0,3662186256.0
13,130,-248.0,-259.2000000000011,67184.64000000058,16,0.54,0.0,61504.0,3782742016.0
14,140,-236.0,-244.08000000000106,59575.046400000516,16,0.54,0.0,55696.0,3102044416.0
15,150,-250.0,-263.5200000000012,69442.79040000062,16,0.54,0.0,62500.0,3906250000.0
16,160,-248.0,-261.3600000000012,68309.04960000062,16,0.54,0.0,61504.0,3782742016.0
17,170,-250.0,-263.5200000000012,69442.79040000062,16,0.54,0.0,62500.0,3906250000.0
18,180,-240.0,-244.08000000000112,59575.046400000545,16,0.54,0.0,57600.0,3317760000.0
19,190,-228.0,-235.44000000000085,55431.9936000004,16,0.54,0.0,51984.0,2702336256.0
20,200,-246.0,-257.0400000000012,66069.56160000063,16,0.54,0.0,60516.0,3662186256.0
21,210,-242.0,-248.40000000000103,61702.560000000514,16,0.54,0.0,58564.0,3429742096.0
