,T,M,E,E2,X,J,B,M2,M4
0,0,240.0,-206.0799999999993,42468.966399999714,16,0.46,0.0,57600.0,3317760000.0
1,10,224.0,-187.6799999999995,35223.78239999981,16,0.46,0.0,50176.0,2517630976.0
2,20,224.0,-196.87999999999928,38761.73439999972,16,0.46,0.0,50176.0,2517630976.0
3,30,218.0,-180.3199999999995,32515.302399999822,16,0.46,0.0,47524.0,2258530576.0
4,40,218.0,-187.67999999999964,35223.782399999865,16,0.46,0.0,47524.0,2258530576.0
5,50,222.0,-182.15999999999954,33182.26559999983,16,0.46,0.0,49284.0,2428912656.0
6,60,222.0,-191.35999999999947,36618.6495999998,16,0.46,0.0,49284.0,2428912656.0
7,70,228.0,-195.0399999999994,38040.60159999976,16,0.46,0.0,51984.0,2702336256.0
8,80,226.0,-183.99999999999957,33855.99999999984,16,0.46,0.0,51076.0,2608757776.0
9,90,226.0,-195.0399999999993,38040.60159999973,16,0.46,0.0,51076.0,2608757776.0
10,100,166.0,-172.95999999999975,29915.161599999916,16,0.46,0.0,27556.0,759333136.0
11,110,236.0,-202.3999999999993,40965.75999999972,16,0.46,0.0,55696.0,3102044416.0
12,120,230.0,-195.03999999999942,38040.601599999776,16,0.46,0.0,52900.0,2798410000.0
13,130,212.0,-195.03999999999934,38040.60159999974,16,0.46,0.0,44944.0,2019963136.0
14,140,242.0,-209.75999999999914,43999.25759999964,16,0.46,0.0,58564.0,3429742096.0
15,150,232.0,-202.39999999999935,40965.75999999974,16,0.46,0.0,53824.0,2897022976.0
16,160,232.0,-198.71999999999946,39489.638399999785,16,0.46,0.0,53824.0,2897022976.0
17,170,228.0,-200.55999999999912,40224.313599999645,16,0.46,0.0,51984.0,2702336256.0
18,180,232.0,-195.03999999999942,38040.601599999776,16,0.46,0.0,53824.0,2897022976.0
19,190,214.0,-180.31999999999948,32515.30239999981,16,0.46,0.0,45796.0,2097273616.0
20,200,222.0,-189.51999999999947,35917.8303999998,16,0.46,0.0,49284.0,2428912656.0
21,210,222.0,-198.71999999999917,39489.63839999967,16,0.46,0.0,49284.0,2428912656.0
22,220,206.0,-183.9999999999996,33855.999999999854,16,0.46,0.0,42436.0,1800814096.0
23,230,188.0,-171.11999999999958,29282.054399999855,16,0.46,0.0,35344.0,1249198336.0
24,240,236.0,-206.07999999999922,42468.96639999968,16,0.46,0.0,55696.0,3102044416.0
25,250,214.0,-178.47999999999954,31855.110399999834,16,0.46,0.0,45796.0,2097273616.0
26,260,170.0,-161.91999999999982,26218.086399999942,16,0.46,0.0,28900.0,835210000.0
27,270,232.0,-202.3999999999993,40965.75999999972,16,0.46,0.0,53824.0,2897022976.0
28,280,212.0,-176.6399999999996,31201.689599999856,16,0.46,0.0,44944.0,2019963136.0
29,290,226.0,-196.87999999999943,38761.734399999776,16,0.46,0.0,51076.0,2608757776.0
30,300,230.0,-200.55999999999943,40224.313599999776,16,0.46,0.0,52900.0,2798410000.0
31,310,224.0,-195.03999999999934,38040.60159999974,16,0.46,0.0,50176.0,2517630976.0
32,320,216.0,-176.63999999999945,31201.689599999805,16,0.46,0.0,46656.0,2176782336.0
33,330,220.0,-196.87999999999923,38761.734399999696,16,0.46,0.0,48400.0,2342560000.0
34,340,168.0,-145.36,21129.529600000005,16,0.46,0.0,28224.0,796594176.0
35,350,220.0,-191.35999999999945,36618.649599999786,16,0.46,0.0,48400.0,2342560000.0
36,360,200.0,-172.95999999999998,29915.161599999992,16,0.46,0.0,40000.0,1600000000.0
37,370,126.0,-169.27999999999977,28655.718399999925,16,0.46,0.0,15876.0,252047376.0
38,380,60.0,-150.87999999999965,22764.774399999897,16,0.46,0.0,3600.0,12960000.0
39,390,98.0,-147.19999999999987,21667.839999999964,16,0.46,0.0,9604.0,92236816.0
40,400,150.0,-139.83999999999983,19555.225599999954,16,0.46,0.0,22500.0,506250000.0
41,410,240.0,-211.5999999999991,44774.55999999963,16,0.46,0.0,57600.0,3317760000.0
42,420,218.0,-178.47999999999965,31855.110399999874,16,0.46,0.0,47524.0,2258530576.0
43,430,194.0,-171.11999999999955,29282.054399999844,16,0.46,0.0,37636.0,1416468496.0
44,440,208.0,-167.43999999999974,28036.153599999914,16,0.46,0.0,43264.0,1871773696.0
45,450,240.0,-209.75999999999914,43999.25759999964,16,0.46,0.0,57600.0,3317760000.0
46,460,216.0,-183.99999999999932,33855.99999999975,16,0.46,0.0,46656.0,2176782336.0
47,470,220.0,-187.6799999999995,35223.78239999981,16,0.46,0.0,48400.0,2342560000.0
48,480,202.0,-172.95999999999964,29915.161599999876,16,0.46,0.0,40804.0,1664966416.0
49,490,190.0,-161.91999999999973,26218.086399999913,16,0.46,0.0,36100.0,1303210000.0
50,500,228.0,-196.8799999999995,38761.734399999805,16,0.46,0.0,51984.0,2702336256.0
51,510,228.0,-198.7199999999993,39489.63839999972,16,0.46,0.0,51984.0,2702336256.0
52,520,238.0,-204.23999999999927,41713.9775999997,16,0.46,0.0,56644.0,3208542736.0
53,530,230.0,-202.39999999999924,40965.75999999969,16,0.46,0.0,52900.0,2798410000.0
54,540,182.0,-156.39999999999995,24460.959999999985,16,0.46,0.0,33124.0,1097199376.0
55,550,236.0,-209.75999999999914,43999.25759999964,16,0.46,0.0,55696.0,3102044416.0
56,560,238.0,-207.91999999999922,43230.72639999967,16,0.46,0.0,56644.0,3208542736.0
57,570,204.0,-158.23999999999987,25039.897599999957,16,0.46,0.0,41616.0,1731891456.0
58,580,222.0,-193.19999999999945,37326.23999999979,16,0.46,0.0,49284.0,2428912656.0
59,590,220.0,-183.99999999999952,33855.999999999825,16,0.46,0.0,48400.0,2342560000.0
60,600,212.0,-180.31999999999954,32515.302399999833,16,0.46,0.0,44944.0,2019963136.0
61,610,206.0,-176.6399999999996,31201.689599999856,16,0.46,0.0,42436.0,1800814096.0
62,620,234.0,-200.5599999999992,40224.31359999968,16,0.46,0.0,54756.0,2998219536.0
63,630,214.0,-183.99999999999926,33855.99999999973,16,0.46,0.0,45796.0,2097273616.0
64,640,224.0,-196.87999999999917,38761.734399999674,16,0.46,0.0,50176.0,2517630976.0
65,650,224.0,-193.1999999999994,37326.239999999765,16,0.46,0.0,50176.0,2517630976.0
66,660,220.0,-187.67999999999947,35223.7823999998,16,0.46,0.0,48400.0,2342560000.0
67,670,222.0,-185.83999999999943,34536.50559999979,16,0.46,0.0,49284.0,2428912656.0
68,680,214.0,-185.83999999999935,34536.50559999976,16,0.46,0.0,45796.0,2097273616.0
69,690,236.0,-204.23999999999933,41713.97759999972,16,0.46,0.0,55696.0,3102044416.0
70,700,238.0,-209.7599999999992,43999.25759999966,16,0.46,0.0,56644.0,3208542736.0
71,710,232.0,-202.39999999999927,40965.759999999704,16,0.46,0.0,53824.0,2897022976.0
72,720,234.0,-204.23999999999916,41713.97759999966,16,0.46,0.0,54756.0,2998219536.0
73,730,214.0,-185.8399999999996,34536.50559999985,16,0.46,0.0,45796.0,2097273616.0
74,740,204.0,-172.95999999999955,29915.161599999847,16,0.46,0.0,41616.0,1731891456.0
75,750,232.0,-200.55999999999932,40224.313599999725,16,0.46,0.0,53824.0,2897022976.0
76,760,214.0,-180.31999999999937,32515.30239999977,16,0.46,0.0,45796.0,2097273616.0
77,770,212.0,-185.83999999999946,34536.5055999998,16,0.46,0.0,44944.0,2019963136.0
78,780,236.0,-202.39999999999918,40965.75999999967,16,0.46,0.0,55696.0,3102044416.0
79,790,218.0,-183.99999999999963,33855.99999999986,16,0.46,0.0,47524.0,2258530576.0
80,800,242.0,-211.59999999999906,44774.5599999996,16,0.46,0.0,58564.0,3429742096.0
81,810,208.0,-169.27999999999975,28655.718399999914,16,0.46,0.0,43264.0,1871773696.0
82,820,238.0,-204.23999999999933,41713.97759999972,16,0.46,0.0,56644.0,3208542736.0
83,830,210.0,-167.43999999999974,28036.153599999914,16,0.46,0.0,44100.0,1944810000.0
84,840,232.0,-198.7199999999993,39489.63839999972,16,0.46,0.0,53824.0,2897022976.0
