# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00150553
2 1 10000000 0.00148621
3 2 9999999 0.00142996
4 3 9999998 0.00134133
5 4 9999997 0.00122693
6 5 9999996 0.0010944
7 6 9999995 0.000951415
8 7 9999994 0.000805023
9 8 9999993 0.00066124
10 9 9999992 0.000524851
11 10 9999991 0.000399393
12 11 9999990 0.000287228
13 12 9999989 0.000189684
14 13 9999988 0.000107219
15 14 9999987 3.95892e-05
16 15 9999986 -1.39844e-05
17 16 9999985 -5.46705e-05
18 17 9999984 -8.38963e-05
19 18 9999983 -0.000103235
20 19 9999982 -0.000114311
21 20 9999981 -0.000118723
22 21 9999980 -0.000117986
23 22 9999979 -0.000113479
24 23 9999978 -0.000106421
25 24 9999977 -9.78501e-05
26 25 9999976 -8.86184e-05
27 26 9999975 -7.93946e-05
28 27 9999974 -7.06748e-05
29 28 9999973 -6.27985e-05
30 29 9999972 -5.5968e-05
31 30 9999971 -5.02702e-05
32 31 9999970 -4.56998e-05
33 32 9999969 -4.21818e-05
34 33 9999968 -3.9593e-05
35 34 9999967 -3.77819e-05
36 35 9999966 -3.65844e-05
37 36 9999965 -3.58376e-05
38 37 9999964 -3.53898e-05
39 38 9999963 -3.51071e-05
40 39 9999962 -3.48777e-05
41 40 9999961 -3.46131e-05
42 41 9999960 -3.42489e-05
43 42 9999959 -3.37428e-05
44 43 9999958 -3.30722e-05
45 44 9999957 -3.22309e-05
46 45 9999956 -3.12258e-05
47 46 9999955 -3.00729e-05
48 47 9999954 -2.87952e-05
49 48 9999953 -2.74197e-05
50 49 9999952 -2.59752e-05
51 50 9999951 -2.44899e-05
52 51 9999950 -2.2989e-05
53 52 9999949 -2.14937e-05
54 53 9999948 -2.00201e-05
55 54 9999947 -1.85796e-05
56 55 9999946 -1.71802e-05
57 56 9999945 -1.58273e-05
58 57 9999944 -1.45256e-05
59 58 9999943 -1.3279e-05
60 59 9999942 -1.20922e-05
61 60 9999941 -1.09709e-05
62 61 9999940 -9.92196e-06
63 62 9999939 -8.95293e-06
64 63 9999938 -8.07138e-06
65 64 9999937 -7.28316e-06
66 65 9999936 -6.59088e-06
67 66 9999935 -5.99264e-06
68 67 9999934 -5.4816e-06
69 68 9999933 -5.04638e-06
70 69 9999932 -4.67229e-06
71 70 9999931 -4.34305e-06
72 71 9999930 -4.04274e-06
73 72 9999929 -3.75752e-06
74 73 9999928 -3.47703e-06
75 74 9999927 -3.19499e-06
76 75 9999926 -2.90928e-06
77 76 9999925 -2.62145e-06
78 77 9999924 -2.33598e-06
79 78 9999923 -2.05941e-06
80 79 9999922 -1.79932e-06
81 80 9999921 -1.56331e-06
82 81 9999920 -1.35813e-06
83 82 9999919 -1.18915e-06
84 83 9999918 -1.06019e-06
85 84 9999917 -9.73385e-07
86 85 9999916 -9.2902e-07
87 86 9999915 -9.25425e-07
88 87 9999914 -9.58936e-07
89 88 9999913 -1.024e-06
90 89 9999912 -1.1134e-06
91 90 9999911 -1.21847e-06
92 91 9999910 -1.32961e-06
93 92 9999909 -1.43673e-06
94 93 9999908 -1.53e-06
95 94 9999907 -1.60054e-06
96 95 9999906 -1.64116e-06
97 96 9999905 -1.64686e-06
98 97 9999904 -1.61519e-06
99 98 9999903 -1.54646e-06
100 99 9999902 -1.44384e-06
