# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00163909
2 1 10000000 0.00161763
3 2 9999999 0.00155518
4 3 9999998 0.00145694
5 4 9999997 0.00133041
6 5 9999996 0.0011842
7 6 9999995 0.00102691
8 7 9999994 0.000866384
9 8 9999993 0.000709258
10 9 9999992 0.000560754
11 10 9999991 0.000424681
12 11 9999990 0.000303534
13 12 9999989 0.000198657
14 13 9999988 0.000110433
15 14 9999987 3.84841e-05
16 15 9999986 -1.81468e-05
17 16 9999985 -6.08241e-05
18 17 9999984 -9.11723e-05
19 18 9999983 -0.000110951
20 19 9999982 -0.00012195
21 20 9999981 -0.000125912
22 21 9999980 -0.000124465
23 22 9999979 -0.000119087
24 23 9999978 -0.000111069
25 24 9999977 -0.000101511
26 25 9999976 -9.13105e-05
27 26 9999975 -8.11735e-05
28 27 9999974 -7.16244e-05
29 28 9999973 -6.30234e-05
30 29 9999972 -5.55867e-05
31 30 9999971 -4.94091e-05
32 31 9999970 -4.44872e-05
33 32 9999969 -4.07424e-05
34 33 9999968 -3.80423e-05
35 34 9999967 -3.62208e-05
36 35 9999966 -3.50948e-05
37 36 9999965 -3.44793e-05
38 37 9999964 -3.41986e-05
39 38 9999963 -3.40948e-05
40 39 9999962 -3.40327e-05
41 40 9999961 -3.39032e-05
42 41 9999960 -3.36243e-05
43 42 9999959 -3.31405e-05
44 43 9999958 -3.2422e-05
45 44 9999957 -3.14618e-05
46 45 9999956 -3.0273e-05
47 46 9999955 -2.88848e-05
48 47 9999954 -2.7338e-05
49 48 9999953 -2.56808e-05
50 49 9999952 -2.39647e-05
51 50 9999951 -2.22412e-05
52 51 9999950 -2.05584e-05
53 52 9999949 -1.89583e-05
54 53 9999948 -1.74746e-05
55 54 9999947 -1.61315e-05
56 55 9999946 -1.49436e-05
57 56 9999945 -1.39163e-05
58 57 9999944 -1.3047e-05
59 58 9999943 -1.23263e-05
60 59 9999942 -1.17394e-05
61 60 9999941 -1.12669e-05
62 61 9999940 -1.08863e-05
63 62 9999939 -1.05733e-05
64 63 9999938 -1.03031e-05
65 64 9999937 -1.0052e-05
66 65 9999936 -9.79839e-06
67 66 9999935 -9.52388e-06
68 67 9999934 -9.2139e-06
69 68 9999933 -8.85844e-06
70 69 9999932 -8.45266e-06
71 70 9999931 -7.99714e-06
72 71 9999930 -7.49762e-06
73 72 9999929 -6.96403e-06
74 73 9999928 -6.40912e-06
75 74 9999927 -5.847e-06
76 75 9999926 -5.29189e-06
77 76 9999925 -4.75684e-06
78 77 9999924 -4.25274e-06
79 78 9999923 -3.78746e-06
80 79 9999922 -3.36533e-06
81 80 9999921 -2.98722e-06
82 81 9999920 -2.65117e-06
83 82 9999919 -2.3534e-06
84 83 9999918 -2.08948e-06
85 84 9999917 -1.85511e-06
86 85 9999916 -1.64624e-06
87 86 9999915 -1.4587e-06
88 87 9999914 -1.28773e-06
89 88 9999913 -1.12777e-06
90 89 9999912 -9.72732e-07
91 90 9999911 -8.16866e-07
92 91 9999910 -6.55747e-07
93 92 9999909 -4.87099e-07
94 93 9999908 -3.10972e-07
95 94 9999907 -1.29141e-07
96 95 9999906 5.60334e-08
97 96 9999905 2.42739e-07
98 97 9999904 4.30366e-07
99 98 9999903 6.19499e-07
100 99 9999902 8.11397e-07
