# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00122648
2 1 10000000 0.00121166
3 2 9999999 0.0011684
4 3 9999998 0.00109994
5 4 9999997 0.00101102
6 5 9999996 0.000907213
7 6 9999995 0.000794236
8 7 9999994 0.000677459
9 8 9999993 0.000561577
10 9 9999992 0.00045044
11 10 9999991 0.000346999
12 11 9999990 0.000253338
13 12 9999989 0.000170753
14 13 9999988 9.98509e-05
15 14 9999987 4.0674e-05
16 15 9999986 -7.18852e-06
17 16 9999985 -4.44884e-05
18 17 9999984 -7.22184e-05
19 18 9999983 -9.15237e-05
20 19 9999982 -0.000103627
21 20 9999981 -0.000109766
22 21 9999980 -0.000111139
23 22 9999979 -0.000108869
24 23 9999978 -0.000103975
25 24 9999977 -9.73505e-05
26 25 9999976 -8.97524e-05
27 26 9999975 -8.1801e-05
28 27 9999974 -7.39805e-05
29 28 9999973 -6.66473e-05
30 29 9999972 -6.00418e-05
31 30 9999971 -5.43036e-05
32 31 9999970 -4.94874e-05
33 32 9999969 -4.55813e-05
34 33 9999968 -4.25231e-05
35 34 9999967 -4.02166e-05
36 35 9999966 -3.85453e-05
37 36 9999965 -3.73839e-05
38 37 9999964 -3.66069e-05
39 38 9999963 -3.60959e-05
40 39 9999962 -3.57433e-05
41 40 9999961 -3.54559e-05
42 41 9999960 -3.51571e-05
43 42 9999959 -3.47879e-05
44 43 9999958 -3.43079e-05
45 44 9999957 -3.36942e-05
46 45 9999956 -3.29402e-05
47 46 9999955 -3.20524e-05
48 47 9999954 -3.10471e-05
49 48 9999953 -2.99459e-05
50 49 9999952 -2.87724e-05
51 50 9999951 -2.75496e-05
52 51 9999950 -2.62977e-05
53 52 9999949 -2.50331e-05
54 53 9999948 -2.3769e-05
55 54 9999947 -2.25146e-05
56 55 9999946 -2.12769e-05
57 56 9999945 -2.00613e-05
58 57 9999944 -1.88723e-05
59 58 9999943 -1.77145e-05
60 59 9999942 -1.65925e-05
61 60 9999941 -1.55105e-05
62 61 9999940 -1.44714e-05
63 62 9999939 -1.34766e-05
64 63 9999938 -1.25258e-05
65 64 9999937 -1.16175e-05
66 65 9999936 -1.07496e-05
67 66 9999935 -9.91978e-06
68 67 9999934 -9.12641e-06
69 68 9999933 -8.36847e-06
70 69 9999932 -7.64616e-06
71 70 9999931 -6.96114e-06
72 71 9999930 -6.3168e-06
73 72 9999929 -5.718e-06
74 73 9999928 -5.17055e-06
75 74 9999927 -4.68014e-06
76 75 9999926 -4.25119e-06
77 76 9999925 -3.88588e-06
78 77 9999924 -3.58357e-06
79 78 9999923 -3.34074e-06
80 79 9999922 -3.15141e-06
81 80 9999921 -3.00769e-06
82 81 9999920 -2.90033e-06
83 82 9999919 -2.81928e-06
84 83 9999918 -2.75418e-06
85 84 9999917 -2.69506e-06
86 85 9999916 -2.63311e-06
87 86 9999915 -2.56149e-06
88 87 9999914 -2.47592e-06
89 88 9999913 -2.37498e-06
90 89 9999912 -2.25997e-06
91 90 9999911 -2.13444e-06
92 91 9999910 -2.00341e-06
93 92 9999909 -1.87252e-06
94 93 9999908 -1.74721e-06
95 94 9999907 -1.63194e-06
96 95 9999906 -1.52973e-06
97 96 9999905 -1.44182e-06
98 97 9999904 -1.36769e-06
99 98 9999903 -1.30514e-06
100 99 9999902 -1.25052e-06
