# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00120285
2 1 10000000 0.001188
3 2 9999999 0.00114466
4 3 9999998 0.00107618
5 4 9999997 0.000987459
6 5 9999996 0.000884186
7 6 9999995 0.000772169
8 7 9999994 0.000656813
9 8 9999993 0.000542797
10 9 9999992 0.000433911
11 10 9999991 0.000333022
12 11 9999990 0.000242108
13 12 9999989 0.000162356
14 13 9999988 9.4268e-05
15 14 9999987 3.77923e-05
16 15 9999986 -7.56007e-06
17 16 9999985 -4.26013e-05
18 17 9999984 -6.8366e-05
19 18 9999983 -8.60243e-05
20 19 9999982 -9.68074e-05
21 20 9999981 -0.000101947
22 21 9999980 -0.000102624
23 22 9999979 -9.99368e-05
24 23 9999978 -9.48676e-05
25 24 9999977 -8.82706e-05
26 25 9999976 -8.08613e-05
27 26 9999975 -7.32162e-05
28 27 9999974 -6.57779e-05
29 28 9999973 -5.88651e-05
30 29 9999972 -5.26857e-05
31 30 9999971 -4.73531e-05
32 31 9999970 -4.29029e-05
33 32 9999969 -3.93093e-05
34 33 9999968 -3.65021e-05
35 34 9999967 -3.4381e-05
36 35 9999966 -3.28292e-05
37 36 9999965 -3.17243e-05
38 37 9999964 -3.09473e-05
39 38 9999963 -3.03892e-05
40 39 9999962 -2.99552e-05
41 40 9999961 -2.95677e-05
42 41 9999960 -2.91667e-05
43 42 9999959 -2.87094e-05
44 43 9999958 -2.81685e-05
45 44 9999957 -2.75298e-05
46 45 9999956 -2.67904e-05
47 46 9999955 -2.59561e-05
48 47 9999954 -2.50391e-05
49 48 9999953 -2.40564e-05
50 49 9999952 -2.3028e-05
51 50 9999951 -2.19749e-05
52 51 9999950 -2.0918e-05
53 52 9999949 -1.9876e-05
54 53 9999948 -1.88652e-05
55 54 9999947 -1.78974e-05
56 55 9999946 -1.69801e-05
57 56 9999945 -1.61155e-05
58 57 9999944 -1.53013e-05
59 58 9999943 -1.45312e-05
60 59 9999942 -1.37964e-05
61 60 9999941 -1.3087e-05
62 61 9999940 -1.23934e-05
63 62 9999939 -1.17081e-05
64 63 9999938 -1.10256e-05
65 64 9999937 -1.03437e-05
66 65 9999936 -9.6626e-06
67 66 9999935 -8.98488e-06
68 67 9999934 -8.31462e-06
69 68 9999933 -7.65677e-06
70 69 9999932 -7.01649e-06
71 70 9999931 -6.39864e-06
72 71 9999930 -5.80736e-06
73 72 9999929 -5.24563e-06
74 73 9999928 -4.71518e-06
75 74 9999927 -4.2167e-06
76 75 9999926 -3.75044e-06
77 76 9999925 -3.3168e-06
78 77 9999924 -2.91654e-06
79 78 9999923 -2.55068e-06
80 79 9999922 -2.22012e-06
81 80 9999921 -1.92532e-06
82 81 9999920 -1.66621e-06
83 82 9999919 -1.44219e-06
84 83 9999918 -1.25207e-06
85 84 9999917 -1.09407e-06
86 85 9999916 -9.65866e-07
87 86 9999915 -8.64858e-07
88 87 9999914 -7.88485e-07
89 88 9999913 -7.34542e-07
90 89 9999912 -7.01257e-07
91 90 9999911 -6.87123e-07
92 91 9999910 -6.90568e-07
93 92 9999909 -7.097e-07
94 93 9999908 -7.42323e-07
95 94 9999907 -7.86255e-07
96 95 9999906 -8.39767e-07
97 96 9999905 -9.01841e-07
98 97 9999904 -9.72115e-07
99 98 9999903 -1.05057e-06
100 99 9999902 -1.13716e-06
