# Time-correlated data for fix VACF_output
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_VACF[1]*c_VACF[1]
10000000 100
1 0 10000001 0.00114736
2 1 10000000 0.00113294
3 2 9999999 0.00109092
4 3 9999998 0.00102461
5 4 9999997 0.000938813
6 5 9999996 0.000839131
7 6 9999995 0.000731232
8 7 9999994 0.000620369
9 8 9999993 0.000511064
10 9 9999992 0.000406958
11 10 9999991 0.000310781
12 11 9999990 0.0002244
13 12 9999989 0.000148906
14 13 9999988 8.47333e-05
15 14 9999987 3.17813e-05
16 15 9999986 -1.04671e-05
17 16 9999985 -4.28344e-05
18 17 9999984 -6.63505e-05
19 18 9999983 -8.21676e-05
20 19 9999982 -9.14893e-05
21 20 9999981 -9.55123e-05
22 21 9999980 -9.53804e-05
23 22 9999979 -9.21493e-05
24 23 9999978 -8.67615e-05
25 24 9999977 -8.0031e-05
26 25 9999976 -7.26358e-05
27 26 9999975 -6.51176e-05
28 27 9999974 -5.78878e-05
29 28 9999973 -5.12383e-05
30 29 9999972 -4.53552e-05
31 30 9999971 -4.03354e-05
32 31 9999970 -3.62028e-05
33 32 9999969 -3.29249e-05
34 33 9999968 -3.04286e-05
35 34 9999967 -2.86135e-05
36 35 9999966 -2.73645e-05
37 36 9999965 -2.65613e-05
38 37 9999964 -2.60874e-05
39 38 9999963 -2.58354e-05
40 39 9999962 -2.57122e-05
41 40 9999961 -2.56406e-05
42 41 9999960 -2.55609e-05
43 42 9999959 -2.54296e-05
44 43 9999958 -2.52184e-05
45 44 9999957 -2.49117e-05
46 45 9999956 -2.45038e-05
47 46 9999955 -2.3997e-05
48 47 9999954 -2.33987e-05
49 48 9999953 -2.27196e-05
50 49 9999952 -2.19728e-05
51 50 9999951 -2.11721e-05
52 51 9999950 -2.03313e-05
53 52 9999949 -1.94632e-05
54 53 9999948 -1.85791e-05
55 54 9999947 -1.76879e-05
56 55 9999946 -1.67963e-05
57 56 9999945 -1.59085e-05
58 57 9999944 -1.50273e-05
59 58 9999943 -1.41544e-05
60 59 9999942 -1.3291e-05
61 60 9999941 -1.24383e-05
62 61 9999940 -1.15975e-05
63 62 9999939 -1.07707e-05
64 63 9999938 -9.96092e-06
65 64 9999937 -9.17311e-06
66 65 9999936 -8.41392e-06
67 66 9999935 -7.69163e-06
68 67 9999934 -7.01548e-06
69 68 9999933 -6.39458e-06
70 69 9999932 -5.83673e-06
71 70 9999931 -5.34724e-06
72 71 9999930 -4.92811e-06
73 72 9999929 -4.57779e-06
74 73 9999928 -4.29143e-06
75 74 9999927 -4.06145e-06
76 75 9999926 -3.87823e-06
77 76 9999925 -3.73085e-06
78 77 9999924 -3.60772e-06
79 78 9999923 -3.4973e-06
80 79 9999922 -3.38889e-06
81 80 9999921 -3.27349e-06
82 81 9999920 -3.1445e-06
83 82 9999919 -2.9982e-06
84 83 9999918 -2.83377e-06
85 84 9999917 -2.65299e-06
86 85 9999916 -2.45978e-06
87 86 9999915 -2.25951e-06
88 87 9999914 -2.05858e-06
89 88 9999913 -1.864e-06
90 89 9999912 -1.68301e-06
91 90 9999911 -1.52262e-06
92 91 9999910 -1.38904e-06
93 92 9999909 -1.28707e-06
94 93 9999908 -1.21946e-06
95 94 9999907 -1.18655e-06
96 95 9999906 -1.18616e-06
97 96 9999905 -1.21379e-06
98 97 9999904 -1.2629e-06
99 98 9999903 -1.32537e-06
100 99 9999902 -1.3919e-06
